TRAINBALACCSTDDEVS:,CAWPE-A,PB-A
abalone,0.008227853585295826,0.009909330430712331
acute-inflammation,0.0,0.0050854762771560605
acute-nephritis,0.007302967433402219,0.013850175148001104
adult,0.0033598345472783736,0.0029903372500160934
annealing,0.051516870563912416,0.04020101002017515
arrhythmia,0.034568500733053065,0.044339127458739316
audiology-std,0.039525727428184956,0.030383653579361243
balance-scale,0.02856063456892723,0.023342099348721432
balloons,0.2247151240419302,0.13161761295840482
bank,0.018210951251763793,0.013112168721376393
blood,0.03264896035383299,0.026556465525730856
breast-cancer,0.0405725927878887,0.05381337204271885
breast-cancer-wisc,0.01008483020937282,0.012202525751854414
breast-cancer-wisc-diag,0.008739651612485182,0.00848707561809019
breast-cancer-wisc-prog,0.048929670978896375,0.05188931950535905
breast-tissue,0.06205276779179364,0.05846493236499696
car,0.01206677931703681,0.016766634996336367
cardiotocography-3clases,0.015899207035485335,0.016586902625017653
cardiotocography-10clases,0.01676387093864688,0.018358350637429497
chess-krvk,0.006667999378864784,0.00786940402949535
chess-krvkp,0.001578019808893944,0.0022463828970516802
congressional-voting,0.023308942942327392,0.020721679295349436
conn-bench-sonar-mines-rocks,0.029339009497311875,0.030138469959194492
conn-bench-vowel-deterding,0.007663985643464136,0.010843272340709052
connect-4,0.00386002694366339,0.0021667669183248013
contrac,0.017115953603850657,0.016593719697105897
credit-approval,0.015937509009157327,0.019333969810634052
cylinder-bands,0.029056470740916735,0.02316148871592916
dermatology,0.014452869264274146,0.017293088417672384
echocardiogram,0.05369680626913357,0.05895532748869968
ecoli,0.05433169043499864,0.04378246884581439
energy-y1,0.016297937415214563,0.017197039449669344
energy-y2,0.01716479164267222,0.01465073370029637
fertility,0.04955724191575236,0.07198504850112471
flags,0.03814789702899923,0.03702908091570269
glass,0.06351870468902367,0.04235283525412051
haberman-survival,0.04694441747911749,0.05545409038152392
hayes-roth,0.043426567554290134,0.05084383985805246
heart-cleveland,0.04061670802615146,0.03564785202636138
heart-hungarian,0.02509588018813238,0.03586622104478872
heart-switzerland,0.0568059478295386,0.057709278212660996
heart-va,0.05799318330704212,0.04783653770295526
hepatitis,0.05405970891852671,0.05016707649381033
hill-valley,0.020598477974626522,0.02349458588711535
horse-colic,0.02197362319882118,0.024846169087193906
ilpd-indian-liver,0.03355563610689324,0.0295815839288671
image-segmentation,0.0040012246082135544,0.0038676374605778824
ionosphere,0.01632492235106377,0.018109239148751958
iris,0.021565783409107406,0.019305965568015757
led-display,0.019867151850148125,0.020966574162924554
lenses,0.19298430805190667,0.1138836203294012
letter,0.002077992173611377,0.0016718964550370044
libras,0.030880370390206736,0.03376949636331223
low-res-spect,0.05147759316605446,0.04800835055778383
lung-cancer,0.16690967809389518,0.18482490496287746
lymphography,0.08721917739700935,0.07026635263694214
magic,0.00323942993134802,0.003490806836765877
mammographic,0.013958591356624018,0.01944495663587611
miniboone,0.0012628852084563234,7.336486068245342E-4
molec-biol-promoter,0.03843942777361654,0.04937892164141379
molec-biol-splice,0.005431708232227188,0.005685702308221814
monks-1,0.007728450503310529,0.00786673345963248
monks-2,0.02991448626581233,0.026903280922204717
monks-3,0.008035772059135884,0.00867245131270664
mushroom,0.0,0.0
musk-1,0.017596313483737403,0.022932595065990068
musk-2,0.004983540525333581,0.0055570283948263195
nursery,0.0033936127644565296,0.0014448850299340747
oocytes_merluccius_nucleus_4d,0.01708606714461799,0.01852780441859574
oocytes_merluccius_states_2f,0.016565535127437435,0.016291431898065253
oocytes_trisopterus_nucleus_2f,0.010456989385255269,0.015303536819299218
oocytes_trisopterus_states_5b,0.0324970185641079,0.03448966369733382
optical,0.0013291728062689496,0.001360935671121053
ozone,0.02311964071607,0.02820310248426419
page-blocks,0.029568492280920802,0.03054185487529572
parkinsons,0.032072736524200646,0.03589683159660161
pendigits,8.905519421857727E-4,0.0010213556205666272
pima,0.022053258472439996,0.02842633454562119
pittsburg-bridges-MATERIAL,0.09960477314877919,0.10508388129023116
pittsburg-bridges-REL-L,0.0660193088440344,0.07790009019017241
pittsburg-bridges-SPAN,0.06381718452891823,0.06590989995913565
pittsburg-bridges-T-OR-D,0.10045059624481664,0.09783331708517037
pittsburg-bridges-TYPE,0.06844146618871493,0.06426379408104965
planning,0.02919287645832522,0.048105650126575805
plant-margin,0.010470350173638928,0.014091564791600038
plant-shape,0.012519811885774175,0.011356931146109457
plant-texture,0.010093149390260778,0.01388864219031822
post-operative,0.031143167395810134,0.04918655142807234
primary-tumor,0.025709116394570106,0.03441344845481587
ringnorm,0.0018804507712138765,0.002387190101399981
seeds,0.02307007188886243,0.020380307833216135
semeion,0.00696798998605562,0.009418335960537424
soybean,0.012059066479781359,0.01465388276059361
spambase,0.0038096319269840194,0.0034792341397867294
spect,0.042552054074687304,0.04133166968843531
spectf,0.046412866000027156,0.055410506874442156
statlog-australian-credit,0.022917938838446086,0.02623897917203798
statlog-german-credit,0.020366721548300475,0.021672821924118697
statlog-heart,0.030403890404422557,0.03211449822383316
statlog-image,0.003900910935435074,0.004018736462027347
statlog-landsat,0.004751334542903874,0.004531223481291205
statlog-shuttle,0.03217468158872192,0.023753176414604588
statlog-vehicle,0.014120018483976267,0.020063553011047734
steel-plates,0.01398628825174794,0.01571840025998912
synthetic-control,0.0059810257666177,0.009319091487683269
teaching,0.06691849021885712,0.07138651121293521
thyroid,0.009916517617680748,0.0059276181199763595
tic-tac-toe,0.004460611815882207,0.00535668677400662
titanic,0.014953874518486362,0.01085492668829618
trains,0.18491998891101682,0.0
twonorm,0.0020454713847853547,0.002262448281552368
vertebral-column-2clases,0.037098485137530474,0.04434129381885072
vertebral-column-3clases,0.04059448961270998,0.04042515644661754
wall-following,0.0025184804235146973,0.0023680665939134573
waveform,0.004673680555858352,0.005637528947130071
waveform-noise,0.005705404615744553,0.005410314497360919
wine,0.012467910819221729,0.016640467242558434
wine-quality-red,0.019527308220486362,0.021144691170315765
wine-quality-white,0.011789443194295007,0.012500995793962438
yeast,0.03230446458485334,0.02411222478805074
zoo,0.07569406738136546,0.06236456120280408
