TRAINBALACC:,CAWPE-A,PB-A
abalone,0.6514315901380574,0.629498555412028
acute-inflammation,1.0,0.9983333333333334
acute-nephritis,0.9986666666666667,0.9881904761904764
adult,0.7719832866387447,0.7934562481565128
annealing,0.7895811896263023,0.8062417732643297
arrhythmia,0.35949331542774154,0.36951854338739587
audiology-std,0.3456541664633453,0.2954303502008816
balance-scale,0.7247685185185185,0.6592592592592594
balloons,0.6875,0.4347222222222222
bank,0.6260756410256411,0.6597115384615384
blood,0.6008016295420198,0.596736316446547
breast-cancer,0.6209444444444442,0.5890317460317461
breast-cancer-wisc,0.9672234352256186,0.959200024260068
breast-cancer-wisc-diag,0.972189244576355,0.9600611264221609
breast-cancer-wisc-prog,0.6325410628019323,0.5910531400966185
breast-tissue,0.6441015311848645,0.631367243867244
car,0.9375553622792093,0.9210738062442606
cardiotocography-3clases,0.8635363134175535,0.8829297195897643
cardiotocography-10clases,0.791823343441292,0.8037771785961507
chess-krvk,0.775369562197106,0.7225904130500628
chess-krvkp,0.9922549247626801,0.9896248924844395
congressional-voting,0.5182017543859648,0.5171365914786966
conn-bench-sonar-mines-rocks,0.8230555555555557,0.8020643939393938
conn-bench-vowel-deterding,0.9587205387205388,0.9202693602693605
connect-4,0.7822110868349448,0.79516189007073
contrac,0.5106388887634964,0.48760015040387183
credit-approval,0.864353420251172,0.8549036717653903
cylinder-bands,0.7374871794871795,0.7311581196581197
dermatology,0.9689351851851851,0.9592614638447973
echocardiogram,0.7813672438672438,0.7167027417027418
ecoli,0.5914711920007782,0.5237317598533969
energy-y1,0.9329593318809005,0.9284265311062697
energy-y2,0.8938151466445995,0.8912997615220758
fertility,0.5267676767676768,0.5358585858585858
flags,0.4041117216117216,0.3985785510785511
glass,0.6150045252018935,0.6119092871066554
haberman-survival,0.5858630952380952,0.5757142857142858
hayes-roth,0.7728240740740743,0.7476388888888892
heart-cleveland,0.3083709725986149,0.31185309173353176
heart-hungarian,0.785795530576743,0.7697176502074135
heart-switzerland,0.2916666666666667,0.2542222222222222
heart-va,0.31124126984126993,0.2652984126984127
hepatitis,0.6877561475409838,0.6661372950819673
hill-valley,0.6037953795379539,0.5484048404840484
horse-colic,0.8218390804597703,0.8057133198106828
ilpd-indian-liver,0.5719203738029038,0.6015697405004634
image-segmentation,0.9638383838383839,0.9628571428571426
ionosphere,0.903753306878307,0.8976521164021164
iris,0.9591111111111112,0.9493333333333333
led-display,0.7168470797732373,0.7068702028329062
lenses,0.5333333333333332,0.32063492063492066
letter,0.9525270722676412,0.9481350175101204
libras,0.788888888888889,0.6527777777777778
low-res-spect,0.49571453103093366,0.4670439391396302
lung-cancer,0.5175925925925926,0.4109259259259259
lymphography,0.46493055555555557,0.4419444444444445
magic,0.8442204779283007,0.8543614989283724
mammographic,0.8194252391926812,0.7822648229624974
miniboone,0.9214249391687404,0.9324559559607362
molec-biol-promoter,0.8474358974358973,0.8346153846153846
molec-biol-splice,0.9458290779360332,0.9587691213886985
monks-1,0.9810551558752995,0.9744604316546763
monks-2,0.6260690289619373,0.6306490562318268
monks-3,0.9672862712336397,0.9698856516290725
mushroom,1.0,1.0
musk-1,0.8778667342897165,0.8326993672414627
musk-2,0.9550854194300981,0.9444909641671135
nursery,0.793381927133323,0.7979795812435998
oocytes_merluccius_nucleus_4d,0.785602896129212,0.7528630604288502
oocytes_merluccius_states_2f,0.9048215140204808,0.8984369501682163
oocytes_trisopterus_nucleus_2f,0.8194939533164342,0.7932700940008449
oocytes_trisopterus_states_5b,0.905137395459976,0.8642261074174397
optical,0.9837188031155427,0.9756924885199364
ozone,0.5344567048770947,0.5468265788127689
page-blocks,0.7997133687667048,0.8307162562931256
parkinsons,0.8289859208523591,0.8290715372907153
pendigits,0.9924499909582901,0.9892354891260137
pima,0.721481592039801,0.7021592039800993
pittsburg-bridges-MATERIAL,0.6209401709401708,0.6018660968660969
pittsburg-bridges-REL-L,0.5672125260360554,0.5131904043668749
pittsburg-bridges-SPAN,0.6057239057239058,0.5627525252525253
pittsburg-bridges-T-OR-D,0.6496212121212122,0.6522186147186148
pittsburg-bridges-TYPE,0.42115319865319856,0.38845959595959606
planning,0.5111538461538462,0.4833333333333334
plant-margin,0.7976249999999998,0.673125
plant-shape,0.6330000000000002,0.47091666666666665
plant-texture,0.7884226190476191,0.6896904761904762
post-operative,0.3056712962962963,0.30289351851851853
