TRAINACCSTDDEVS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,CAWPE-S,NBC-S,RC-S,WMV-S,MV-S,PB-S
abalone,0.005373709906177409,0.006027307997693977,0.006277021932985523,0.006032625371777222,0.007624673133707517,0.005891985917334504,0.00772563993848587,0.006780269962960048,0.007048803536227212,0.00826092779213998
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006709631665607483
adult,0.0019823499419240444,0.002098505734480268,0.001940231304789757,0.0025547159293922324,0.0016925500677360816,0.002827459159642766,0.0014709815752798462,0.0019522226622908068,0.0019522226622908068,0.0016051714804870773
annealing,0.011806782634939833,0.01026640687266311,0.012868604918645742,0.012699267896763561,0.011489163336132055,0.027191124152119807,0.01629441440445382,0.01250590883389878,0.012626906806902633,0.014246734908827278
arrhythmia,0.01632644071334205,0.024889123928438173,0.021052802200636798,0.025725450391895947,0.024789597079779343,0.02887280481473848,0.023148593603300988,0.02649585028400473,0.02713038123600528,0.043342851090712835
audiology-std,0.17311375118487146,0.027584788162951172,0.014916487402334717,0.037476378788693886,0.032872169108772074,0.03050476338345308,0.03316678940657702,0.03358717106790667,0.034394405587188745,0.03863652637309415
balance-scale,0.009094081634006875,0.012830179821374008,0.011908010312631974,0.015717265860741195,0.012269414547170147,0.028804985850829135,0.010794992729219912,0.015875363778638213,0.01490084512915415,0.019998018541276634
balloons,0.10873205644391253,0.19397444397838937,0.18436417163660412,0.24524566761787858,0.23408778535048172,0.15776113627919652,0.21708624272765237,0.22696479683136708,0.23029929837250976,0.23608345475132053
bank,0.0033607499886428743,0.003708382500292265,0.0033118807965023434,0.004084378724679427,0.004040366021740665,2.823006427041851E-17,0.0036085785276813473,0.004152328189660077,0.004152328189660077,0.0042241409851768484
blood,0.010780896962432744,0.01681897163069698,0.015406267690789234,0.016433458879991588,0.017606920193231426,0.2559349939522827,0.011784874781909076,0.015586563323667238,0.015586563323667238,0.011381926034904495
breast-cancer,0.02558243549699756,0.0359791612212241,0.032962858790250724,0.028499958167156465,0.028213498952494632,0.17839374391442606,0.023461223558175495,0.027721267500485876,0.027721267500485876,0.03187979512868189
breast-cancer-wisc,0.006461338681448149,0.0070861701497306065,0.007015905619219178,0.006417373516612975,0.0068007576385550805,0.006537566312437664,0.006272358811611844,0.006272358811611844,0.006272358811611844,0.006997723561323165
breast-cancer-wisc-diag,0.007425426412605274,0.006837937844640753,0.006706416642877647,0.009792583824481206,0.00819193275887559,0.008291358303854593,0.007666221478590102,0.007666221478590102,0.007666221478590102,0.007754936734061836
breast-cancer-wisc-prog,0.03322568513521689,0.03354295536916246,0.03147201423394738,0.037165160999879314,0.0363429472639939,0.1939374205374765,0.026047588752975324,0.033798876509315685,0.033798876509315685,0.03803728291547787
breast-tissue,0.05700295492363994,0.04154832544900136,0.03727730356507527,0.05184811368286144,0.05400066249615652,0.054193178837598874,0.053625447643562425,0.05735978441725706,0.060494150711328916,0.0528710496225116
car,0.00497171938427862,0.0047871626296563585,0.005250867847894607,0.006235845949316403,0.006515788512020782,0.0061971166962596505,0.0079938495904612,0.00740982815565757,0.00796861479889642,0.010749812660966716
cardiotocography-3clases,0.007048532598151849,0.0086149571531336,0.0068484007177266855,0.007829884076760534,0.007496951096557557,0.009876821429811016,0.006760708935713275,0.0064011188400669265,0.006669649415186827,0.006905013506534372
cardiotocography-10clases,0.009151541453447477,0.011153980117870601,0.010220918174910854,0.011443391622562622,0.010727039610393195,0.008598972986035156,0.0089761503672815,0.008651336986382867,0.008983839842289723,0.007083527547270557
chess-krvk,0.003898991945118192,0.0049064761383181945,0.0035745367989835604,0.011564897914448582,0.0032285142981849984,0.00584338779482201,0.007301047117967097,0.0036800275834455174,0.005963525488677896,0.003812289243605348
chess-krvkp,0.0017511268617385121,0.001536889124492634,0.0018898837595858618,0.0024633295067601345,0.0022286709835063357,0.0027842761385919092,0.0024815577375128864,0.0024815577375128864,0.0024815577375128864,0.005878980164903468
congressional-voting,0.02677109044815395,0.019047960779439044,0.01719730018810139,0.017898381086432963,0.016104420773646218,0.0642058933663696,0.00802145853392204,0.013223865653952989,0.013223865653952989,0.019428602385706976
conn-bench-sonar-mines-rocks,0.03614138310127558,0.04018412998022673,0.035328840865812984,0.034461028730308645,0.03142717234815088,0.031552754236175866,0.03350941539030868,0.03350941539030868,0.03350941539030868,0.04155208393179992
conn-bench-vowel-deterding,0.004506392004354533,0.004472956684130893,0.005287596477908194,0.02206322482733114,0.00756510726269768,0.007445097951224368,0.010845867770356624,0.010856459335080946,0.012048234199229098,0.02044908714205333
connect-4,0.001663040896717545,0.0016389578685665972,0.0017323869406001167,0.0026647208103050424,0.002264050654359049,0.0028201804556830462,2.4466757666402253E-4,0.0019150444014251018,0.0019150444014251018,5.405121257470445E-6
