TRAINACC:,SMLRE-S,SMM5-S,SMLR-S,ES-S,CAWPE-S,NBC-S,RC-S,WMV-S,MV-S,PB-S
abalone,0.6697971570036735,0.664542405366555,0.6627695256348827,0.6589362721609968,0.6480114997604215,0.6540329020923175,0.6506788053026672,0.6531863919501674,0.6506628334131925,0.6270883245487942
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983333333333334
adult,0.8604613704613703,0.8604026754026755,0.8594062244062246,0.8581476931476931,0.8566366366366366,0.8386663936663936,0.8498771498771498,0.8516175266175268,0.8516175266175268,0.8422467922467921
annealing,0.9451636904761908,0.9534226190476193,0.9380952380952382,0.9226190476190478,0.9180803571428572,0.836532738095238,0.9052827380952381,0.9055803571428572,0.9040178571428572,0.8472470238095238
arrhythmia,0.8845345345345346,0.8142642642642645,0.8267267267267269,0.685885885885886,0.6905405405405407,0.7123123123123124,0.6699699699699698,0.6776276276276275,0.6711711711711712,0.5451951951951951
audiology-std,0.8243055555555555,0.8392361111111112,0.9805555555555556,0.7163194444444443,0.7104166666666667,0.8447916666666667,0.7083333333333334,0.703125,0.6961805555555557,0.6774305555555553
balance-scale,0.9440170940170938,0.9548076923076925,0.9208333333333333,0.902457264957265,0.9005341880341879,0.895192307692308,0.8954059829059827,0.8991452991452992,0.8999999999999999,0.8975427350427352
balloons,0.9714285714285714,0.7904761904761906,0.6714285714285715,0.6380952380952379,0.676190476190476,0.7952380952380953,0.6619047619047617,0.657142857142857,0.6523809523809522,0.657142857142857
bank,0.8991297935103244,0.8980678466076697,0.8963126843657819,0.8949705014749263,0.8938053097345134,0.11504424778761059,0.8899115044247786,0.8937758112094396,0.8937758112094396,0.8939675516224189
blood,0.805169340463458,0.7875222816399285,0.7866310160427806,0.7846702317290554,0.7820855614973262,0.4157754010695188,0.7680035650623885,0.7793226381461673,0.7793226381461673,0.768716577540107
breast-cancer,0.7739436619718312,0.7462441314553989,0.7434272300469483,0.7321596244131455,0.7244131455399059,0.5807511737089202,0.7342723004694839,0.722300469483568,0.722300469483568,0.7204225352112676
breast-cancer-wisc,0.9755491881566383,0.9748806112702958,0.971155682903534,0.9680993314231137,0.9662846227316143,0.9666666666666668,0.9655205348615092,0.9655205348615092,0.9655205348615092,0.9655205348615089
breast-cancer-wisc-diag,0.9801643192488264,0.9808685446009391,0.9767605633802818,0.972887323943662,0.9719483568075117,0.9746478873239436,0.9734741784037559,0.9734741784037559,0.9734741784037559,0.9730046948356812
breast-cancer-wisc-prog,0.821768707482993,0.8017006802721088,0.7952380952380954,0.7846938775510206,0.7829931972789118,0.5421768707482992,0.7860544217687073,0.7772108843537416,0.7772108843537416,0.7656462585034014
