TRAINACCRANKS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,CAWPE-S,NBC-S,RC-S,WMV-S,MV-S,PB-S
abalone,1.0,2.0,3.0,4.0,9.0,5.0,7.0,6.0,8.0,10.0
acute-inflammation,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
acute-nephritis,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
adult,1.0,2.0,3.0,4.0,5.0,10.0,8.0,6.5,6.5,9.0
annealing,2.0,1.0,3.0,4.0,5.0,10.0,7.0,6.0,8.0,9.0
arrhythmia,1.0,3.0,2.0,6.0,5.0,4.0,9.0,7.0,8.0,10.0
audiology-std,4.0,3.0,1.0,5.0,6.0,2.0,7.0,8.0,9.0,10.0
balance-scale,2.0,1.0,3.0,4.0,5.0,10.0,9.0,7.0,6.0,8.0
balloons,1.0,3.0,5.0,10.0,4.0,2.0,6.0,7.5,9.0,7.5
bank,1.0,2.0,3.0,4.0,6.0,10.0,9.0,7.5,7.5,5.0
blood,1.0,2.0,3.0,4.0,5.0,10.0,9.0,6.5,6.5,8.0
breast-cancer,1.0,2.0,3.0,5.0,6.0,10.0,4.0,7.5,7.5,9.0
breast-cancer-wisc,1.0,2.0,3.0,4.0,6.0,5.0,8.0,8.0,8.0,10.0
breast-cancer-wisc-diag,2.0,1.0,3.0,9.0,10.0,4.0,6.0,6.0,6.0,8.0
breast-cancer-wisc-prog,1.0,2.0,3.0,5.0,6.0,10.0,4.0,7.5,7.5,9.0
breast-tissue,2.0,3.0,1.0,7.0,6.0,4.0,5.0,8.0,9.0,10.0
car,2.0,1.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0
cardiotocography-3clases,2.0,1.0,3.0,4.0,5.0,9.0,7.0,6.0,8.0,10.0
cardiotocography-10clases,2.0,1.0,3.0,5.0,4.0,7.0,8.0,6.0,9.0,10.0
chess-krvk,2.0,1.0,3.0,4.0,5.0,6.0,8.0,7.0,9.0,10.0
chess-krvkp,2.0,1.0,3.0,4.0,5.0,6.0,8.0,8.0,8.0,10.0
congressional-voting,1.0,2.0,3.0,7.0,8.0,10.0,4.0,5.5,5.5,9.0
conn-bench-sonar-mines-rocks,1.0,2.0,3.0,5.0,4.0,6.0,8.0,8.0,8.0,10.0
conn-bench-vowel-deterding,1.0,2.0,3.0,5.0,4.0,6.0,8.0,7.0,9.0,10.0
connect-4,2.0,1.0,3.0,4.0,5.0,6.0,9.0,7.5,7.5,10.0
