TRAINBALACCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
Adiac,0.019167477767996623,0.017501017359252836,0.017171507927921964
ArrowHead,0.06421221423919007,0.05704423085781084,0.05944256451354714
Beef,0.06720092439916414,0.0684157525571164,0.06985663114144337
BeetleFly,0.06486059321131851,0.09278574999588489,0.09972663785995486
BirdChicken,0.07273396651535972,0.09284766908852596,0.09298683629491832
Car,0.054360938068732816,0.056553079688481896,0.05522760825326052
CBF,0.05870570801256642,0.059946229631218026,0.06595942438212989
ChlorineConcentration,0.025375855376877827,0.018822899622979988,0.017490162501706923
CinCECGtorso,0.07369798484143732,0.0711398520050864,0.07377480860496022
Coffee,0.01646903704919335,0.017294078503982215,0.023259240292248455
Computers,0.025741062504305707,0.029125175743142964,0.032163090147187184
CricketX,0.024148060048562337,0.02354461614055164,0.024797530243732973
CricketY,0.019942783267011252,0.0214734322944809,0.02424852806492724
CricketZ,0.022200877817745657,0.025047684408796372,0.02863242205731323
DiatomSizeReduction,0.021767375731411423,0.021767375731411423,0.021767375731411423
DistalPhalanxOutlineAgeGroup,0.02889336932895447,0.028190603708713735,0.028972316712450624
DistalPhalanxOutlineCorrect,0.012770268247535315,0.012244615647762655,0.012437696595418865
DistalPhalanxTW,0.022802016692541185,0.020901981274820576,0.020905318170454275
Earthquakes,0.014143428279323871,0.014001952929310382,0.01693867326129214
ECG200,0.03424096077353255,0.033090827676844264,0.03405164310196156
ECG5000,0.0372660479481017,0.04097925550203428,0.038752287385200604
ECGFiveDays,0.06212917025363284,0.05996899143603461,0.06997303194315435
ElectricDevices,0.007877636526076235,0.007602801977707819,0.006466593870707208
FaceAll,0.010525150558368777,0.010679335442296566,0.010848401167074048
FaceFour,0.10137484813291657,0.10414789102818839,0.105252103390855
FacesUCR,0.037028514444436875,0.03653956379799264,0.03600255376481928
FiftyWords,0.025326318195098074,0.024098056548828562,0.023587339027847938
Fish,0.020824129712536298,0.022298165459733142,0.02314064001683093
FordA,0.005970882939163653,0.0062974287965489205,0.005888977411392098
FordB,0.008222341357309036,0.007924692583534334,0.008127152925945704
GunPoint,0.03480222991074747,0.03346644629383051,0.03310045981509441
Ham,0.032305800025004265,0.033014516058183015,0.0338777270459008
HandOutlines,0.006342581224582313,0.006509696607163053,0.006253475269492648
Haptics,0.028538397487437327,0.029174758334763788,0.03294172878880138
Herring,0.05902127837948309,0.058982421058644735,0.06428816043997039
InlineSkate,0.057905301684299644,0.0639826648263,0.06227577353199285
InsectWingbeatSound,0.03889565095665428,0.040221198970007976,0.03926391208780006
ItalyPowerDemand,0.01709981484499603,0.01838709969130598,0.01882692262258317
LargeKitchenAppliances,0.019507289792400708,0.02082615508518517,0.02113393402339557
Lightning2,0.04695467366844693,0.0484771690545171,0.05001616118126565
Lightning7,0.06668771611188007,0.0670519348684614,0.06600014108475813
Mallat,0.05392424199277069,0.04899349199918332,0.04946026161509666
Meat,0.010107973914385365,0.010357591104431074,0.010357591104431074
MedicalImages,0.034262432945836335,0.03588013015629577,0.03412529530498868
MiddlePhalanxOutlineAgeGroup,0.02572543714846507,0.028238620663712098,0.027055606656610942
MiddlePhalanxOutlineCorrect,0.014758594368731491,0.012404103175940472,0.012464532183860365
MiddlePhalanxTW,0.01844864395925721,0.017576092320011005,0.015755360292486472
MoteStrain,0.07483698759733501,0.0782164694418894,0.08110231936816942
NonInvasiveFetalECGThorax1,0.005180149143670803,0.0055160402394679115,0.005703281486685215
NonInvasiveFetalECGThorax2,0.003780918035555352,0.004126158051127204,0.004157768291904487
OliveOil,0.06364969060404256,0.07022466188679642,0.06801336257201755
OSULeaf,0.03679751218766193,0.03630643581421198,0.03676090515096352
PhalangesOutlinesCorrect,0.006980479061811352,0.0067217950663834404,0.006909012165516528
Phoneme,0.010234824133900821,0.010075969039090823,0.008226502319667912
Plane,0.008423449433183029,0.009409002707115068,0.010511681459335686
ProximalPhalanxOutlineAgeGroup,0.015290478811718832,0.01611074877572093,0.016416223774001076
ProximalPhalanxOutlineCorrect,0.009942919383951905,0.011308731990982136,0.010193273920397516
