TRAINTESTDIFFSAUROCSTDDEVS:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
abalone,0.008704660944290584,0.008731895804644393,0.008746564312274082
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0
adult,0.0030636122579040326,0.003552722903822772,0.0035618275677035713
annealing,0.011674765684036997,0.0112509966874565,0.011806278290282876
arrhythmia,0.02806213368182873,0.02849410707036707,0.028614529565817146
audiology-std,0.010532540719886194,0.010362488991838987,0.010310150019122511
balance-scale,0.00392124813944046,0.004480609706174068,0.004838132649700802
balloons,0.39029412231765526,0.36356929312961633,0.3828891312710067
bank,0.013151219565392733,0.013228734504605471,0.013213638654599557
blood,0.05629681442699957,0.05756784556271147,0.05808961039950337
breast-cancer,0.07004810023288266,0.07373416607711349,0.0755089143459505
breast-cancer-wisc,0.005054656720937813,0.004786420663607914,0.004773751419658633
breast-cancer-wisc-diag,0.006497667132236978,0.006546168556791048,0.006546103249106243
breast-cancer-wisc-prog,0.0849074793893124,0.0882091560870272,0.08775405762937782
breast-tissue,0.029515153177913946,0.029443652852202008,0.030250623220765625
car,0.0014395183273240245,8.204848425062071E-4,8.39115333278631E-4
cardiotocography-3clases,0.004301559680462909,0.0032839434570167436,0.0032875564731247335
cardiotocography-10clases,0.002510337252635339,0.002468271642659786,0.002440109745520055
chess-krvk,8.943335560329923E-4,8.925120472597695E-4,0.0011463163394904875
chess-krvkp,7.7989983571748E-4,8.492602264052448E-4,8.494353852622432E-4
congressional-voting,0.060467380217953594,0.060493592421804736,0.059914677271275384
conn-bench-sonar-mines-rocks,0.03803628951949943,0.0349675811342444,0.03620959425655883
conn-bench-vowel-deterding,9.218769708967374E-4,9.430627514328383E-4,9.51611640307138E-4
connect-4,0.0034223000020944657,0.0024909265717474407,0.002501653931605519
contrac,0.018257435496458602,0.01852834889219624,0.018870652283288908
credit-approval,0.023265247545123678,0.022793111106150604,0.022943459596620846
cylinder-bands,0.0378398461103198,0.03843943268851544,0.03876980574075755
dermatology,0.001352539382320036,0.0013187325607858648,0.0013202294174959033
echocardiogram,0.09568257700311514,0.0968478972910592,0.09853414050539146
ecoli,0.013944246462018767,0.013699716932321391,0.013541808001624907
energy-y1,0.005682471762424972,0.005598627294913892,0.005767546064880488
energy-y2,0.0055454254697761525,0.0055848009074143,0.005704335204112724
fertility,0.17680841198549374,0.16535080477835426,0.16428951333922237
flags,0.03708908407356205,0.037499895231323924,0.039170778454416126
glass,0.025597143251230272,0.02397481635472009,0.024634117985915405
haberman-survival,0.08102500706381913,0.08128695836718129,0.0803665935081438
hayes-roth,0.042057205684393285,0.0401277721291775,0.04355456501945175
heart-cleveland,0.03439158906687708,0.03512511689988272,0.035749161558948285
heart-hungarian,0.045333394849760414,0.04364112758398506,0.04327794414918063
heart-switzerland,0.08086202961854883,0.08884674724209539,0.09227400826492989
heart-va,0.05953611873732989,0.05410084227840092,0.05633016095793132
hepatitis,0.06274661216191042,0.0616390728423969,0.06262199026317702
hill-valley,0.036838568050269804,0.04090100283232206,0.03852251213157835
horse-colic,0.031683884664663466,0.03222071696963533,0.03254093766973568
ilpd-indian-liver,0.0492213158129386,0.04808063798510376,0.048015099233663726
image-segmentation,8.22950694729608E-4,8.28858620172441E-4,8.544869570658535E-4
ionosphere,0.014859905936198079,0.014685619609727541,0.014760301988960483
iris,0.005882257236093188,0.005199422308022745,0.005242163280752401
led-display,0.008586870544626313,0.008852104422518608,0.00879938656035872
lenses,0.2455474704967042,0.24370403941537105,0.2390239680827564
letter,8.116154167945973E-5,8.54286312226662E-5,8.914160248523966E-5
libras,0.007696165333705377,0.007849586220620574,0.007966150263988574
low-res-spect,0.006391061865090025,0.0064385299089255955,0.006387867741062871
lung-cancer,0.16281132897305453,0.17390166069642107,0.19785208593377232
lymphography,0.047112154129077544,0.04707231889966845,0.04696548821392071
magic,0.004243133827283344,0.004143411338300335,0.0041529880183782415
mammographic,0.021644253212049543,0.022102766819180813,0.022150629605406143
miniboone,5.967116741194301E-4,7.28158238466011E-4,7.445864946186855E-4
molec-biol-promoter,0.04493181214354752,0.05005223859301905,0.05213893204975019
molec-biol-splice,0.002752756225678005,0.0033126625496418018,0.003388437542482006
monks-1,0.004914058957186073,0.004769240273132336,0.005148356203860911
monks-2,0.057120349533762924,0.05569195776987504,0.05437664337472
monks-3,0.005475923085144728,0.004776972825166118,0.005312762433339212
mushroom,0.0,0.0,0.0
musk-1,0.026044755367887508,0.02628671900680042,0.026239828686849286
musk-2,0.001078486784288385,0.0010866324406906443,0.0010879535417341062
nursery,1.6148352876176567E-5,1.3243345917518672E-5,1.4513275822356186E-5
oocytes_merluccius_nucleus_4d,0.022009306765669458,0.02226766945944377,0.022501854097917214
oocytes_merluccius_states_2f,0.006689714942121849,0.00668049102653976,0.006690566027543508
oocytes_trisopterus_nucleus_2f,0.019189573079981807,0.019441244763481136,0.01941026937089543
oocytes_trisopterus_states_5b,0.011815153889895215,0.011762898987864727,0.011829867975106052
optical,1.1272029375977984E-4,1.1329353375573572E-4,1.1426067093638179E-4
ozone,0.03586472998665748,0.03493319828369292,0.03497385286016467
page-blocks,0.0024909434476812794,0.0023872538778830932,0.002414641701798998
parkinsons,0.033549164883576836,0.03566020085600731,0.03646328446143439
pendigits,2.671992875504252E-4,2.675676740308656E-4,2.6773928837606654E-4
pima,0.03514007466491758,0.035514389780163164,0.035619373894583174
pittsburg-bridges-MATERIAL,0.06414098733624908,0.06317635917637715,0.06243869605256381
pittsburg-bridges-REL-L,0.08320739534869795,0.08957831202567326,0.09435156853055027
pittsburg-bridges-SPAN,0.06977421440496541,0.06766022423763662,0.07052584388843351
pittsburg-bridges-T-OR-D,0.17799779623198672,0.17070186210828486,0.17013288980864466
pittsburg-bridges-TYPE,0.07169629584028255,0.0724511902142207,0.07289604296258366
planning,0.10711170436737366,0.10741388537039337,0.10563251575885424
plant-margin,6.097394326978902E-4,6.284104362054769E-4,6.547810344695025E-4
plant-shape,0.003094009810111661,0.0031360193367768697,0.003184726480488378
plant-texture,0.0017992687496593861,0.00173082633064335,0.0017321019246690171
post-operative,0.15727548324511012,0.1252933293507429,0.12391638966823443
primary-tumor,0.02978864359579662,0.028163947293099546,0.02862276297119346
ringnorm,8.3405905777188E-4,8.109058186661995E-4,8.121046019498944E-4
seeds,0.008712270948859017,0.008782570725479258,0.008908631637386146
semeion,0.0012962577799504273,0.0013192573676813087,0.001353063572803752
soybean,0.0030336940137808484,0.003024854457503549,0.0030360020729760045
spambase,0.003130698257621941,0.0031220947002112247,0.003135164556519703
spect,0.06703436482269455,0.0655440448951167,0.06617303098487555
spectf,0.060427504374838514,0.061373676105968125,0.06259086427000511
statlog-australian-credit,0.04916177288265484,0.047948462745126534,0.04746686696020277
statlog-german-credit,0.03431622764923362,0.033285523019669576,0.033293968630569735
statlog-heart,0.043630933419666486,0.04430898642317063,0.04433783125987006
statlog-image,5.50294680008444E-4,5.696114976015962E-4,5.799514201378944E-4
statlog-landsat,0.001137520674378015,0.0011983320296293839,0.0012080053267488925
statlog-shuttle,5.482290587600629E-7,3.4573458875300576E-6,4.547448941875471E-6
statlog-vehicle,0.006720672348383963,0.006988625998902499,0.00715394843888078
steel-plates,0.00690053962645964,0.006855796509320596,0.0068668181499966
synthetic-control,3.4823576517662515E-4,3.3779511953871264E-4,3.447231106098095E-4
teaching,0.06589059529718486,0.06806483906588959,0.0728553627883396
thyroid,9.191021878406659E-4,5.103474811749846E-4,5.25394147752224E-4
tic-tac-toe,0.0011715526813749996,0.0011668769817434466,0.0011824755434937631
titanic,0.026289236788536157,0.0247257538901907,0.02468403618334281
trains,0.3226194319275332,0.28193095709141663,0.42287729817161596
twonorm,6.539229955321445E-4,6.520174141727067E-4,6.501313776087477E-4
vertebral-column-2clases,0.04056625492837178,0.03853731941403772,0.038921245299695886
vertebral-column-3clases,0.01691613130988069,0.017012286485376525,0.016988459470783656
wall-following,1.6166872250999003E-4,2.5096405830772123E-4,2.8672641700896756E-4
waveform,0.002786107958322599,0.002780412435500744,0.002779161303099449
waveform-noise,0.0033707714036488256,0.0033651260442156797,0.0033539464062798886
wine,0.0018037326337732244,0.0017556810449886962,0.0017862598066186106
wine-quality-red,0.01725613760453125,0.017264932336056985,0.01724942529155046
wine-quality-white,0.009769920506598346,0.009859583457016251,0.009857321327242994
yeast,0.01442971216151086,0.014801278472201838,0.014964939233589651
zoo,0.005663737193768847,0.005231346213673569,0.005249752589839944
