TRAINAUROCSTDDEVS:,CAWPE-S,PB-S
abalone,0.004540363702280767,0.004745342687061073
acute-inflammation,0.0,0.0
acute-nephritis,0.0,0.0
adult,0.0017950721087701001,0.001944968427115084
annealing,0.010280795127289362,0.019735847798797956
arrhythmia,0.02297620098723614,0.021502832655043016
audiology-std,0.013962208574870882,0.01910150545119594
balance-scale,0.0033710077503703003,0.0037145753343220036
balloons,0.2791727425426764,0.27485047601100093
bank,0.00874171277305075,0.011158240384907283
blood,0.027562932133285256,0.04121069650356865
breast-cancer,0.049103289145698926,0.0649962436586406
breast-cancer-wisc,0.0027620374727994204,0.001969561098100256
breast-cancer-wisc-diag,0.00591586711058878,0.0053640032784306665
breast-cancer-wisc-prog,0.07285964560882167,0.04349120802284927
breast-tissue,0.01924382095467012,0.01832806951688627
car,0.0011358058136949252,0.005821559562439331
cardiotocography-3clases,0.002411482632649187,0.003964544287064888
cardiotocography-10clases,0.0016886929474225014,0.001577369395678311
chess-krvk,7.981191181148652E-4,0.0016927429462476472
chess-krvkp,4.46976153727456E-4,0.0014624472211004218
congressional-voting,0.04108773733977275,0.04017260648361002
conn-bench-sonar-mines-rocks,0.030775402211744688,0.038405739045293937
conn-bench-vowel-deterding,0.0011380100748856886,0.003764102587633024
connect-4,0.00209601594879015,0.007882159168187637
contrac,0.012201020802156473,0.016698471949840844
credit-approval,0.012461919673720729,0.017643543861254593
cylinder-bands,0.0317296661533087,0.028953138542948058
dermatology,9.797508607784753E-4,0.0019594364009313608
echocardiogram,0.06286101762563769,0.06460140512861143
ecoli,0.008700980546079363,0.007117404969399693
energy-y1,0.0030422722033680923,0.010470328678371086
energy-y2,0.0038728140613659553,0.007535561837509846
fertility,0.1334483276988775,0.16045554491235686
flags,0.03214984874926264,0.034685563299698415
glass,0.024306013729149086,0.0254503738017845
haberman-survival,0.05070323367284239,0.03703693790627839
hayes-roth,0.04579870366681952,0.06418350045476079
heart-cleveland,0.02246036804931269,0.018784333880798705
heart-hungarian,0.022269121249702258,0.02564869537731812
heart-switzerland,0.061324846473061946,0.04751688398153222
heart-va,0.04398691534535376,0.03942772725552711
hepatitis,0.04296622396971194,0.05542075205322448
hill-valley,0.023197722124025842,0.02595900598337501
horse-colic,0.022713273784102116,0.023836756473109327
ilpd-indian-liver,0.02509564503679029,0.03913580848505059
image-segmentation,8.532224015950743E-4,0.0019897148456103565
ionosphere,0.012352898265640516,0.024717981334088087
iris,0.0030026093377675763,0.005440276456051026
led-display,0.0046837415468720285,0.004393511035509431
lenses,0.17846338396863204,0.16043959573897207
letter,2.799901786295488E-4,2.991492373893827E-4
libras,0.007562255503575396,0.00724466246498383
low-res-spect,0.004249106888980163,0.005216351819652792
lung-cancer,0.1353659096179531,0.12314232588366131
lymphography,0.027658572038789523,0.03343976037485729
magic,0.0026313104149067036,0.0037220219155231445
mammographic,0.013051959503936323,0.022157721405918387
miniboone,0.002094480663417577,9.354980103146616E-4
molec-biol-promoter,0.049293398323605894,0.05711113633260472
molec-biol-splice,0.003322794290220847,0.004925766216821401
monks-1,0.036217832177722745,0.02316890127716288
monks-2,0.03090310738027931,0.03675985894099159
monks-3,0.008431083287633897,0.021507990841001374
mushroom,7.847183597774314E-6,0.00854480992770068
musk-1,0.015319590587953987,0.02191168701970215
musk-2,0.0023138637977354955,0.005111662342176536
nursery,2.0459073626743584E-4,8.306225519362315E-4
oocytes_merluccius_nucleus_4d,0.011670510590636694,0.020170884804554874
oocytes_merluccius_states_2f,0.0032727099022783804,0.003913501107241046
oocytes_trisopterus_nucleus_2f,0.013099648125655337,0.014556106952513623
oocytes_trisopterus_states_5b,0.004957145262048385,0.006677677413071678
optical,2.24691108707724E-4,3.928468530462235E-4
ozone,0.04031382837260185,0.04166796457587591
page-blocks,0.002032683495415906,0.005271954675715962
parkinsons,0.024514518067294593,0.04060132618015286
pendigits,1.5585580354996638E-4,2.2107584614404997E-4
pima,0.017568651755998446,0.015063122141787476
pittsburg-bridges-MATERIAL,0.04800224961078798,0.03381978532728919
pittsburg-bridges-REL-L,0.0528991241386113,0.04550480916703976
pittsburg-bridges-SPAN,0.04841236100070888,0.04617637432255348
pittsburg-bridges-T-OR-D,0.10641498248214039,0.09941104874918058
pittsburg-bridges-TYPE,0.04825062743483461,0.04619863870531754
planning,0.08843544729335352,0.07622740902735049
plant-margin,8.08698251090452E-4,6.085440463357336E-4
plant-shape,0.002098848776982749,0.0018614165317396964
plant-texture,0.0015007747633567787,0.0017001482627076114
post-operative,0.11357449443729642,0.10467263294162041
primary-tumor,0.01628042078858575,0.01578790589911021
ringnorm,0.00250534928162421,0.0036137707881209267
seeds,0.004370043371768785,0.006725670455740377
semeion,0.0013089796160065932,0.0018799121480187508
soybean,0.001940848324877899,0.0026862604769982176
spambase,0.001822818817739862,0.0030993448962539556
spect,0.04207291179583645,0.04563881491733898
spectf,0.04424187265038652,0.033935808335322136
statlog-australian-credit,0.03335611833382861,0.03734043249941575
statlog-german-credit,0.016617317083214032,0.017649889472141696
statlog-heart,0.023188450024945337,0.023157877087056675
statlog-image,5.995132159476184E-4,8.8105168226419E-4
statlog-landsat,4.639478148570433E-4,8.223966105560919E-4
statlog-shuttle,4.277250734181018E-5,0.0020459898465406703
statlog-vehicle,0.0056687119372596205,0.007992424716157331
steel-plates,0.005279030010309699,0.00524374983735594
synthetic-control,1.7550714692194665E-4,8.182252232510607E-4
teaching,0.04029871511905545,0.04513556436832254
thyroid,0.0012741410103966138,0.003277764745863748
tic-tac-toe,0.0017866322919350898,0.009684341786565966
titanic,0.01687965227041133,0.01228747052436428
trains,0.4139277798077241,0.4289287645489298
twonorm,4.1109499019439434E-4,2.662148249047078E-4
vertebral-column-2clases,0.02234936433242664,0.032089938639859865
vertebral-column-3clases,0.009346140437803626,0.021518843073020877
wall-following,5.644527545748136E-4,0.0038110293707991003
waveform,0.0014388901052502909,0.001382711366467859
waveform-noise,0.0017672663109073096,0.0020448816232897984
wine,0.0028354687774246375,0.008997454989486082
wine-quality-red,0.01131445369096999,0.008811948188798612
wine-quality-white,0.005497949667914166,0.007449733599229529
yeast,0.007938905909822228,0.007465742632779252
zoo,0.008648672159304458,0.01315241187927611
