TRAINAUROC:,CAWPE-S,PB-S
abalone,0.8325084119951163,0.8144330837138801
acute-inflammation,1.0,1.0
acute-nephritis,1.0,1.0
adult,0.9065262350582418,0.8851335821712321
annealing,0.9570869225295436,0.8546782772438081
arrhythmia,0.8387952980782923,0.7843886266181127
audiology-std,0.9277839124704907,0.8468521453842773
balance-scale,0.9842693812745889,0.9780694084079491
balloons,0.6777777777777777,0.7055555555555556
bank,0.858482628205127,0.8513433333333321
blood,0.7390485577238983,0.722115776332217
breast-cancer,0.6715714285714288,0.656761904761905
breast-cancer-wisc,0.9915077632217368,0.9942588549247938
breast-cancer-wisc-diag,0.9913151014062609,0.9914246343014628
breast-cancer-wisc-prog,0.7249082125603866,0.737487922705314
breast-tissue,0.9039484129869835,0.8874688575326691
car,0.9948590561236585,0.9301939492255545
cardiotocography-3clases,0.9784130659200142,0.9597207852555805
cardiotocography-10clases,0.9818640113281764,0.9721254979507935
chess-krvk,0.9611216625354655,0.7461820032042535
chess-krvkp,0.9987452763870146,0.9895026049933283
congressional-voting,0.573514142499104,0.5185493495643863
conn-bench-sonar-mines-rocks,0.8937626262626266,0.8243181818181821
conn-bench-vowel-deterding,0.9976353161242051,0.9680567153011598
connect-4,0.8855002207847547,0.5253568762578003
contrac,0.7116495795992631,0.6750464111123154
credit-approval,0.910382233172498,0.8501807936670859
cylinder-bands,0.7800619658119643,0.740149572649571
dermatology,0.9986523941304088,0.9961352658164812
echocardiogram,0.819877344877345,0.814646464646465
ecoli,0.9596649406212585,0.9541917571789374
energy-y1,0.985541106545827,0.9267734045851949
energy-y2,0.9786054928900452,0.9486829314169801
fertility,0.5523989898989901,0.5021464646464647
flags,0.8040190875730189,0.7221038249226048
glass,0.861709781762183,0.793985082407705
haberman-survival,0.6844568452380956,0.6970758928571432
hayes-roth,0.8521308858515128,0.5123170841188617
heart-cleveland,0.8053062869507533,0.8116512846940622
heart-hungarian,0.8652214639368391,0.8577144386457917
heart-switzerland,0.5878744443916755,0.556174217896442
heart-va,0.5902236668771333,0.5791190513310107
hepatitis,0.8175546448087435,0.8044740437158475
hill-valley,0.7325886714083969,0.5935859592559924
horse-colic,0.8670385395537513,0.8470545977011482
ilpd-indian-liver,0.7252510040160651,0.7040836422613539
image-segmentation,0.995811068841372,0.9806148935239849
ionosphere,0.9448034769463337,0.892351662887377
iris,0.9960266666666667,0.9882844444444447
led-display,0.9479787404924226,0.9469980347130381
lenses,0.8167508417508418,0.8202020202020202
letter,0.9970107103027315,0.987284581085035
libras,0.9657506613756613,0.9461155202821872
low-res-spect,0.9756792879334975,0.9695088654133822
lung-cancer,0.6214455667789001,0.5658765432098766
lymphography,0.8819095382737029,0.8720054516179145
magic,0.9077191925184424,0.8337564247861504
mammographic,0.8865929883371708,0.863320297041224
miniboone,0.956730682633074,0.9029260046947948
molec-biol-promoter,0.880128205128205,0.8390532544378696
molec-biol-splice,0.9738105852778426,0.9363911999840446
monks-1,0.9465314079671499,0.7320100753929225
monks-2,0.7769520148505903,0.5105613326105163
monks-3,0.9785401002506245,0.8432313422444978
mushroom,0.9999961242492856,0.9523734725172657
musk-1,0.9377288315703036,0.8756291358740275
musk-2,0.9926774240585508,0.9468427501669799
