TRAINTESTDIFFSNLLSTDDEVS:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
abalone,0.02644227894460467,0.026446835686453916,0.02647286616098974
acute-inflammation,0.02313274590344037,0.021576840973465548,0.022704778534592674
acute-nephritis,0.03162077735801932,0.030917474941811643,0.030698922745474134
adult,0.007947088559379853,0.007649708450600539,0.007656848593981963
annealing,0.06020879642238822,0.049835542855056286,0.05130485044939283
arrhythmia,0.13437909000422318,0.12682884964212363,0.12368931584460056
audiology-std,0.1631769556797365,0.15572661616243805,0.15740356047264362
balance-scale,0.04315266131673607,0.041733812824377596,0.041253593289829284
balloons,0.4466627593113864,0.47353286613306833,0.488346905124923
bank,0.01763063944439131,0.01507518232668434,0.015059642496661592
blood,0.04729594904773665,0.04866066603698973,0.04960578541687501
breast-cancer,0.10589756648421411,0.09794906000615823,0.10065722113503157
breast-cancer-wisc,0.0579957510704313,0.04735575432767427,0.04737018870896987
breast-cancer-wisc-diag,0.04931747432004157,0.04946440624384469,0.0493923155016435
breast-cancer-wisc-prog,0.10963464576283148,0.1095227130410244,0.10993485908446914
breast-tissue,0.24376677875581435,0.24317046422094335,0.24315183531317291
car,0.015638967597453146,0.016306043237290204,0.01651501550460809
cardiotocography-3clases,0.04809627138074006,0.026161459884621135,0.02610360999360199
cardiotocography-10clases,0.04677130798500491,0.038281719709829874,0.038105263688891056
chess-krvk,0.01581181385865575,0.015246912200913494,0.015089478240904602
chess-krvkp,0.010064625953820234,0.010176072678884622,0.010199906639771088
congressional-voting,0.05821191246100576,0.0427264307469461,0.0422294141651239
conn-bench-sonar-mines-rocks,0.11725881346527794,0.0918768651349688,0.0914189893915562
conn-bench-vowel-deterding,0.048043232463870086,0.04832758407141716,0.048903632698405405
connect-4,0.008009979072497855,0.005110966099720218,0.0051441445088637695
contrac,0.03983763809776478,0.03931291820684144,0.04033320778049359
credit-approval,0.09508339845486093,0.07826710587297081,0.07834631151847506
cylinder-bands,0.07751946429343146,0.06925444511927491,0.07030293458602196
dermatology,0.052560395833193926,0.04688551765472859,0.046808099414005856
echocardiogram,0.18669203741714024,0.17964646323024158,0.18515116763606837
ecoli,0.13022361616754372,0.12823865105054774,0.12719552817787108
energy-y1,0.08184357878201588,0.08145166686379104,0.0811938848727627
energy-y2,0.07536834406890248,0.07129311838409737,0.0719541110494315
fertility,0.11952217089783082,0.08299178390305052,0.0942530522031491
flags,0.205062104638383,0.2061846432510462,0.21335173575323899
glass,0.15391570468464622,0.1442423622668543,0.14647528164054935
haberman-survival,0.07037944168807944,0.07042180002493946,0.07288182625158185
hayes-roth,0.17457036474960272,0.12516138749512964,0.11446354068518573
heart-cleveland,0.15460770046013303,0.12956288240221875,0.13180825426292855
heart-hungarian,0.13326619761996725,0.12394008405832675,0.1235524244103395
heart-switzerland,0.6296448693990623,0.3226941689823733,0.2548643038867548
heart-va,0.45714852580693494,0.21359369386479543,0.19823531900574934
hepatitis,0.13466731568641574,0.13043480814102829,0.13120190909152762
hill-valley,0.020119784599060376,0.023420892206673184,0.02553576256342087
horse-colic,0.07671389869858769,0.07839404909169244,0.08034093579649348
ilpd-indian-liver,0.055995419782652774,0.04527870060311284,0.04510425580979455
image-segmentation,0.029500068373619376,0.027023814210853637,0.026931319446234985
ionosphere,0.061441629314954685,0.061057491259146605,0.06145836447181679
iris,0.10815698186748214,0.09090559514049107,0.0891531625075145
led-display,0.13460952144790173,0.13038202950050196,0.1304574367063813
lenses,0.37522259208054043,0.3474961764766443,0.37912771844452997
letter,0.01152828305019915,0.013010366077706824,0.013821246128917835
libras,0.15371590264205137,0.1547885047043794,0.15620457103880903
low-res-spect,0.08985880912377565,0.09002849747297838,0.08940001655730652
lung-cancer,0.34946058782371014,0.30132279520403715,0.371512361913157
lymphography,0.16531390357967807,0.14425863694105392,0.14619705823771892
magic,0.014874086013119403,0.01060299876806382,0.010583335082166386
mammographic,0.06062463460627593,0.06170132488453414,0.06238446439584935
miniboone,0.0037845072382502645,0.003098877737077573,0.0031106880198272817
molec-biol-promoter,0.12277027219216113,0.1031043245876989,0.10721274440127061
molec-biol-splice,0.03882795318510668,0.022721347324018933,0.024820302244225136
monks-1,0.0355649848064318,0.036255584843633976,0.03735932739056957
monks-2,0.05524157509534628,0.05265543141826587,0.05005132724403567
monks-3,0.04537851655702832,0.03325518376899588,0.03507340591221436
mushroom,0.0014142643935070687,0.0014050918427621192,0.0014119582972079636
musk-1,0.07176069420037061,0.07198515955422177,0.07264556007770884
musk-2,0.008797852682717948,0.00866421451317697,0.008623967194125432
nursery,0.0012764088833012823,0.017963844752467203,0.01766904973290767
oocytes_merluccius_nucleus_4d,0.04775116038917946,0.04779517523583235,0.047752004871854756
oocytes_merluccius_states_2f,0.04851221528365326,0.04410515420085668,0.04412231614010698
oocytes_trisopterus_nucleus_2f,0.04243692286485091,0.04297180362667727,0.04244925804641659
oocytes_trisopterus_states_5b,0.059591639194912206,0.0597127671520829,0.059754764325475
optical,0.0086012218765236,0.008625967328032811,0.008646659699873422
ozone,0.021828952016688257,0.02038981101495683,0.02027014656217234
page-blocks,0.016049048346220122,0.01534830395647883,0.015322755943041845
parkinsons,0.1050264040444211,0.10841450778461065,0.1097770011312496
pendigits,0.009757802617740154,0.009584145209994439,0.009567646561067662
pima,0.062292501333652134,0.0629276789623179,0.06333506556229192
pittsburg-bridges-MATERIAL,0.21467458412217827,0.21342941614621996,0.21509825198633584
pittsburg-bridges-REL-L,0.24969086791230274,0.27145817228923713,0.28789518269609676
pittsburg-bridges-SPAN,0.24643284523942216,0.20490263711567133,0.21254101105458822
pittsburg-bridges-T-OR-D,0.1876967183845488,0.18224077281167148,0.18600472595934112
pittsburg-bridges-TYPE,0.4108519597391252,0.3845310033775392,0.38277363153264954
planning,0.10805429772374658,0.07874316421983271,0.0807430850672827
plant-margin,0.11638128741582379,0.12921452537695766,0.12480848403845593
plant-shape,0.11870502248583574,0.12344988977164272,0.1154508970191533
plant-texture,0.09939196207890591,0.11310576234726917,0.10732479741514879
post-operative,0.39137921284027644,0.10345998153683003,0.11676292810564658
primary-tumor,0.3074146121218799,0.244938950973987,0.2445068443463018
ringnorm,0.010638166461845004,0.008524673612223288,0.008569642110702692
seeds,0.11071032708603296,0.11180549111402194,0.11191172068996749
semeion,0.04465235310861988,0.04443167812082417,0.04422350167845907
soybean,0.0674047474401142,0.06593958452330745,0.06763607804192164
spambase,0.016649450681356304,0.01531265259099949,0.015012333716967094
spect,0.23688299407097327,0.1466656823784439,0.1439387288036558
spectf,0.10776656127337396,0.1094023125244657,0.11282432670699334
statlog-australian-credit,0.04296549404642389,0.03890351344043181,0.03849046226833076
statlog-german-credit,0.06728920627533092,0.05345084890508445,0.05323732691684213
statlog-heart,0.14955749538153476,0.14434468318330976,0.14271090048209528
statlog-image,0.01995987346104583,0.018840455039751715,0.019369006569814582
statlog-landsat,0.03304020660546099,0.03479010523396473,0.036159158023967346
statlog-shuttle,0.0014994721322042497,0.0050623100818067744,0.006674648762440418
statlog-vehicle,0.04295800755118472,0.04071835393398241,0.040434278677083844
steel-plates,0.050137040235081795,0.046058705926818426,0.04633411362447037
synthetic-control,0.028060362695608215,0.028375592769620987,0.027729659574921534
teaching,0.18770793768497548,0.18975384025051073,0.19135868781874285
thyroid,0.00897305347020525,0.006472053960110077,0.006487940624947508
tic-tac-toe,0.021296739527103106,0.020076827636794733,0.019884617867123634
titanic,0.027701046445204765,0.026240583299054175,0.026117752282828584
trains,0.21435155130068223,0.28656963845494093,0.27287832009488194
twonorm,0.023657644223944407,0.02324953921787567,0.02295633235476747
vertebral-column-2clases,0.14835517461688355,0.10110675049887881,0.10123027713906964
vertebral-column-3clases,0.10435794075208693,0.09921563773165942,0.09819343249010413
wall-following,0.0110004438081079,0.00957103910458507,0.0108391275926393
waveform,0.024579494170987662,0.023041991045853073,0.022464564589339972
waveform-noise,0.024266255649195587,0.02393070034421251,0.023450817341032902
wine,0.054319453852085545,0.05737874625308825,0.057299132453066344
wine-quality-red,0.045437521880065355,0.045407703117573514,0.04502283920752411
wine-quality-white,0.025868668042340677,0.026297499233468212,0.024978661078135164
yeast,0.07134765354543698,0.07321031704352379,0.07388527886841693
zoo,0.14490039611934338,0.14334732850398285,0.1413752562673142
