TRAINTrainTimesRANKS:,RandF,XGBoost,CAWPE_noRetrain,CAWPE,CAWPE_retrain_foldWeight,CAWPE_retrain_noWeight
bank,1.0,2.0,3.0,4.0,5.0,6.0
blood,1.0,2.0,3.0,4.0,5.0,6.0
breast-cancer-wisc-diag,1.0,2.0,3.0,5.0,4.0,6.0
breast-tissue,1.0,2.0,5.0,3.0,4.0,6.0
cardiotocography-10clases,1.0,2.0,3.0,5.0,4.0,6.0
conn-bench-sonar-mines-rocks,1.0,2.0,3.0,4.0,5.0,6.0
conn-bench-vowel-deterding,1.0,2.0,3.0,4.0,6.0,5.0
ecoli,1.0,2.0,3.0,4.0,5.0,6.0
glass,1.0,2.0,3.0,5.0,4.0,6.0
hill-valley,1.0,2.0,3.0,4.0,5.0,6.0
image-segmentation,1.0,2.0,3.0,5.0,4.0,6.0
ionosphere,1.0,2.0,3.0,4.0,5.0,6.0
iris,1.0,2.0,4.0,3.0,5.0,6.0
libras,1.0,2.0,3.0,5.0,4.0,6.0
magic,1.0,2.0,3.0,5.0,4.0,6.0
miniboone,1.0,2.0,3.0,4.0,5.0,6.0
oocytes_merluccius_nucleus_4d,1.0,2.0,3.0,4.0,5.0,6.0
oocytes_trisopterus_states_5b,1.0,2.0,3.0,5.0,4.0,6.0
optical,1.0,2.0,3.0,5.0,4.0,6.0
ozone,1.0,2.0,3.0,5.0,4.0,6.0
page-blocks,1.0,2.0,3.0,5.0,4.0,6.0
parkinsons,1.0,2.0,3.0,4.0,5.0,6.0
pendigits,1.0,2.0,3.0,4.0,5.0,6.0
planning,1.0,2.0,4.0,3.0,5.0,6.0
post-operative,1.0,2.0,4.0,3.0,5.0,6.0
ringnorm,1.0,2.0,3.0,4.0,5.0,6.0
seeds,1.0,2.0,3.0,5.0,4.0,6.0
spambase,1.0,2.0,3.0,5.0,4.0,6.0
statlog-landsat,1.0,2.0,3.0,4.0,5.0,6.0
statlog-shuttle,1.0,2.0,3.0,5.0,4.0,6.0
statlog-vehicle,1.0,2.0,3.0,4.0,5.0,6.0
steel-plates,1.0,2.0,3.0,4.0,5.0,6.0
synthetic-control,1.0,2.0,3.0,4.0,5.0,6.0
twonorm,1.0,2.0,3.0,4.0,5.0,6.0
vertebral-column-3clases,1.0,2.0,4.0,3.0,5.0,6.0
wall-following,1.0,2.0,3.0,4.0,5.0,6.0
waveform-noise,1.0,2.0,3.0,5.0,4.0,6.0
wine-quality-white,1.0,2.0,3.0,5.0,4.0,6.0
yeast,1.0,2.0,3.0,5.0,4.0,6.0
