TRAINTrainTimes:,CAWPE-A(alpha=4),CAWPE-A(ConTie),CAWPE-A(RandTie)
abalone,24.0,66.0,168.5
acute-inflammation,3.0,28.0,79.0
acute-nephritis,3.0,31.0,82.0
adult,198.5,382.0,833.5
annealing,9.0,57.5,136.5
arrhythmia,10.0,66.0,153.0
audiology-std,6.0,54.0,131.5
balance-scale,6.0,37.0,81.0
balloons,3.0,24.0,60.0
bank,18.0,55.5,129.5
blood,5.0,37.0,79.0
breast-cancer,4.0,29.0,63.0
breast-cancer-wisc,6.0,34.0,77.0
breast-cancer-wisc-diag,5.0,34.0,70.5
breast-cancer-wisc-prog,3.0,32.0,66.0
breast-tissue,4.0,29.0,70.0
car,13.0,66.0,165.5
cardiotocography-3clases,13.0,65.0,150.0
cardiotocography-10clases,28.0,99.0,275.0
chess-krvk,680.0,879.0,3151.0
chess-krvkp,12.0,67.5,202.0
congressional-voting,4.0,42.0,112.5
conn-bench-sonar-mines-rocks,3.0,35.0,97.0
conn-bench-vowel-deterding,15.0,76.5,195.0
connect-4,287.0,546.0,1195.0
contrac,10.0,64.0,196.5
credit-approval,5.0,47.0,152.0
cylinder-bands,5.0,46.0,138.5
dermatology,6.0,50.5,157.0
echocardiogram,3.0,31.5,99.5
ecoli,6.0,54.5,153.0
energy-y1,6.0,51.0,145.0
energy-y2,6.0,51.0,139.5
fertility,3.0,32.0,77.0
flags,5.0,49.5,132.0
glass,4.0,45.5,131.5
haberman-survival,4.0,37.5,101.0
hayes-roth,4.0,40.0,85.0
heart-cleveland,5.0,50.5,130.5
heart-hungarian,4.0,40.0,100.5
heart-switzerland,4.0,40.0,110.0
heart-va,4.0,41.0,116.5
hepatitis,3.0,31.0,91.5
hill-valley,6.0,61.5,148.5
horse-colic,4.0,45.0,100.0
ilpd-indian-liver,4.0,49.5,125.0
image-segmentation,22.0,91.5,240.5
ionosphere,4.0,42.0,118.0
iris,3.0,34.0,95.0
led-display,16.0,74.0,187.5
lenses,3.0,26.0,71.5
letter,638.0,827.5,2669.0
libras,8.0,68.5,236.0
low-res-spect,8.0,64.0,232.0
lung-cancer,3.0,30.5,117.5
lymphography,4.0,41.0,140.5
magic,72.5,192.0,510.0
mammographic,6.5,52.5,166.5
miniboone,551.0,1075.5,2224.0
molec-biol-promoter,4.0,27.0,109.0
molec-biol-splice,18.0,59.0,184.0
monks-1,4.0,42.0,175.0
monks-2,5.0,43.5,153.0
monks-3,4.0,43.0,163.0
mushroom,26.5,122.5,314.0
musk-1,4.0,40.5,147.0
musk-2,26.0,98.5,299.0
nursery,99.0,246.0,575.0
oocytes_merluccius_nucleus_4d,6.0,61.0,178.5
oocytes_merluccius_states_2f,8.0,54.0,195.0
oocytes_trisopterus_nucleus_2f,5.5,47.0,173.5
oocytes_trisopterus_states_5b,7.0,54.5,195.5
optical,77.0,181.0,472.0
ozone,11.0,66.5,200.0
page-blocks,40.5,128.0,377.0
parkinsons,3.0,32.0,115.5
pendigits,155.0,259.0,761.5
pima,5.0,44.0,168.5
pittsburg-bridges-MATERIAL,3.0,30.5,110.0
pittsburg-bridges-REL-L,3.0,31.0,111.0
pittsburg-bridges-SPAN,3.0,30.0,103.0
pittsburg-bridges-T-OR-D,3.0,28.0,100.0
pittsburg-bridges-TYPE,4.0,35.0,131.0
planning,3.0,32.0,115.0
plant-margin,154.0,245.0,907.5
plant-shape,151.0,255.0,942.5
plant-texture,154.0,273.5,934.0
post-operative,3.0,29.5,121.0
primary-tumor,9.0,62.0,224.5
ringnorm,29.5,88.5,326.0
seeds,4.0,37.0,132.5
semeion,22.0,88.0,277.0
soybean,15.5,81.5,252.5
spambase,19.0,72.5,246.5
spect,3.0,35.5,133.0
spectf,3.5,34.5,118.0
statlog-australian-credit,5.0,43.5,170.5
statlog-german-credit,6.0,47.5,167.5
statlog-heart,3.0,35.0,118.5
statlog-image,23.0,90.5,281.0
statlog-landsat,60.0,157.5,506.0
statlog-shuttle,657.5,895.5,2498.0
statlog-vehicle,7.5,61.0,206.5
steel-plates,21.0,80.5,298.0
synthetic-control,7.0,55.0,195.5
teaching,3.0,34.0,106.0
thyroid,40.5,110.0,333.5
tic-tac-toe,5.5,50.0,158.5
titanic,10.0,62.5,182.5
trains,3.0,23.5,70.0
twonorm,30.0,101.5,271.0
vertebral-column-2clases,4.0,30.0,86.0
vertebral-column-3clases,4.0,31.0,89.0
wall-following,36.5,108.5,333.5
waveform,30.0,89.0,272.0
waveform-noise,25.0,89.0,271.0
wine,3.0,34.0,116.0
wine-quality-red,14.0,75.0,215.5
wine-quality-white,44.0,134.5,473.0
yeast,21.0,77.0,283.0
zoo,3.0,35.5,130.0
