TRAINTESTDIFFSNLLSTDDEVS:,CAWPE-S,PB-S
abalone,0.025871344478596348,0.02545336210297988
acute-inflammation,0.004654850268760545,1.2478880610452423E-6
acute-nephritis,0.004644603304157217,0.018977426493095268
adult,0.007404063386113092,0.007101625782746324
annealing,0.058908155320283886,0.16600811986119157
arrhythmia,0.21925760151114138,0.47630079135965603
audiology-std,0.22650176707471695,0.8492147733026876
balance-scale,0.038814985606190955,0.08319348564102325
balloons,1.509413828615494,11.964730850484278
bank,0.013117939742074097,0.014505646951656613
blood,0.04409342428406492,0.053777940890581064
breast-cancer,0.0749204407482349,0.0942710438436449
breast-cancer-wisc,0.04822811511545741,0.05512304067937378
breast-cancer-wisc-diag,0.07166602528849969,0.10872494525772268
breast-cancer-wisc-prog,0.1626535619187961,0.17539006843201663
breast-tissue,0.3024049211121596,0.44408734740273453
car,0.0215015689676225,0.04170906605153172
cardiotocography-3clases,0.03134993490915651,0.03384918667153569
cardiotocography-10clases,0.05238454586476139,0.05068249594487321
chess-krvk,0.019511480760647744,0.011119354696280207
chess-krvkp,0.009255997582746294,0.03349521307102255
congressional-voting,0.04459103873725271,1.2904896429507837
conn-bench-sonar-mines-rocks,0.16473841574994302,0.33759368222913405
conn-bench-vowel-deterding,0.04572100334492042,0.10909869319675848
connect-4,0.0034461842276202782,0.0017623320258831406
contrac,0.03558542722826494,0.040472617412958316
credit-approval,0.0592263537005303,0.058647104628522496
cylinder-bands,0.086085114209739,0.0810656212665864
dermatology,0.05042473523607225,0.1306595611165085
echocardiogram,0.24814621746183826,0.24224591268633566
ecoli,0.14930103304789868,0.15008715764290775
energy-y1,0.05214885157404803,0.2796210258873806
energy-y2,0.05275036718930188,0.08149071124390612
fertility,0.1459677706364872,1.6490232509829523
flags,0.32415954524656754,0.6093001066299407
glass,0.18954503766232908,0.3888227022305448
haberman-survival,0.06581025426293796,0.0659762560648348
hayes-roth,0.21790782266569647,0.07629634343798157
heart-cleveland,0.15627405514254697,0.1836152603840077
heart-hungarian,0.10921042328086075,0.11153122265142607
heart-switzerland,0.3520753007206782,0.6775654128060645
heart-va,0.20451413917420486,0.1828269992100514
hepatitis,0.17228549972302235,0.4417898052569613
hill-valley,0.014325992227069286,0.04511372292225162
horse-colic,0.09174412798924438,0.26332207961187426
ilpd-indian-liver,0.033017851309613024,0.09064379026335506
image-segmentation,0.03892933095874693,0.060544814717602
ionosphere,0.07786420044863172,0.15270438515376145
iris,0.09198448332349017,0.12908186710881261
led-display,0.11494921412926513,0.11222927667342043
lenses,0.8109163907802719,2.917299175226669
letter,0.01680000183752651,0.022154695911238895
libras,0.21164294237795678,0.3206375629136025
low-res-spect,0.10046338968758092,0.17221438158458527
lung-cancer,1.0672917975831815,2.179674727995509
lymphography,0.16228335132877109,0.26361550751338275
magic,0.010565613209731432,0.011547462093418916
mammographic,0.05807722531274871,0.060418050527401866
miniboone,0.006785115657462114,0.005294483533885845
molec-biol-promoter,0.2365159341282843,1.572446306340439
molec-biol-splice,0.028972588490977724,0.050447347461197015
monks-1,0.09560095648131843,0.052356900970807196
monks-2,0.03643584193441769,0.00864793879555737
monks-3,0.05049318237667057,0.08550911998802109
mushroom,0.002520694875191106,0.03217638755105848
musk-1,0.11352086916448288,0.17424492284441007
musk-2,0.012298407160864626,0.02432255813337757
nursery,0.013182989179555083,0.01357626782718884
oocytes_merluccius_nucleus_4d,0.03722971928835735,0.05281196412840189
oocytes_merluccius_states_2f,0.0406673082429072,0.04956162789535929
oocytes_trisopterus_nucleus_2f,0.04751816503639572,0.054445545694965417
oocytes_trisopterus_states_5b,0.06058824731444438,0.29874698356943713
optical,0.013341011436333832,0.03826817922259831
ozone,0.02535747738574204,0.04187805982789124
page-blocks,0.019563870768086803,0.027573675787843442
parkinsons,0.11095375214292617,0.14391724106205322
pendigits,0.008440311688155658,0.014699271068927508
pima,0.05120349822751813,0.052403726490698015
pittsburg-bridges-MATERIAL,0.2809321511354618,0.9583565701768709
pittsburg-bridges-REL-L,0.26165668473974263,0.31204914369701786
pittsburg-bridges-SPAN,0.24074037254885308,0.30746959761769327
pittsburg-bridges-T-OR-D,0.23485487300281765,3.67985800568389
pittsburg-bridges-TYPE,0.4339001335824017,0.6249165567420855
planning,0.0522609468291409,0.10323529776612753
