TRAINTESTDIFFSNLL:,CAWPE-S,PB-S
abalone,0.004571681628192407,0.007166913338896267
acute-inflammation,0.002594103397485782,5.954483512828281E-7
acute-nephritis,0.002930839199045961,0.004314472217905794
adult,0.0016365139951933672,0.0014582481496260107
annealing,0.024216528111422376,0.09484468855157555
arrhythmia,-0.009231621213236344,1.0669496234542102
audiology-std,0.6513859651808868,5.1161063082056
balance-scale,0.010928989257347674,0.008713798067954437
balloons,-0.27816009588711305,5.735527569448324
bank,0.00227272701018675,-4.1343012155887576E-4
blood,0.002187168819064274,-0.0017572119911094567
breast-cancer,-0.02460021033998491,-0.02358405869350808
breast-cancer-wisc,0.0013639414330085752,-0.004093061382436853
breast-cancer-wisc-diag,-0.010627980274904086,0.011072729982196265
breast-cancer-wisc-prog,-0.021244551758810924,-0.027935616686917287
breast-tissue,0.02048165488651466,0.06464835306330972
car,0.005441217679992765,0.008318597604421
cardiotocography-3clases,0.0017503348835160998,0.013443913118185947
cardiotocography-10clases,0.029142124532887892,0.03725090756953377
chess-krvk,0.06606888607119278,0.001755048633866115
chess-krvkp,0.004962706978868145,0.00988480381623024
congressional-voting,0.015972170956671954,0.42306551818968274
conn-bench-sonar-mines-rocks,-0.0028804184174831735,0.020599684573408127
conn-bench-vowel-deterding,0.02804285177482046,0.06835004317475285
connect-4,0.0034606800887479546,2.6904085336714546E-4
contrac,0.013688989904274725,0.016518990888176786
credit-approval,0.012108228375586045,0.0019637861989158325
cylinder-bands,0.03903157710199615,0.03999541414930358
dermatology,-7.841751758722181E-4,0.020861700702526065
echocardiogram,-0.046111985573787956,-0.04005837407652534
ecoli,0.012298675426798763,0.5180766662389901
energy-y1,-0.012206641222594298,0.07236804066567575
energy-y2,-0.0061568261643263344,6.182293794709693E-4
fertility,0.045701423222535904,0.7535290117583359
flags,0.055373899295448656,1.0062009668109468
glass,0.09116667444643758,0.1441205417107442
haberman-survival,-0.027488892457725744,-0.02292459665013068
hayes-roth,0.07514964293199886,0.04228866771592221
heart-cleveland,-0.023074506891078973,-0.011586821768505865
heart-hungarian,0.05556758675931716,0.07032460872404882
heart-switzerland,-0.16515381130295945,0.33588266576561016
heart-va,0.09552537427889347,0.12768072145968173
hepatitis,-0.024842802422365563,0.05171354139860582
