TRAINTESTDIFFSAUROCSTDDEVS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
abalone,0.008464650390468514,0.009161105922091206,0.009441398291388913
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0
adult,0.003641369698873394,0.0036524703939606698,0.0036548243472716824
annealing,0.013369747988486332,0.01425070217240878,0.0146795956187913
arrhythmia,0.03196352446541956,0.031543826247634736,0.03169787965264065
audiology-std,0.018065152016964587,0.018030701439705723,0.01849474527468218
balance-scale,0.006029149813507634,0.0057407900819645115,0.005887470554806124
balloons,0.4539932091693696,0.38692553099912236,0.41835481772310557
bank,0.016215794532822746,0.013408060579034861,0.013379833955266346
blood,0.04863082602683532,0.04837908988185693,0.04831295501206728
breast-cancer,0.07397197747277896,0.0719139185443851,0.07266476142506495
breast-cancer-wisc,0.004187355513537869,0.004098973165508481,0.00415244959272978
breast-cancer-wisc-diag,0.00906365048728253,0.009949531245245807,0.010236887741154173
breast-cancer-wisc-prog,0.09982581072844615,0.10241619949363433,0.10483706545474718
breast-tissue,0.032175341159623116,0.02991334275384163,0.030800815919882284
car,0.002617923122621628,0.002776601551179664,0.003011385114492858
cardiotocography-3clases,0.005497282106135592,0.0055288292246783305,0.005512628576873341
cardiotocography-10clases,0.0029913260271201337,0.0029509016813418438,0.002932587480410797
chess-krvk,0.0014997150076215347,0.001455347049191325,0.0014997150076215347
chess-krvkp,7.653033683440666E-4,7.761979806028441E-4,7.87929607467194E-4
congressional-voting,0.06499611176223832,0.06536458008694601,0.06316933448802746
conn-bench-sonar-mines-rocks,0.044902215579691075,0.044649636958981706,0.044328509303481464
conn-bench-vowel-deterding,0.001971339870702293,0.0019771902009555055,0.0020343764198321092
connect-4,0.0032656840564642803,0.0033740050967113883,0.0034629900405188153
contrac,0.02005555451698142,0.020529997991938304,0.020983977638447678
credit-approval,0.03629648631451265,0.02230480059069862,0.022412320767277973
cylinder-bands,0.04743544962191343,0.04745064137287977,0.047344531946149786
dermatology,0.0018682937072069651,0.0014344451762267692,0.0014337445222496192
echocardiogram,0.10351967858968428,0.10620440694553865,0.10756314739500974
ecoli,0.016201004439801006,0.016030790898623748,0.016060024137354457
energy-y1,0.005873402855330432,0.005968220825527081,0.005930697391697772
energy-y2,0.006724188588467471,0.006772334490499057,0.006927817121177173
fertility,0.20438740394547256,0.19956910329471528,0.1948449709008931
flags,0.03846945056400184,0.03871683638794775,0.03860126312971811
glass,0.032457592314407806,0.03288794253126908,0.03247432989933914
haberman-survival,0.08408497490523958,0.09176296475636431,0.09181893455894195
hayes-roth,0.0718476787357758,0.06943881448756643,0.06942102754635984
heart-cleveland,0.03290475451313431,0.032936726967632404,0.03332158970666657
heart-hungarian,0.04201798761209029,0.039766946386686576,0.03978060399012569
heart-switzerland,0.08460571579078101,0.08247734835284998,0.08067809356448367
heart-va,0.05559890195210844,0.05530267625500935,0.055608920547510626
hepatitis,0.06774426122874952,0.06984131615343081,0.06897426567617532
hill-valley,0.0407514897824494,0.0429502982706286,0.04000847151352378
horse-colic,0.041053465249835594,0.04117434739037634,0.041086095250513585
ilpd-indian-liver,0.04520198072202638,0.04426994146171187,0.04434991823859876
image-segmentation,0.0016219848436216833,0.001642018187270657,0.0016591343959285656
ionosphere,0.022277363865396742,0.020493284303399317,0.02106957408830132
iris,0.006786906483579856,0.0043951534901284185,0.004464100595322603
led-display,0.00803668743221347,0.008272727229888643,0.008366534919718864
