TESTACC:,CAWPE-S,PB-S,,CAWPE-S_VS_PB-S,,,
abalone,0.650685805,0.632440191,,1,,,
acute-inflammation,1,1,,0,,,1 = CAWPE-S sig win over PB-S 
acute-nephritis,1,1,,0,,,.-1 = PB-S sig win over CAWPE-S
adult,0.857337646,0.84283433,,1,,,
annealing,0.922740741,0.852222222,,1,,,
arrhythmia,0.688405797,0.574202899,,1,,,
audiology-std,0.774666667,0.730666667,,1,,,
balance-scale,0.902023429,0.90457934,,0,,,
balloons,0.633333333,0.603703704,,0,,,
bank,0.893439481,0.892938228,,0,,,
blood,0.779857398,0.767647059,,1,,,
breast-cancer,0.711805556,0.706481481,,0,,,
breast-cancer-wisc,0.963238095,0.96447619,,0,,,
breast-cancer-wisc-diag,0.970409357,0.973684211,,0,,,
breast-cancer-wisc-prog,0.782666667,0.761,,1,,,
breast-tissue,0.691358025,0.654320988,,1,,,
car,0.961657033,0.841579961,,1,,,
cardiotocography-3clases,0.925469925,0.891259398,,1,,,
cardiotocography-10clases,0.845153221,0.788774234,,1,,,
chess-krvk,0.744182345,0.284936811,,1,,,
chess-krvkp,0.989576819,0.953095685,,1,,,
congressional-voting,0.61116208,0.593272171,,1,,,
conn-bench-sonar-mines-rocks,0.813650794,0.756190476,,1,,,
conn-bench-vowel-deterding,0.975892256,0.74996633,,1,,,
connect-4,0.833073803,0.753752331,,1,,,
contrac,0.541779584,0.505149051,,1,,,
credit-approval,0.861271676,0.853949904,,1,,,
cylinder-bands,0.748567708,0.712369792,,1,,,
dermatology,0.973369565,0.970471014,,0,,,
echocardiogram,0.809090909,0.82020202,,0,,,
ecoli,0.856078431,0.848823529,,0,,,
energy-y1,0.907532468,0.859393939,,1,,,
energy-y2,0.906753247,0.857402597,,1,,,
fertility,0.856666667,0.816,,1,,,
flags,0.552721088,0.420748299,,1,,,
glass,0.696941896,0.596330275,,1,,,
haberman-survival,0.74025974,0.74025974,,0,,,
hayes-roth,0.731687243,0.375720165,,1,,,
heart-cleveland,0.566884532,0.57211329,,0,,,
heart-hungarian,0.825396825,0.821995465,,0,,,
heart-switzerland,0.338172043,0.315053763,,0,,,
heart-va,0.32970297,0.310231023,,0,,,
hepatitis,0.803418803,0.796153846,,0,,,
hill-valley,0.644444444,0.549724972,,1,,,
horse-colic,0.825,0.819746377,,0,,,
ilpd-indian-liver,0.707762557,0.707305936,,0,,,
image-segmentation,0.955901876,0.858816739,,1,,,
ionosphere,0.896780303,0.873106061,,1,,,
iris,0.952888889,0.952888889,,0,,,
led-display,0.718783069,0.718584656,,0,,,
lenses,0.774358974,0.771794872,,0,,,
letter,0.943019886,0.813747044,,1,,,
libras,0.805555556,0.688888889,,1,,,
low-res-spect,0.895131086,0.886891386,,0,,,
lung-cancer,0.482352941,0.482352941,,0,,,
lymphography,0.815111111,0.811555556,,0,,,
magic,0.856053277,0.791104101,,1,,,
mammographic,0.829036729,0.80997921,,1,,,
miniboone,0.8985146,0.849144281,,1,,,
molec-biol-promoter,0.782098765,0.754320988,,1,,,
molec-biol-splice,0.891541353,0.831182122,,1,,,
monks-1,0.938968825,0.657434053,,1,,,
monks-2,0.733554817,0.657032115,,1,,,
monks-3,0.964380265,0.768351384,,1,,,
mushroom,0.999720991,0.955457082,,1,,,
musk-1,0.886889819,0.812133891,,1,,,
musk-2,0.977151515,0.94530303,,1,,,
nursery,0.976280864,0.906394033,,1,,,
oocytes_merluccius_nucleus_4d,0.822005208,0.754557292,,1,,,
oocytes_merluccius_states_2f,0.921419271,0.91171875,,1,,,
oocytes_trisopterus_nucleus_2f,0.81896426,0.751641138,,1,,,
oocytes_trisopterus_states_5b,0.929321663,0.89868709,,1,,,
optical,0.984489506,0.97847741,,1,,,
ozone,0.968190176,0.963750985,,1,,,
page-blocks,0.967409301,0.949184319,,1,,,
parkinsons,0.903741497,0.834013605,,1,,,
pendigits,0.989440504,0.974922713,,1,,,
pima,0.7671875,0.766145833,,0,,,
pittsburg-bridges-MATERIAL,0.82654321,0.824074074,,0,,,
pittsburg-bridges-REL-L,0.649056604,0.645283019,,0,,,
pittsburg-bridges-SPAN,0.680434783,0.686956522,,0,,,
pittsburg-bridges-T-OR-D,0.863398693,0.85751634,,0,,,
pittsburg-bridges-TYPE,0.54382716,0.527160494,,0,,,
planning,0.708058608,0.706959707,,0,,,
plant-margin,0.812166667,0.722666667,,1,,,
plant-shape,0.627666667,0.511583333,,1,,,
plant-texture,0.812583333,0.723291667,,1,,,
post-operative,0.682222222,0.654074074,,1,,,
primary-tumor,0.432934132,0.398003992,,1,,,
ringnorm,0.915576577,0.762855856,,1,,,
seeds,0.949206349,0.927936508,,1,,,
semeion,0.928541667,0.924666667,,0,,,
soybean,0.919922255,0.902040816,,1,,,
spambase,0.935317978,0.90617123,,1,,,
spect,0.693233083,0.706015038,,0,,,
spectf,0.85,0.844029851,,0,,,
statlog-australian-credit,0.667826087,0.675072464,,-1,,,
statlog-german-credit,0.752533333,0.761733333,,-1,,,
statlog-heart,0.818518519,0.826666667,,0,,,
statlog-image,0.969321789,0.918903319,,1,,,
statlog-landsat,0.902702703,0.859552656,,1,,,
statlog-shuttle,0.998221962,0.966283934,,1,,,
statlog-vehicle,0.803694969,0.710455975,,1,,,
steel-plates,0.744615912,0.703292181,,1,,,
synthetic-control,0.989666667,0.979777778,,1,,,
teaching,0.529385965,0.528947368,,0,,,
thyroid,0.96925,0.965111111,,1,,,
tic-tac-toe,0.984620738,0.983855254,,0,,,
titanic,0.782046624,0.775840145,,1,,,
trains,0.661111111,0.705555556,,0,,,
twonorm,0.976267675,0.977537602,,-1,,,
vertebral-column-2clases,0.851182796,0.810537634,,1,,,
vertebral-column-3clases,0.849032258,0.795913978,,1,,,
wall-following,0.960705997,0.705288873,,1,,,
waveform,0.860535786,0.866106891,,-1,,,
waveform-noise,0.858816473,0.86157537,,-1,,,
wine,0.98,0.982592593,,0,,,
wine-quality-red,0.610237203,0.582147316,,1,,,
wine-quality-white,0.612416701,0.527158983,,1,,,
yeast,0.597986577,0.588277405,,1,,,
zoo,0.944230769,0.930128205,,1,,,
