TRAINNLLRANKS:,SMM5-S,ES-S,CAWPE-S,SMLRE-S,WMV-S,RC-S,SMLR-S,MV-S,PB-S,NBC-S
abalone,5.0,1.0,2.0,4.0,8.0,9.0,6.0,7.0,3.0,10.0
acute-inflammation,2.0,9.0,10.0,2.0,6.0,7.0,2.0,8.0,5.0,4.0
acute-nephritis,2.0,9.0,10.0,2.0,5.0,6.5,2.0,6.5,8.0,4.0
adult,8.0,1.0,2.0,7.0,4.0,6.0,9.0,5.0,3.0,10.0
annealing,1.0,4.0,8.0,3.0,5.0,6.0,2.0,7.0,9.0,10.0
arrhythmia,1.0,9.0,8.0,2.0,5.0,4.0,3.0,6.0,10.0,7.0
audiology-std,2.0,9.0,8.0,4.0,6.0,5.0,3.0,7.0,10.0,1.0
balance-scale,1.0,4.0,6.0,2.0,7.0,9.0,3.0,8.0,5.0,10.0
balloons,4.0,5.0,3.0,1.0,7.0,6.0,9.0,8.0,10.0,2.0
bank,8.0,1.0,2.0,7.0,5.0,6.0,9.0,4.0,3.0,10.0
blood,9.0,1.0,2.0,7.0,4.0,6.0,10.0,5.0,3.0,8.0
breast-cancer,9.0,1.0,2.0,8.0,5.0,7.0,10.0,6.0,3.0,4.0
breast-cancer-wisc,5.0,2.0,3.0,4.0,6.0,8.0,9.0,7.0,1.0,10.0
breast-cancer-wisc-diag,1.0,5.0,7.0,6.0,2.0,3.0,9.0,4.0,8.0,10.0
breast-cancer-wisc-prog,9.0,2.0,1.0,7.0,5.0,4.0,10.0,6.0,3.0,8.0
breast-tissue,1.0,6.0,5.0,4.0,9.0,8.0,2.0,10.0,7.0,3.0
car,1.0,4.0,8.0,3.0,5.0,6.0,2.0,7.0,10.0,9.0
cardiotocography-3clases,1.0,4.0,5.0,2.0,6.0,8.0,3.0,7.0,9.0,10.0
cardiotocography-10clases,1.0,3.0,2.0,8.0,5.0,4.0,7.0,6.0,9.0,10.0
chess-krvk,1.0,4.0,2.0,5.0,6.0,7.0,3.0,8.0,10.0,9.0
chess-krvkp,1.0,6.0,8.0,2.0,4.0,5.0,3.0,7.0,10.0,9.0
congressional-voting,9.0,2.0,1.0,8.0,6.0,7.0,10.0,5.0,4.0,3.0
conn-bench-sonar-mines-rocks,8.0,2.0,1.0,7.0,3.0,4.0,10.0,5.0,9.0,6.0
conn-bench-vowel-deterding,1.0,3.0,5.0,9.0,7.0,6.0,4.0,8.0,10.0,2.0
connect-4,8.0,1.0,2.0,9.0,3.0,6.0,10.0,4.0,5.0,7.0
contrac,6.0,2.0,1.0,5.0,8.0,10.0,7.0,9.0,3.0,4.0
credit-approval,8.0,1.0,2.0,7.0,5.0,4.0,9.0,6.0,3.0,10.0
cylinder-bands,9.0,2.0,1.0,8.0,4.0,7.0,10.0,5.0,3.0,6.0
dermatology,1.0,6.0,7.0,8.0,4.0,2.0,3.0,5.0,10.0,9.0
echocardiogram,6.0,1.0,2.0,4.0,7.0,5.0,10.0,8.0,3.0,9.0
ecoli,1.0,7.0,8.0,2.0,5.0,4.0,3.0,6.0,10.0,9.0
energy-y1,1.0,4.0,5.0,2.0,6.0,7.0,3.0,8.0,10.0,9.0
energy-y2,1.0,4.0,5.0,2.0,7.0,6.0,3.0,8.0,9.0,10.0
fertility,4.0,1.0,2.0,3.0,7.0,5.0,6.0,8.0,9.0,10.0
flags,1.0,8.0,6.0,2.0,7.0,5.0,3.0,9.0,10.0,4.0
glass,1.0,5.0,4.0,2.0,7.0,6.0,3.0,8.0,10.0,9.0
haberman-survival,9.0,1.0,2.0,7.0,5.0,8.0,10.0,6.0,3.0,4.0
hayes-roth,2.0,6.0,4.0,1.0,7.0,8.0,3.0,9.0,10.0,5.0
heart-cleveland,1.0,5.0,4.0,2.0,9.0,8.0,3.0,10.0,6.0,7.0
heart-hungarian,8.0,1.0,2.0,7.0,4.0,6.0,9.0,5.0,3.0,10.0
heart-switzerland,1.0,6.0,5.0,2.0,8.0,7.0,3.0,9.0,10.0,4.0
heart-va,2.0,7.0,5.0,1.0,9.0,8.0,3.0,10.0,6.0,4.0
hepatitis,8.0,2.0,1.0,7.0,4.0,3.0,9.0,5.0,6.0,10.0
hill-valley,1.0,2.0,3.0,9.0,6.0,8.0,10.0,7.0,5.0,4.0
horse-colic,7.0,1.0,2.0,8.0,5.0,4.0,9.0,6.0,3.0,10.0
ilpd-indian-liver,9.0,2.0,1.0,8.0,5.0,7.0,10.0,6.0,3.0,4.0
image-segmentation,1.0,5.0,6.0,8.0,3.0,2.0,7.0,4.0,10.0,9.0
ionosphere,6.0,1.0,2.0,7.0,3.0,5.0,10.0,4.0,9.0,8.0
iris,1.0,4.0,5.0,2.0,7.0,6.0,3.0,8.0,9.0,10.0
led-display,1.0,2.0,3.0,4.0,8.0,7.0,6.0,9.0,5.0,10.0
lenses,2.0,5.0,4.0,1.0,7.0,6.0,9.0,8.0,10.0,3.0
letter,1.0,5.0,6.0,9.0,3.0,2.0,8.0,4.0,10.0,7.0
libras,2.0,7.0,5.0,8.0,4.0,3.0,9.0,6.0,10.0,1.0
low-res-spect,1.0,7.0,8.0,3.0,5.0,4.0,2.0,6.0,10.0,9.0
lung-cancer,1.0,5.0,6.0,2.0,8.0,7.0,4.0,9.0,10.0,3.0
lymphography,2.0,5.0,4.0,1.0,7.0,6.0,3.0,8.0,9.0,10.0
magic,7.0,1.0,2.0,8.0,3.0,6.0,10.0,5.0,4.0,9.0
mammographic,8.0,1.0,2.0,7.0,5.0,4.0,9.0,6.0,3.0,10.0
miniboone,7.0,1.0,2.0,8.0,3.0,5.0,9.0,4.0,6.0,10.0
molec-biol-promoter,8.0,2.0,1.0,6.0,3.0,4.0,9.0,5.0,10.0,7.0
molec-biol-splice,1.0,6.0,4.0,2.0,5.0,7.0,3.0,8.0,9.0,10.0
