TRAINNLLSTDDEVS:,SMM5-S,ES-S,CAWPE-S,SMLRE-S,WMV-S,RC-S,SMLR-S,MV-S,PB-S,NBC-S
abalone,0.025760401505217124,0.011589460194892409,0.012553164895866577,0.020973773955398914,0.031790663830131106,0.031726047648099304,0.024443776478829945,0.03182010011843449,0.01345617402506774,0.046018408492024404
acute-inflammation,0.0,0.003954154629922873,0.004820577279241528,0.0,0.004218037260523549,0.004302277461309043,0.0,0.004377652207274777,7.289019729395494E-7,2.640698117700101E-7
acute-nephritis,0.0,0.004791008008637422,0.004027602755253083,0.0,0.004270607424787705,0.0043959670284998064,0.0,0.0043959670284998064,0.018993881175381894,6.759390320462827E-7
adult,0.01393407807694765,0.005675344605759415,0.003781574118817491,0.013162803614374465,0.01167414369793729,0.01236475107613857,0.01288313586380273,0.011684284306781657,0.0037125886728799702,0.015433513731793191
annealing,0.03490465889223228,0.04174426448499599,0.035172407206305316,0.03895781986786349,0.042386577902030854,0.04521345587141399,0.04312610534306061,0.0419519437728912,0.1110378377458555,0.22954458773782835
arrhythmia,0.08859128519789632,0.14195841794745753,0.138426496214226,0.05941457622802175,0.11998779086495201,0.11247968900456058,0.07884068257065303,0.11963284994076123,0.39639019719453233,0.13796058683896592
audiology-std,0.09221279969812203,0.21670725318415482,0.1567603415030642,0.48400788809416334,0.17495504218279603,0.177523063802588,0.1677584634850543,0.1768772403088323,0.7062254957703363,0.12892564112212357
balance-scale,0.04389929426811546,0.050596593318157454,0.031150588157356912,0.036080718874032164,0.08171136548274675,0.08885176154771098,0.05400511221588576,0.08084783629789606,0.04528701084549238,0.0990066406696621
balloons,1.2879903080165056,1.15340544016859,0.8567323713289016,0.7219808547875789,1.247032653258526,1.1960595123573337,1.2241780996670515,1.2728001419996777,10.720041406333676,0.36238954334593515
bank,0.02462365980194103,0.007915156379324694,0.008573655918808602,0.022315379924588992,0.017411412401453035,0.018647414750679762,0.021990888488775936,0.017420972939581423,0.010421805933432362,0.10393024596554527
blood,0.11167797162782778,0.025997417307399972,0.02691612056396785,0.07158515583055332,0.09449644195893554,0.10704895597466998,0.10229761746684037,0.09440100132628584,0.032297539913323126,0.09674195482673498
breast-cancer,0.23890163050892763,0.048204661495783944,0.03927793640804593,0.16986737170006339,0.1318836061209692,0.13457064191330187,0.21887338236726445,0.13235863774021328,0.049793203510772405,0.059144431711356533
breast-cancer-wisc,0.04705216979421102,0.023675165450995097,0.02412122099082726,0.04290328884481554,0.037173863843205396,0.03728923792023006,0.046585613311615114,0.0372260634486521,0.027305338408474156,0.10714883519351481
breast-cancer-wisc-diag,0.04540390728841466,0.03665601188415228,0.036293468094563644,0.049304831379699085,0.03398774590267918,0.03376652120831235,0.04453060650870763,0.034206294602613346,0.08979502397698631,0.08545308913949758
breast-cancer-wisc-prog,0.22272522365123848,0.10082150783414075,0.09647789766116235,0.22061854929784,0.14247946330213446,0.12878580874867437,0.20897417451341035,0.14297373189750534,0.09008341792889754,0.15848059747478344
breast-tissue,0.0916600382261046,0.1788364189848828,0.16951702996922388,0.16097486253685203,0.25415248689829945,0.2655650207737863,0.1163096233081108,0.25242591407645365,0.18384838158670833,0.22098537551156797
car,0.01267225242397124,0.02164201646719192,0.016116815843192467,0.015210571576175166,0.018331313385348286,0.019409319052116538,0.014295131716299212,0.01867468420137171,0.022791431006178812,0.043367647063948835
cardiotocography-3clases,0.033995588931147576,0.018687846673652787,0.01660512321206274,0.019506458372823415,0.023932032023850084,0.024633312440299385,0.024224098123176434,0.023872072257424538,0.01666103742653551,0.05346645683781626
