TRAINTESTDIFFSACC:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
abalone,-0.0019109486920245277,-0.004163168517189649,-0.004530407344318018
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,-0.001111111111111111,-0.001666666666666668
adult,-9.046718415320453E-4,-9.24222515410796E-4,-9.351663364438823E-4
annealing,0.0011746031746031874,-0.004257936507936496,-0.006416997354497352
arrhythmia,0.017216346781564175,0.0041428384906645795,-2.5851938895417775E-4
audiology-std,-0.05438888888888889,-0.07019444444444445,-0.07163888888888889
balance-scale,-0.021726604953442006,-0.022406201359875474,-0.01709128642035991
balloons,0.17777777777777778,0.09841269841269841,-5.291005291005347E-4
bank,9.574561077342151E-4,-8.2676107238423E-4,-0.001092189088024583
blood,0.008823529411764714,0.0025846702317290655,0.002852049910873448
breast-cancer,0.03951160667709965,0.022166797078768914,0.015137584767866459
breast-cancer-wisc,0.004770091417655883,0.003911311229362802,0.004006549324600898
breast-cancer-wisc-diag,0.004131043571369756,0.0023713038464706552,0.0019018202783955347
breast-cancer-wisc-prog,0.0285578231292517,0.0072517006802721,0.006231292517006788
breast-tissue,0.010731244064577402,-0.012369420702754031,-0.018660968660968655
car,-1.6329647217997085E-4,-0.0040255237253207605,-0.003717595786531269
cardiotocography-3clases,0.0017763924878108702,-0.002214221995667139,-0.002434700215699315
cardiotocography-10clases,-0.0026587961815757472,-0.005914073654524647,-0.006709795036992465
chess-krvk,-0.014837722941374535,-0.015524643316566722,-0.01515624081907259
chess-krvkp,3.866301848799695E-4,1.7793159965222202E-4,1.9872574815534098E-4
congressional-voting,0.0023555856198649973,-0.006239518595245134,-0.007007567750391067
conn-bench-sonar-mines-rocks,0.010654954538449652,-0.004274926799198675,-0.007498844197873359
conn-bench-vowel-deterding,-0.007272727272727287,-0.010774410774410773,-0.01037037037037037
connect-4,-0.002890143844009104,-0.005610818807572667,-0.005889111533735062
contrac,0.009247460501815914,-0.003854875283446724,-0.00685083789613404
credit-approval,0.0015475870412689754,-0.002616839180893497,-0.003293453421158769
cylinder-bands,0.0048177083333333336,-0.0067708333333333336,-0.008333333333333333
dermatology,0.006089743589743565,0.0024347029781812248,0.0017040930084408175
echocardiogram,0.05180264180264182,0.028811188811188833,0.025221445221445243
ecoli,0.011400897708480994,0.007384833451452877,0.005797306874557058
energy-y1,0.0028944423722491843,-6.32961468470435E-5,-0.0010229109445819414
energy-y2,0.00876742056898718,0.0031184655205543253,0.002857821030144821
fertility,0.024666666666666674,0.010666666666666661,0.005999999999999994
flags,0.03640873015873017,0.029230442176870753,0.03894557823129252
glass,0.01381680500946555,-0.008393767292849892,-0.013589631571282953
haberman-survival,0.04000911369332423,0.023795283663704717,0.0167777398040556
hayes-roth,0.001661717976767226,-0.02095639943741207,-0.02376933895921235
heart-cleveland,0.04209150326797384,0.021119825708061,0.01888888888888889
heart-hungarian,-6.802721088435456E-4,-0.012471655328798197,-0.014739229024943323
heart-switzerland,0.13012515423937954,0.07220165697161995,0.029719725013220524
heart-va,0.05958929226255959,0.02131213121312132,-0.0017468413508017477
hepatitis,0.023498723498723516,0.0074980574980575195,0.0031635031635031895
hill-valley,0.011606160616061623,0.0037953795379538136,-9.900990099009873E-4
horse-colic,0.0088768115942029,9.057971014492645E-4,0.0010869565217391242
