TRAINTESTDIFFSACCSTDDEVS:,CAWPE-A(ConTie),CAWPE-A(alpha=4),CAWPE-A(RandTie)
abalone,0.013566642087452566,0.013227821523819468,0.01306135305550366
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.006085806194501847,0.006709631665607481
adult,0.0028975190111139655,0.0031256840441935417,0.003208074556410728
annealing,0.014870822724537392,0.01578881918157495,0.015874582589648915
arrhythmia,0.03331511761417355,0.0314538183428052,0.03142519934248726
audiology-std,0.05067382801275382,0.05602233977868484,0.0560618856759455
balance-scale,0.020268651690465243,0.019012284193772887,0.0202379152504633
balloons,0.26407766580946995,0.31486073021710076,0.31281448209199864
bank,0.006602380527326945,0.006608535675843155,0.006588905718124468
blood,0.02295956824173711,0.023837555843054685,0.025568499443823434
breast-cancer,0.042951788528835216,0.04942507684506989,0.05418220835506533
breast-cancer-wisc,0.014613514815534764,0.014270760361783473,0.014430042000421722
breast-cancer-wisc-diag,0.012534058452853736,0.012796037570328135,0.013044700439670856
breast-cancer-wisc-prog,0.04552350147449077,0.044327212736709934,0.0463789623938839
breast-tissue,0.08142525948677096,0.08548655638633465,0.08215575061824298
car,0.006761596770108021,0.00791955895067908,0.007839575782851724
cardiotocography-3clases,0.010432039224657725,0.010381330372344642,0.010381924712186744
cardiotocography-10clases,0.015349499263633198,0.01702807889435897,0.01701458370710674
chess-krvk,0.005888141812365632,0.00596157294682686,0.0057223181908268445
chess-krvkp,0.003479581368505753,0.003486006362557751,0.003439912709204604
congressional-voting,0.0218995930496239,0.026374560754015314,0.028301280928815013
conn-bench-sonar-mines-rocks,0.04681833213105365,0.04920341301994753,0.04890585371034273
conn-bench-vowel-deterding,0.017496267073314864,0.018250062206551537,0.018505827216525734
connect-4,0.0037495217754838057,0.0027739182222248494,0.002844807501570334
contrac,0.025465408605457818,0.02429419580548884,0.024091952252769222
credit-approval,0.02705089782591402,0.027625680591407766,0.02742740560087921
cylinder-bands,0.035308329669955445,0.042765405079195074,0.04435737821957434
dermatology,0.020453794728908355,0.021957461259702812,0.022085501750448613
echocardiogram,0.07100222184179199,0.07734473148104037,0.07889815443205693
ecoli,0.0350368984199633,0.03834448317028556,0.03701318738935631
energy-y1,0.019135570209135463,0.019156456356111715,0.018712395237145532
energy-y2,0.021032427305793466,0.023046331322705824,0.02353374211701138
fertility,0.04224177808866425,0.04290593828632449,0.04931251502337956
flags,0.07245561833973575,0.07387960909722373,0.06824826545283402
glass,0.048509868459072764,0.05453069178932536,0.05880140486088219
haberman-survival,0.033827532121791674,0.03555340099648851,0.043384354114109576
hayes-roth,0.06254137082728367,0.06698565167143865,0.072112968673417
heart-cleveland,0.049663308742677915,0.04563362459676153,0.04600872741081591
heart-hungarian,0.04478158633049487,0.03869222151263778,0.04109232408678723
heart-switzerland,0.09480411375105209,0.1027467827184646,0.10704720112448242
heart-va,0.07669668827457468,0.08135637958399233,0.08506500591100667
hepatitis,0.050413748515930314,0.05487647189318535,0.04970557678203251
hill-valley,0.029953181979293753,0.03949985843827416,0.03714382050412039
horse-colic,0.02813094823834861,0.023714734715682657,0.024695855416525404
ilpd-indian-liver,0.030439539304671363,0.03487633099952963,0.037002417151068785
image-segmentation,0.009025633047349185,0.008536945306859745,0.008173169028511985
ionosphere,0.025200534549234585,0.026257386403945787,0.027109592066986415
iris,0.03560532914609178,0.03443838780022109,0.034783769207137806
led-display,0.03303357514328966,0.033854747093008765,0.033497328678657415
lenses,0.1788910689319366,0.19099720819438132,0.19607901528778007
letter,0.0029007555156391174,0.0032151973845144003,0.0034926608192581785
libras,0.04871558741819341,0.05133246531363219,0.05256173433204634
low-res-spect,0.02564013674112811,0.026325879048119366,0.026054353301424842
lung-cancer,0.16950523928124125,0.22281235196193014,0.22780369471668366
lymphography,0.045312853230458666,0.06312538121174745,0.05980310165878627
magic,0.004912595638905715,0.004585043859621509,0.004609265806519233
mammographic,0.026693784252175414,0.027344361651379403,0.0272671739011544
miniboone,0.0011325472344614728,0.0013677378859063517,0.0014296162195394648
molec-biol-promoter,0.05807925591375474,0.06165717298528581,0.0647093172909391
molec-biol-splice,0.008749517344254831,0.00959881204751943,0.009469563221398799
monks-1,0.012694923143598635,0.013230168005914901,0.014608525923597472
monks-2,0.04801679687838933,0.04471807028013061,0.04283799816231024
monks-3,0.01524826581131158,0.015792638026298163,0.01595871203795993
mushroom,0.0,0.0,0.0
musk-1,0.03204230022132962,0.03134508438216197,0.03141497248869222
musk-2,0.0041771149895942356,0.004185466983238402,0.004154565329163036
nursery,6.029265455559984E-4,0.0013268593254107234,0.0014583598463070644
oocytes_merluccius_nucleus_4d,0.0237953744679484,0.023388603506768753,0.024607715371263217
oocytes_merluccius_states_2f,0.01558622818068002,0.015516117708537044,0.015639723322138817
oocytes_trisopterus_nucleus_2f,0.02086537852410637,0.020262535967721134,0.021185138827978435
oocytes_trisopterus_states_5b,0.013031358484363138,0.013547167501752349,0.013599461803811707
optical,0.00287315216309275,0.00287979079370482,0.0028961163974688827
ozone,0.002573020339888552,0.0026278169783737313,0.0026317700800521384
page-blocks,0.004431481209690921,0.004387274306674447,0.00440971149837666
parkinsons,0.04196751861194068,0.04536179892816239,0.05098839096564442
pendigits,0.0015022433246918087,0.0015368205097549346,0.0015116911504626403
pima,0.027530053720586836,0.028730879935105806,0.03036748766612049
pittsburg-bridges-MATERIAL,0.05742140145568225,0.05872934977152378,0.06439127602223724
pittsburg-bridges-REL-L,0.07284914403245744,0.08827575161854796,0.10063073491117558
pittsburg-bridges-SPAN,0.08650557735939335,0.07432273205777853,0.08022752448630631
pittsburg-bridges-T-OR-D,0.06762688616200435,0.07178572572230979,0.07417156302876128
pittsburg-bridges-TYPE,0.07680636733953354,0.08763933914676761,0.09771986290083694
planning,0.05305057832120741,0.04838866611493128,0.040167683097164855
plant-margin,0.020473209295334582,0.021652335556643105,0.02087455691593909
plant-shape,0.022682885403534643,0.02403470461358052,0.021889096443285377
plant-texture,0.01869504255830536,0.019410189320010495,0.02050296293154435
post-operative,0.08544078483909673,0.09016013063249789,0.08026138651947212
primary-tumor,0.04321664236057416,0.041853544459623214,0.044321909890571484
ringnorm,0.0037461403583367854,0.003385658511960109,0.0034756243180989396
seeds,0.03585213317033083,0.03673544683172576,0.03541325421781536
semeion,0.01293691224982641,0.012945140563445106,0.013119575812271132
soybean,0.023413746519049834,0.023382359010664575,0.022682032970790904
spambase,0.00585621284982456,0.006043750757263527,0.0059889735159125304
spect,0.06313438893772763,0.05241558444974736,0.05569529409925992
spectf,0.040524851865982044,0.042259786623080955,0.043252826040753915
statlog-australian-credit,0.027715645118051604,0.0249296281213768,0.027092080681799285
statlog-german-credit,0.025210470366336984,0.02593191793554987,0.02464730523145309
statlog-heart,0.05517022605756649,0.057129126809913916,0.055334596780588774
statlog-image,0.007494952158197077,0.007848068997150605,0.007529818990461788
statlog-landsat,0.005836949503334794,0.0060744861032367235,0.005722979058397623
statlog-shuttle,1.0640992720528612E-4,2.3145945645827373E-4,2.5040941285243886E-4
statlog-vehicle,0.02318459245585555,0.021774916924953883,0.021962931907432544
steel-plates,0.019197524646038397,0.02013025692413845,0.01938089367068854
synthetic-control,0.011919268665368753,0.011768303859705323,0.01178186150556857
teaching,0.08476190230873985,0.08512201656683295,0.09347981143174382
thyroid,0.0016186407481077025,0.001680155082478337,0.0016988432946579068
tic-tac-toe,0.007358641047850767,0.008225307721173853,0.00847104553900413
titanic,0.013547553896712972,0.014827433126257,0.014892311498170347
trains,0.22603882508763562,0.28983414467178387,0.2917555967325674
twonorm,0.0040237255705274635,0.004115025904527106,0.004082134256451964
vertebral-column-2clases,0.04629851588711156,0.05360852728005689,0.05359067532489063
vertebral-column-3clases,0.047169198837593886,0.04650318481872863,0.04642853626929586
wall-following,0.002107516108259632,0.002882104183729468,0.003445069474290487
waveform,0.00978030477953735,0.009995457061478476,0.010297423078647686
waveform-noise,0.009823684922560482,0.010098339798527683,0.009875086821025858
wine,0.023964879374116003,0.025453319023510165,0.025607062180091192
wine-quality-red,0.024162912221886407,0.022933685266455464,0.022829161513629622
wine-quality-white,0.01325421278556988,0.013123308972886525,0.012989038628371459
yeast,0.02693940525215366,0.029634681764991542,0.028941585510838107
zoo,0.045691208104956936,0.050936378938747695,0.04907480903690691
