TRAINNLL:,CAWPE(RandTie),CAWPE(ConTie),CAWPE(alpha=4)
abalone,1.0518285203793636,1.0494872856934654,1.0510161524666046
acute-inflammation,0.14568721516716782,0.14578743026771954,0.14540201743308803
acute-nephritis,0.10887684573915618,0.10960861567722713,0.10910843893122488
adult,0.4338536043595191,0.4087613668257603,0.4330654832008726
annealing,0.2900372055616263,0.2706171264766851,0.27758706704778274
arrhythmia,1.4163926503984705,1.3954977592327753,1.3927644174810478
audiology-std,1.6422713559822308,1.6471199709561732,1.6448440402054183
balance-scale,0.34829203600826486,0.30449567482586476,0.33359101893728427
balloons,0.912797470519339,0.8568348448943579,0.8158969551829244
bank,0.34824565334265833,0.3608881293435818,0.3482063841188646
blood,0.7104819302991012,0.7054758282605452,0.7068299727347455
breast-cancer,0.8284273109953055,0.8285134227236175,0.8172196772251075
breast-cancer-wisc,0.15266928451578968,0.15387819833259647,0.15279546468865002
breast-cancer-wisc-diag,0.13246389008461154,0.13167271756816828,0.1321813867019148
breast-cancer-wisc-prog,0.6979419373275679,0.7200671822063001,0.6944011556554656
breast-tissue,1.1544240444011373,1.1705208666835771,1.1494177815893785
car,0.14660897918193622,0.12524169264273124,0.14517010825086316
cardiotocography-3clases,0.24109044358393777,0.26019161031120197,0.2390704170535602
cardiotocography-10clases,0.5925210367250309,0.5963614700957607,0.5878045623564773
chess-krvk,1.1807924269269143,1.0344211322538384,1.052225576304458
chess-krvkp,0.07352569857489892,0.0723767204772127,0.07338630283176115
congressional-voting,0.9364619294628981,0.9424605951652194,0.9350888053569408
conn-bench-sonar-mines-rocks,0.5543177564025988,0.5589081085709441,0.5510753308843099
conn-bench-vowel-deterding,0.3492568617561187,0.36097253377157995,0.35350290439345156
connect-4,0.43520392051310386,0.42550624855213337,0.4345519245122729
contrac,1.357234618842401,1.3416475604806375,1.3524045382219612
credit-approval,0.48783887688531813,0.5118701879712159,0.48783164904740556
cylinder-bands,0.7058071333061985,0.7236661853490478,0.7023820936693271
dermatology,0.18336599013977312,0.18229806424527187,0.18389768154975686
echocardiogram,0.6158479352193098,0.6091535063984189,0.6103738351038661
ecoli,0.6847931189017391,0.6835713925501559,0.6840843690208022
energy-y1,0.21943787461772682,0.21081282271775162,0.21088979740996264
energy-y2,0.29716157943106114,0.3043376475140851,0.29359422690143133
fertility,0.5628791432300021,0.5570167129504426,0.5584127919094666
flags,1.692317261008843,1.6336145048606405,1.6403328714039103
glass,1.0928506821958723,1.0867858877400223,1.0783755019716366
haberman-survival,0.7765818561264274,0.7635866112923756,0.769629695210561
hayes-roth,0.8691480651097268,0.78393521067828,0.7763491158638433
heart-cleveland,1.4512635824711915,1.4191195860246344,1.4280881862168222
heart-hungarian,0.6198515587732949,0.6246869696604658,0.6170563751463493
heart-switzerland,2.045061842857459,2.0452539748015215,1.9894756226400279
heart-va,2.229515637680476,2.2427737736936026,2.1964026165042743
hepatitis,0.5507431108236828,0.5516395555043968,0.5443709958391261
hill-valley,0.9675799519341541,0.8975417442091891,0.945653453007512
horse-colic,0.5617851145746512,0.5570027385816692,0.5582216385985508
ilpd-indian-liver,0.7605008760050926,0.8082324166152361,0.7597766683898761
image-segmentation,0.24018382743586283,0.21041695621578604,0.22862896420639114
ionosphere,0.31542718906830014,0.3128586732154243,0.31355331247249274
iris,0.18551672572118508,0.18676644616318966,0.18386332698120839
led-display,1.3142744356808833,1.322523483714385,1.3141360122226027
lenses,1.0931904713982943,1.067431860537223,1.045010034429773
letter,0.40519463679529444,0.3817371083214168,0.3982808608878353
libras,1.1189405462485156,1.0935300277743882,1.102049504861612
low-res-spect,0.4999110190968878,0.4995642875264688,0.4994192639744716
lung-cancer,1.5087907778341032,1.40701979806951,1.400307613014265
lymphography,0.7339657479369353,0.7407501154696142,0.7299647797798766
magic,0.44143184288994103,0.43133920999502223,0.44029035106844494
mammographic,0.6111596122757135,0.6041054028435566,0.6081884793107076
miniboone,0.24980873725865785,0.2038718239173606,0.24644240359084296
molec-biol-promoter,0.5745311763902637,0.5655668644483848,0.5739905012650917
molec-biol-splice,0.36530689038955244,0.25952689208232765,0.35065688813186635
monks-1,0.2916937014894097,0.25285435842789095,0.2535230020097026
monks-2,0.8112509747062878,0.795410441656205,0.8040508344066217
monks-3,0.19080787140246108,0.1615671817490523,0.18266265341736762
mushroom,0.0027808853023884843,0.0027839462670227236,0.0027717325230825415
musk-1,0.4603185208552938,0.4566859474968144,0.4588131580353408
musk-2,0.08136044842863431,0.07955028449383225,0.08067962218895942
nursery,0.08577971117686137,0.016544015859150576,0.08478148953352128
oocytes_merluccius_nucleus_4d,0.5632564046048286,0.5583211567234108,0.5610865114576696
oocytes_merluccius_states_2f,0.2731533281030693,0.2844173037233375,0.2730635239705892
oocytes_trisopterus_nucleus_2f,0.5766048401593497,0.5743848769811623,0.5749892279054782
oocytes_trisopterus_states_5b,0.29682264424467986,0.29505238372827264,0.2959302119104968
optical,0.17483231460654244,0.17392245594554823,0.17421485467166806
ozone,0.17215136138701942,0.17770242723935023,0.17254383877988477
page-blocks,0.1313443287368468,0.133677942318458,0.1305445726337794
parkinsons,0.38093378093849267,0.37430980160408617,0.3772248865144501
pendigits,0.08091086266818512,0.08083198803865235,0.08087389615248869
pima,0.6943544134036947,0.6914994770908691,0.6929493411655864
pittsburg-bridges-MATERIAL,0.5987031321880104,0.6040073218992379,0.592921536865033
pittsburg-bridges-REL-L,1.1866401355361225,1.163693840623121,1.1660354254601408
pittsburg-bridges-SPAN,1.1907870434628545,1.1960288967184745,1.1775496601154962
pittsburg-bridges-T-OR-D,0.4516586946277576,0.4728073511949761,0.45345503209170684
pittsburg-bridges-TYPE,1.8109804682417092,1.817442284241556,1.7919406704867167
planning,0.9433157290189704,0.9348034352040481,0.9241575653620262
plant-margin,1.4028809391907537,1.6450096069888431,1.431619476729363
plant-shape,2.036833810673353,2.0175001704662683,2.0074432831887616
plant-texture,1.481648310160815,1.5945278974652137,1.4978834595137733
post-operative,1.2127173963906062,1.2988100639387097,1.205392392740936
primary-tumor,2.6969855739769426,2.651963343756953,2.6568201407848737
ringnorm,0.1377741231321448,0.12949650026066928,0.13668383556903818
seeds,0.2943196624830619,0.3012450454385327,0.29423385459887097
semeion,0.46843473564873295,0.46288391434688003,0.4627029666123762
soybean,0.4025016076300858,0.4017329100269874,0.40204763842190394
spambase,0.23198270494876316,0.21938083312523454,0.2261590022915214
spect,0.8980957535627215,0.8971942692550421,0.8809547837475374
spectf,0.5049804336666464,0.5072069412488766,0.5022591517460319
statlog-australian-credit,0.9056488221911809,0.8981312258665948,0.9018162715016302
statlog-german-credit,0.7197468270005009,0.7354808596453934,0.7166998580200538
statlog-heart,0.5757638176744975,0.5819942183981809,0.5743626002208331
statlog-image,0.1422120742200394,0.12682209012749926,0.14047794938547423
statlog-landsat,0.359038488287443,0.36700885106700637,0.35833168343328814
statlog-shuttle,0.02386013716152816,0.0023054692606542934,0.0222802113184649
statlog-vehicle,0.6542745934261451,0.6354753435557202,0.6486299082730353
steel-plates,0.8495030334125998,0.8491665515514435,0.8462996560674635
synthetic-control,0.20837060949034578,0.20879016524357472,0.20883730766673123
teaching,1.4404452212771817,1.4911431335043446,1.4311158798501458
thyroid,0.053439602763758184,0.03416215930388384,0.05194149831151962
tic-tac-toe,0.15983289235515397,0.13929478814833915,0.1558002193791635
titanic,0.711285009830599,0.7065441366398691,0.710822871812182
trains,0.9050549430694556,0.9700594793464338,0.8679109351807723
twonorm,0.15684400804833715,0.15604191756946376,0.15639290657532828
vertebral-column-2clases,0.4834400905393453,0.5084967888550708,0.4821669553139278
vertebral-column-3clases,0.5277510733422155,0.5341150218158982,0.5238845447777584
wall-following,0.15610512740946808,0.03191920777580871,0.14031703008469343
waveform,0.47610542609465906,0.4770458769880936,0.47628415753778625
waveform-noise,0.4754376468988406,0.47503356660554186,0.4750867976235425
wine,0.21586397559782608,0.2094870063017346,0.21771394376101041
wine-quality-red,1.2686961344386853,1.2640120135818482,1.264571575430465
wine-quality-white,1.3367096881846647,1.3298081816815093,1.3237116801852291
yeast,1.5071840941445036,1.5035487559431402,1.505122922274443
zoo,0.36848269687519974,0.3673310827968382,0.364215731332134
