TRAINNLLSTDDEVS:,CAWPE(RandTie),CAWPE(ConTie),CAWPE(alpha=4)
abalone,0.014013834692734631,0.014082449166370596,0.014007362187296944
acute-inflammation,0.02287306541729612,0.023049281707078116,0.022483910555539482
acute-nephritis,0.023689877926234656,0.02573479614379006,0.024852335210749914
adult,0.004453295890970911,0.004154681959698656,0.0044316455439100295
annealing,0.02601626403199142,0.033645677099167555,0.025417371483875954
arrhythmia,0.07485348688494158,0.09549757155153366,0.07663204919863947
audiology-std,0.08536471612788371,0.0901966747196932,0.08547750655577632
balance-scale,0.023482894387042805,0.03805894009109324,0.025039876140899125
balloons,0.25463524303360613,0.236159795502461,0.23513524436933034
bank,0.01044874888766874,0.028840885972139425,0.010498387876957355
blood,0.030915772594145925,0.029515818078770135,0.0298655238516635
breast-cancer,0.0545162614220052,0.09897765597058177,0.05123253234526154
breast-cancer-wisc,0.027814040770976687,0.026911678736396376,0.027949300235495998
breast-cancer-wisc-diag,0.025056179907202044,0.02490246689571576,0.02514873482811902
breast-cancer-wisc-prog,0.06039293266824079,0.10039673158465501,0.05933662431401568
breast-tissue,0.11983919271670003,0.1466494457343632,0.12135543812192652
car,0.009203380580443165,0.021345919027234286,0.008998816046949847
cardiotocography-3clases,0.012841444658846263,0.030241330284092205,0.012989102294784751
cardiotocography-10clases,0.023340301335742743,0.040306423861707436,0.02365032483548658
chess-krvk,0.013469289073971618,0.02247277993436142,0.010905764370821294
chess-krvkp,0.005659055152042925,0.008940525438505919,0.005592043057707748
congressional-voting,0.024355719820561075,0.03298098088200078,0.0245735673959615
conn-bench-sonar-mines-rocks,0.04012916042590852,0.04512375093461322,0.03948669457458934
conn-bench-vowel-deterding,0.02269338196518878,0.027442362142031378,0.023619033799623844
connect-4,0.002858508828726481,0.008947432301076417,0.0028222065526111524
contrac,0.021612026990227982,0.020450234619803432,0.02048627049799498
credit-approval,0.0400122992748177,0.08037297247782835,0.040055279705216454
cylinder-bands,0.036713305978483435,0.07606348325360882,0.036174685824100744
dermatology,0.029772837313914394,0.03115128067793262,0.03014738696361078
echocardiogram,0.09926537553671122,0.10500032196760889,0.0973026443788605
ecoli,0.07350698617800025,0.07546063915932147,0.07402184570480377
energy-y1,0.031914481558233815,0.033417078792372594,0.0313016208653764
energy-y2,0.022346277086062606,0.0426973904486346,0.02188421771322545
fertility,0.06597967743815561,0.06289468091790248,0.05998926850926989
flags,0.12654182826243868,0.1291830742793805,0.1249762174354299
glass,0.07462388186770845,0.1018271182362553,0.07380905651310661
haberman-survival,0.04645506677345937,0.04542572992910088,0.04411849085000626
hayes-roth,0.06777982978433673,0.08570056023724831,0.06892377906157961
heart-cleveland,0.06584806071508577,0.14840422396098318,0.0588350487601913
heart-hungarian,0.06291201771271919,0.07855140795675791,0.06193311399968871
heart-switzerland,0.13830648943958865,0.2104565477466765,0.1325946763988683
heart-va,0.12233402093914848,0.229143336693471,0.1288942071103477
hepatitis,0.0650026671445087,0.09303717419215443,0.06548263574643327
hill-valley,0.01567722910516856,0.02349106442855335,0.015408781245056756
horse-colic,0.042361926037577685,0.04230043807198632,0.04219297158133042
ilpd-indian-liver,0.03153347860710948,0.14948252131519477,0.031948285088990405
image-segmentation,0.011950779212790943,0.018997341171691,0.01129429343050731
ionosphere,0.03108906448870553,0.032248856877670054,0.03091564776104716
iris,0.052622491004756806,0.05498560097557795,0.0519013662706767
led-display,0.06944853634643242,0.07756220387828805,0.06937787624153245
lenses,0.30152503607822884,0.29616800068201493,0.3038887449060121
letter,0.009300863796793804,0.008089755067693298,0.008562896365111403
libras,0.0835177821135997,0.0856076453908765,0.08415525210770146
low-res-spect,0.05091588305861349,0.05139012372715259,0.051440573084062524
lung-cancer,0.250815686670402,0.19518428131426094,0.1986973094765162
lymphography,0.07570372054868019,0.09382962294809705,0.07451964221197319
magic,0.0058827464656521986,0.007786162785518384,0.005902601469017329
mammographic,0.03287112689188793,0.03217734571134481,0.03219875920164071
