TRAINTESTDIFFSNLLSTDDEVS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
abalone,0.02416166863486995,0.02587134998621615,0.026665581128485816
acute-inflammation,0.005143281721358629,0.004654837247065253,0.005013542836471575
acute-nephritis,0.005072662678516906,0.004644616684152237,0.004960425331292738
adult,0.0074441608582623735,0.007404065588925146,0.007390257731020695
annealing,0.0600168728666606,0.05890762305614276,0.05831848835405529
arrhythmia,0.2308091161679329,0.2192587722615254,0.21652380122854517
audiology-std,0.24211429096720902,0.22650176943609754,0.22553172821273468
balance-scale,0.059114984445994806,0.038814986355952236,0.037045286893911435
balloons,1.6103709198639007,1.5094130438120072,1.4670580572712237
bank,0.014801490695423266,0.013117939803101135,0.013207848264666547
blood,0.04417943582176417,0.0440934186932265,0.04406218790728112
breast-cancer,0.07751432527379899,0.07492047973153584,0.07631834574463695
breast-cancer-wisc,0.05373080315807753,0.04822820905254946,0.048335227913736636
breast-cancer-wisc-diag,0.06908140103893504,0.07166288262403589,0.0722642465597753
breast-cancer-wisc-prog,0.1837720865826805,0.1626536947117472,0.16197818946517864
breast-tissue,0.32514821299045366,0.3024057477042185,0.30235585025549827
car,0.02230805547178667,0.02150157140583092,0.021341220177067466
cardiotocography-3clases,0.0312220207077779,0.03135053396020734,0.03114318647126829
cardiotocography-10clases,0.052783930027967274,0.05238529131501433,0.05259511217266564
chess-krvk,0.012991178656961411,0.019511034869252722,0.012991178656961411
chess-krvkp,0.00872162412124724,0.009255996797632006,0.00964135264126502
congressional-voting,0.051676443472983905,0.044591054223541586,0.04471231719581096
conn-bench-sonar-mines-rocks,0.16814682281362547,0.1647386889691068,0.16198972304524392
conn-bench-vowel-deterding,0.04398675582620854,0.045720979361722064,0.05025015828411041
connect-4,0.0041835407989747,0.0034461832981429554,0.0031962640710130083
contrac,0.036232477772983544,0.035585412126583116,0.03537751779007928
credit-approval,0.05854501173222693,0.05922634196619678,0.06015425979125659
cylinder-bands,0.08964938441326896,0.0860851772465464,0.08543675692797403
dermatology,0.0724232068503172,0.05042458112287607,0.0501328175462662
echocardiogram,0.2469529667370004,0.2481463380561233,0.25424678526097166
ecoli,0.19435977940941176,0.14930064119494804,0.1498119322973884
energy-y1,0.05848624570651777,0.05214944834021019,0.05061999202109033
energy-y2,0.05307596949077825,0.05275041297635438,0.05325985400919137
fertility,0.6739715049856752,0.14596773737944893,0.1500628199429282
flags,0.32839327486403974,0.3241476854901597,0.30945065471911903
glass,0.19930045340499686,0.1895462242799971,0.188308854853033
haberman-survival,0.06853857879153584,0.06581025420026092,0.0650452590062564
hayes-roth,0.2114317333497446,0.21790767738233544,0.1570076948519431
heart-cleveland,0.15615808289198063,0.15627942143041257,0.15888096416113026
heart-hungarian,0.11382411552014848,0.10921042774302524,0.10930132713997401
heart-switzerland,0.36973760317571086,0.3520726675914699,0.3330598338852324
heart-va,0.22136305199073103,0.20451309365817621,0.20673612821308618
hepatitis,0.18467086784178313,0.17228586142564417,0.17012871748000247
hill-valley,0.02260857188785924,0.014326012399618069,0.013879134696593944
horse-colic,0.09574388127975672,0.09174416838089039,0.09256995757286737
ilpd-indian-liver,0.04168126709161454,0.0330178668896341,0.033055215164162245
image-segmentation,0.03956478188580119,0.03892909272277126,0.03875378802532233
ionosphere,0.08679489667081092,0.07786334031218266,0.07942351086503129
iris,0.1033666974039463,0.09198447483291707,0.09188803799514632
led-display,0.1121032975029219,0.11495032504232129,0.11533869998069782
lenses,0.8124110195905434,0.810916471307722,0.8139907670014467
letter,0.017064089898876082,0.0167996535389719,0.01680180421851329
libras,0.2136356813767432,0.21164330809492712,0.21148244558759136
low-res-spect,0.12156564930157422,0.10045935750334352,0.10179643257869639
lung-cancer,1.2039681882352988,1.0672932426194794,0.9381489434007946
lymphography,0.24391965309290442,0.16228305145271027,0.16488918270791467
magic,0.011087872018772042,0.010565607336236097,0.010440874942665924
mammographic,0.05872890141418552,0.058077242554262096,0.05800023963972032
miniboone,0.006037863055747806,0.006785125070916711,0.007046705824431821
molec-biol-promoter,0.2390465326015929,0.2365163604427527,0.23564701034669938
molec-biol-splice,0.03408200513875488,0.028972584551155638,0.027068598729397837
monks-1,0.1185582708859081,0.09560096272511387,0.07587229073945406
monks-2,0.041088933658998066,0.0364358395526322,0.032215784581064395
monks-3,0.05126194045325131,0.05049318589066848,0.05239157934587931
mushroom,0.002382874641505401,0.0025206935939483858,0.002713766633699563
musk-1,0.11618523202177122,0.11352018280762213,0.1132448883526705
musk-2,0.012175087035991336,0.012298483682982234,0.01237837905851426
