TRAINTESTDIFFSNLLRANKS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
abalone,1.0,2.0,3.0
acute-inflammation,3.0,1.0,2.0
acute-nephritis,3.0,1.0,2.0
adult,3.0,2.0,1.0
annealing,1.0,2.0,3.0
arrhythmia,1.0,2.0,3.0
audiology-std,3.0,2.0,1.0
balance-scale,1.0,2.0,3.0
balloons,2.0,1.0,3.0
bank,1.0,2.0,3.0
blood,1.0,2.0,3.0
breast-cancer,1.0,2.0,3.0
breast-cancer-wisc,1.0,2.0,3.0
breast-cancer-wisc-diag,1.0,2.0,3.0
breast-cancer-wisc-prog,1.0,2.0,3.0
breast-tissue,1.0,2.0,3.0
car,1.0,2.0,3.0
cardiotocography-3clases,1.0,2.0,3.0
cardiotocography-10clases,1.0,2.0,3.0
chess-krvk,1.5,3.0,1.5
chess-krvkp,1.0,2.0,3.0
congressional-voting,1.0,2.0,3.0
conn-bench-sonar-mines-rocks,1.0,2.0,3.0
conn-bench-vowel-deterding,3.0,1.0,2.0
connect-4,3.0,2.0,1.0
contrac,1.0,2.0,3.0
credit-approval,1.0,2.0,3.0
cylinder-bands,1.0,2.0,3.0
dermatology,3.0,1.0,2.0
echocardiogram,2.0,1.0,3.0
ecoli,3.0,1.0,2.0
energy-y1,3.0,2.0,1.0
energy-y2,1.0,2.0,3.0
fertility,3.0,1.0,2.0
flags,2.0,1.0,3.0
glass,2.0,1.0,3.0
haberman-survival,1.0,2.0,3.0
hayes-roth,1.0,3.0,2.0
heart-cleveland,1.0,2.0,3.0
heart-hungarian,1.0,2.0,3.0
heart-switzerland,1.0,2.0,3.0
heart-va,1.0,2.0,3.0
hepatitis,1.0,2.0,3.0
hill-valley,3.0,2.0,1.0
horse-colic,1.0,2.0,3.0
ilpd-indian-liver,3.0,1.0,2.0
image-segmentation,3.0,1.0,2.0
ionosphere,1.0,2.0,3.0
iris,3.0,1.0,2.0
led-display,3.0,1.0,2.0
lenses,2.0,1.0,3.0
letter,3.0,2.0,1.0
libras,1.0,2.0,3.0
low-res-spect,3.0,2.0,1.0
lung-cancer,2.0,1.0,3.0
lymphography,3.0,1.0,2.0
magic,3.0,2.0,1.0
mammographic,1.0,2.0,3.0
miniboone,3.0,2.0,1.0
molec-biol-promoter,1.0,2.0,3.0
molec-biol-splice,3.0,2.0,1.0
monks-1,3.0,2.0,1.0
monks-2,2.0,1.0,3.0
monks-3,1.0,2.0,3.0
mushroom,2.0,1.0,3.0
musk-1,1.0,2.0,3.0
musk-2,3.0,2.0,1.0
nursery,1.0,2.0,3.0
oocytes_merluccius_nucleus_4d,1.0,2.0,3.0
oocytes_merluccius_states_2f,1.0,2.0,3.0
oocytes_trisopterus_nucleus_2f,1.0,2.0,3.0
oocytes_trisopterus_states_5b,1.0,2.0,3.0
optical,1.0,2.0,3.0
ozone,1.0,2.0,3.0
page-blocks,1.0,2.0,3.0
parkinsons,1.0,2.0,3.0
pendigits,1.0,2.0,3.0
pima,1.0,2.0,3.0
pittsburg-bridges-MATERIAL,3.0,1.0,2.0
pittsburg-bridges-REL-L,2.0,1.0,3.0
pittsburg-bridges-SPAN,1.0,2.0,3.0
pittsburg-bridges-T-OR-D,3.0,1.0,2.0
pittsburg-bridges-TYPE,1.0,2.0,3.0
planning,2.0,1.0,3.0
plant-margin,1.0,2.0,3.0
plant-shape,3.0,1.0,2.0
plant-texture,2.0,1.0,3.0
post-operative,3.0,1.0,2.0
primary-tumor,1.0,2.0,3.0
ringnorm,1.0,2.0,3.0
seeds,1.0,2.0,3.0
semeion,2.0,1.0,3.0
soybean,3.0,1.0,2.0
spambase,1.0,2.0,3.0
spect,1.0,2.0,3.0
spectf,1.0,2.0,3.0
statlog-australian-credit,1.0,2.0,3.0
statlog-german-credit,3.0,1.0,2.0
statlog-heart,1.0,2.0,3.0
statlog-image,1.0,2.0,3.0
statlog-landsat,3.0,2.0,1.0
statlog-shuttle,1.0,2.0,3.0
statlog-vehicle,1.0,2.0,3.0
steel-plates,1.0,2.0,3.0
synthetic-control,2.0,1.0,3.0
teaching,1.0,2.0,3.0
thyroid,1.0,2.0,3.0
tic-tac-toe,2.0,1.0,3.0
titanic,1.0,2.0,3.0
trains,2.0,1.0,3.0
twonorm,1.0,2.0,3.0
vertebral-column-2clases,2.0,1.0,3.0
vertebral-column-3clases,1.0,2.0,3.0
wall-following,3.0,2.0,1.0
waveform,1.0,2.0,3.0
waveform-noise,1.0,2.0,3.0
wine,3.0,1.0,2.0
wine-quality-red,1.0,2.0,3.0
wine-quality-white,3.0,2.0,1.0
yeast,1.0,2.0,3.0
zoo,3.0,1.0,2.0
