@relation hayes-roth

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute clase {0,1,2}

@data
-1.00692,-1.00692,0.047948,0
-1.00692,1.10281,0.047948,1
-1.00692,2.15768,-1.00692,2
2.15768,0.047948,0.047948,2
-1.00692,1.10281,2.15768,2
-1.00692,1.10281,0.047948,1
-1.00692,1.10281,0.047948,1
2.15768,0.047948,2.15768,2
0.047948,-1.00692,-1.00692,0
0.047948,-1.00692,-1.00692,0
0.047948,-1.00692,-1.00692,0
0.047948,1.10281,2.15768,2
-1.00692,0.047948,-1.00692,0
-1.00692,0.047948,0.047948,1
2.15768,-1.00692,2.15768,2
-1.00692,1.10281,1.10281,0
0.047948,-1.00692,0.047948,1
0.047948,-1.00692,-1.00692,0
1.10281,0.047948,-1.00692,0
-1.00692,1.10281,0.047948,0
0.047948,0.047948,-1.00692,1
0.047948,-1.00692,1.10281,0
-1.00692,0.047948,-1.00692,0
0.047948,-1.00692,1.10281,0
1.10281,0.047948,-1.00692,0
0.047948,0.047948,-1.00692,1
0.047948,-1.00692,1.10281,1
-1.00692,0.047948,0.047948,1
-1.00692,1.10281,0.047948,0
0.047948,-1.00692,-1.00692,0
2.15768,-1.00692,-1.00692,2
0.047948,-1.00692,1.10281,0
0.047948,-1.00692,1.10281,1
-1.00692,-1.00692,0.047948,0
2.15768,1.10281,-1.00692,2
-1.00692,0.047948,0.047948,1
-1.00692,0.047948,0.047948,1
0.047948,0.047948,-1.00692,1
0.047948,-1.00692,0.047948,1
2.15768,1.10281,0.047948,2
0.047948,0.047948,-1.00692,1
0.047948,-1.00692,0.047948,1
0.047948,-1.00692,1.10281,1
0.047948,-1.00692,-1.00692,0
-1.00692,0.047948,-1.00692,0
0.047948,-1.00692,1.10281,1
-1.00692,-1.00692,0.047948,0
-1.00692,-1.00692,0.047948,0
0.047948,0.047948,1.10281,1
1.10281,-1.00692,-1.00692,0
1.10281,1.10281,-1.00692,0
0.047948,-1.00692,0.047948,1
0.047948,-1.00692,0.047948,1
-1.00692,0.047948,-1.00692,0
-1.00692,-1.00692,0.047948,0
-1.00692,1.10281,0.047948,0
0.047948,0.047948,-1.00692,1
-1.00692,0.047948,-1.00692,0
0.047948,-1.00692,1.10281,0
-1.00692,0.047948,0.047948,1
0.047948,2.15768,0.047948,2
0.047948,-1.00692,0.047948,1
-1.00692,0.047948,2.15768,2
1.10281,0.047948,-1.00692,0
2.15768,2.15768,0.047948,2
1.10281,0.047948,-1.00692,0
-1.00692,0.047948,0.047948,1
-1.00692,0.047948,0.047948,1
1.10281,0.047948,2.15768,2
-1.00692,0.047948,0.047948,1
-1.00692,2.15768,0.047948,2
-1.00692,1.10281,0.047948,1
-1.00692,1.10281,0.047948,1
-1.00692,1.10281,0.047948,0
0.047948,2.15768,2.15768,2
2.15768,0.047948,-1.00692,2
-1.00692,0.047948,-1.00692,0
2.15768,-1.00692,0.047948,2
0.047948,-1.00692,-1.00692,0
-1.00692,0.047948,-1.00692,0
0.047948,2.15768,1.10281,2
-1.00692,0.047948,0.047948,1
-1.00692,1.10281,0.047948,0
0.047948,-1.00692,1.10281,0
2.15768,2.15768,-1.00692,2
1.10281,1.10281,0.047948,1
0.047948,-1.00692,1.10281,1
1.10281,0.047948,-1.00692,1
-1.00692,-1.00692,1.10281,0
0.047948,-1.00692,0.047948,1
0.047948,0.047948,-1.00692,1
1.10281,0.047948,1.10281,1
1.10281,0.047948,-1.00692,1
0.047948,-1.00692,0.047948,1
-1.00692,-1.00692,0.047948,0
0.047948,0.047948,-1.00692,1
0.047948,-1.00692,-1.00692,0
-1.00692,0.047948,-1.00692,0
-1.00692,2.15768,2.15768,2
1.10281,0.047948,-1.00692,1
1.10281,0.047948,-1.00692,1
-1.00692,1.10281,-1.00692,0
0.047948,-1.00692,0.047948,1
-1.00692,-1.00692,0.047948,0
0.047948,2.15768,-1.00692,2
0.047948,0.047948,-1.00692,1
1.10281,0.047948,-1.00692,1
0.047948,-1.00692,2.15768,2
2.15768,0.047948,1.10281,2
0.047948,-1.00692,-1.00692,0
0.047948,-1.00692,-1.00692,0
0.047948,1.10281,0.047948,1
1.10281,0.047948,-1.00692,0
-1.00692,0.047948,-1.00692,0
-1.00692,-1.00692,0.047948,0
1.10281,-1.00692,2.15768,2
1.10281,2.15768,-1.00692,2
0.047948,1.10281,1.10281,1
1.10281,0.047948,0.047948,1
1.10281,2.15768,0.047948,2
0.047948,0.047948,-1.00692,1
-1.00692,-1.00692,2.15768,2
-1.00692,0.047948,0.047948,1
0.047948,0.047948,2.15768,2
1.10281,-1.00692,1.10281,0
-1.00692,-1.00692,0.047948,0
2.15768,-1.00692,1.10281,2
-1.00692,2.15768,1.10281,2
-1.00692,0.047948,-1.00692,0
0.047948,-1.00692,0.047948,1
0.047948,0.047948,-1.00692,1
-1.00692,-1.00692,0.047948,0
1,1,2,0
1,2,1,0
2,1,1,0
1,1,3,0
1,3,1,0
3,1,1,0
1,3,3,0
3,1,3,0
3,3,1,0
2,2,1,1
2,1,2,1
1,2,2,1
2,2,3,1
2,3,2,1
3,2,2,1
2,3,3,1
3,2,3,1
3,3,2,1
1,3,2,0
3,2,1,1
2,1,3,0
2,3,1,1
1,2,3,0
3,1,2,1
1,1,1,0
2,2,2,1
3,3,3,0
4,4,4,2
