TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE-A,PB-A
abalone,0.013260610607986039,0.015973214668760574
acute-inflammation,0.0,0.0060858061945018235
acute-nephritis,0.007302967433402224,0.029329195963523475
adult,0.006454343838242044,0.004554292251799497
annealing,0.07733768390161415,0.06835666845232277
arrhythmia,0.05171106393453416,0.06305257293411826
audiology-std,0.08085664808090441,0.057139693895023186
balance-scale,0.053658173841565536,0.03727309511574157
balloons,0.33236317151239514,0.23074024361940593
bank,0.017913692807596193,0.019844270865783782
blood,0.03834598384516225,0.03937953545810832
breast-cancer,0.06531382515202948,0.07161056438842035
breast-cancer-wisc,0.016939932127293642,0.01895249582381613
breast-cancer-wisc-diag,0.015680775994670704,0.02020350719489007
breast-cancer-wisc-prog,0.06471878571267546,0.07738679318549851
breast-tissue,0.09348284972829098,0.07912062247956046
car,0.026472720609866763,0.037167998399921465
cardiotocography-3clases,0.029076758932735987,0.031038538219693053
cardiotocography-10clases,0.026391748983619165,0.02653208867896681
chess-krvk,0.015354210627467547,0.015340377268620685
chess-krvkp,0.0035234522380765024,0.004108159694992032
congressional-voting,0.030690570010591046,0.02662306415867332
conn-bench-sonar-mines-rocks,0.04938613572083732,0.05226181867304868
conn-bench-vowel-deterding,0.018250062206551558,0.021008515690084793
connect-4,0.007129947476808279,0.004144214411703356
contrac,0.024747694018002673,0.026665960130338312
credit-approval,0.02685826502665358,0.02814375111005474
cylinder-bands,0.05043189797015732,0.04453664254933129
dermatology,0.02417114289416118,0.028469290319803414
echocardiogram,0.09366681949271957,0.08800521884451935
ecoli,0.07976183169445714,0.07278630593468312
energy-y1,0.027269805856710908,0.028737837476682713
energy-y2,0.02920868040086863,0.024748907349601543
fertility,0.07970969592712983,0.10022122614242002
flags,0.05621153624732541,0.05142635351812322
glass,0.08198067325634678,0.0759265759656827
haberman-survival,0.04642230208635573,0.07007254563385085
hayes-roth,0.06473500328092387,0.0666196973060846
heart-cleveland,0.052727548291921104,0.05967640815162999
heart-hungarian,0.044807427937505855,0.0549926873215532
heart-switzerland,0.07988691820237083,0.07731260043784793
heart-va,0.082446980603915,0.06490581975067358
