TRAINTESTDIFFSBALACC:,CAWPE-A,PB-A
abalone,-0.004111867295182326,-0.006274582254804017
acute-inflammation,0.0,-0.0011111111111111072
acute-nephritis,-0.0013333333333333346,1.9047619047619276E-4
adult,-0.0017778105814605593,-0.0014463039017177084
annealing,-0.06908433038287083,-0.05767917616807489
arrhythmia,-0.022353115502178954,-0.01881252756375013
audiology-std,-0.24946030351827456,-0.09461661705623058
balance-scale,-0.09995061728395065,-0.00903703703703705
balloons,0.0808333333333333,-0.1794444444444445
bank,-0.010772315551625885,-0.0022181869535317865
blood,-0.0037131217557000956,0.0012543531112425268
breast-cancer,0.016435272597027147,-0.004759028394533804
breast-cancer-wisc,0.004457426588232449,0.0038594008765703734
breast-cancer-wisc-diag,0.0031359787037574544,0.004524602758199762
breast-cancer-wisc-prog,-0.010331744215611479,-0.019948321891685737
breast-tissue,-0.016595719095719094,-0.014859908609908597
car,-0.01267376544281628,-0.005655387068739363
cardiotocography-3clases,-0.007371419084381714,-0.0016054413946718657
cardiotocography-10clases,-0.01595500733387717,-0.013500796288489322
chess-krvk,-0.013640139353294797,-0.010525165204418848
chess-krvkp,1.680775147674544E-4,-2.3674549614366807E-4
congressional-voting,-0.007055885983615787,-0.008574140575318903
conn-bench-sonar-mines-rocks,-0.004920634920634896,-0.004185606060606073
conn-bench-vowel-deterding,-0.01077441077441077,-0.006397306397306405
connect-4,-0.010757080755787988,-3.814385805819757E-4
contrac,-0.007474460430971606,-0.006794652087705832
credit-approval,-0.0038329073101555458,-0.004965105290886796
cylinder-bands,-0.013393162393162395,-0.02446581196581195
dermatology,9.730187176423895E-4,4.1379359390115354E-4
echocardiogram,0.029094516594516603,-0.018524531024531016
ecoli,-0.020272931930845745,-0.039589109092472166
energy-y1,9.673676233778424E-4,-0.00435929820129877
energy-y2,0.003317523618781178,-0.0010514786816081163
fertility,-0.003535353535353536,-0.002146464646464652
flags,0.007154049654049655,-0.006024623524623546
glass,-0.025660563445651145,-0.03297282558247472
haberman-survival,0.02338378017945792,0.015476139085031817
hayes-roth,-0.032962962962963,-0.041271043771043826
heart-cleveland,5.951305544801694E-4,0.0029738815128580952
heart-hungarian,-0.015375351264552395,-0.015783487220661054
heart-switzerland,0.04002777777777779,0.0046111111111111075
heart-va,0.021352380952380966,-0.010903052503052506
hepatitis,0.004691631411951306,-6.301780363123862E-4
hill-valley,0.0037953795379537915,0.005500550055005485
horse-colic,-7.014874915483545E-4,-0.009051724137931028
ilpd-indian-liver,0.005501723009253116,0.009872548803271692
image-segmentation,-0.0016161616161615895,-0.0015584415584415404
ionosphere,-0.005880536826333275,-0.012904141499274236
iris,0.006222222222222232,0.0022222222222222326
led-display,0.0052207625796933865,0.0038596652845535187
