TRAINTESTDIFFSBALACCSTDDEVS:,SMLRE-A,SMM5-A,SMLR-A,NBC-A,ES-A,RC-A,WMV-A,MV-A,CAWPE-A,PB-A
abalone,0.013982792581438334,0.012218771524949084,0.011645125247145512,0.01264566498747358,0.013574993335677934,0.012788350271497759,0.013657199812941705,0.01339093697491259,0.013260610607986039,0.015973214668760574
acute-inflammation,0.0,0.007077722617734384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060858061945018235
acute-nephritis,0.0,0.020160277319749252,0.007302967433402224,0.012205143065174603,0.015887535778195714,0.014605934866804447,0.014605934866804447,0.014605934866804447,0.007302967433402224,0.029329195963523475
adult,0.00472493187699121,0.00448245406205602,0.004531616832437787,0.005842894067175076,0.007698515192338329,0.008343997291647117,0.007263279566968891,0.007263279566968891,0.006454343838242044,0.004554292251799497
annealing,0.09537743983217757,0.06690764014822481,0.072153879226097,0.0688378593183735,0.08204507042765659,0.08227968289423869,0.0805070643593872,0.0774888273701754,0.07733768390161415,0.06835666845232277
arrhythmia,0.08072187409838498,0.05208061546913415,0.07573216228105947,0.058146433565890054,0.05958965188845317,0.04597521570482749,0.059409684995278766,0.05541249183169384,0.05171106393453416,0.06305257293411826
audiology-std,0.04500911681604064,0.08305885000841313,0.04988420672340547,0.0615853204531788,0.08062647847692692,0.05438676868076636,0.06808444723650836,0.06646792334672767,0.08085664808090441,0.057139693895023186
balance-scale,0.08647053992925621,0.062188108708573685,0.05439329539145654,0.04732939584415123,0.06682448770079126,0.017680223594619474,0.04624281968943985,0.04744878246502143,0.053658173841565536,0.03727309511574157
balloons,0.2049688089531628,0.2632479613298397,0.0,0.16538877917156922,0.3383983007665462,0.23984499704051362,0.3166869574059848,0.32617994861137234,0.33236317151239514,0.23074024361940593
bank,0.036603629105825694,0.022969926713605898,0.02077853827053933,0.01099684245909338,0.017947416898081846,0.015423083498605442,0.01776274617792249,0.01776274617792249,0.017913692807596193,0.019844270865783782
blood,0.0452567011343901,0.04652771677369358,0.05061271257950715,0.09388131676875316,0.050590230039090696,0.03143971292297176,0.044570614516839545,0.044570614516839545,0.03834598384516225,0.03937953545810832
breast-cancer,0.07292262161493016,0.07337164986337362,0.07132148873131583,0.08286448822054597,0.05947262690042498,0.054960798750551855,0.05697906581665252,0.05697906581665252,0.06531382515202948,0.07161056438842035
breast-cancer-wisc,0.014230691298874162,0.016590767185585564,0.01472096476208572,0.016878407539074138,0.015600038712545294,0.01706137680139301,0.01706137680139301,0.01706137680139301,0.016939932127293642,0.01895249582381613
breast-cancer-wisc-diag,0.016420478036612444,0.015358688857268767,0.01590680025262574,0.014551024856177755,0.014501896377429147,0.015700541426283725,0.015700541426283725,0.015700541426283725,0.015680775994670704,0.02020350719489007
breast-cancer-wisc-prog,0.08428640231576587,0.08929470217300786,0.08605533110776836,0.1008447583447995,0.0666200437715913,0.06054802004054145,0.0711276605038557,0.0711276605038557,0.06471878571267546,0.07738679318549851
breast-tissue,0.11761161018727782,0.10124387066050354,0.093933507639872,0.08257464316524518,0.09459593154742992,0.09002407713159737,0.08656726832010045,0.08283330986804383,0.09348284972829098,0.07912062247956046
car,0.04664747772000603,0.02653092040920509,0.02855019962626412,0.030758432126160758,0.033955505701632194,0.035644209624390064,0.035483328465798845,0.03584058180567667,0.026472720609866763,0.037167998399921465
cardiotocography-3clases,0.0269300148817965,0.03190483277757162,0.03061737920683345,0.026233611466192384,0.02809317817503382,0.03027686829343926,0.029901236159027664,0.030158053971119918,0.029076758932735987,0.031038538219693053
cardiotocography-10clases,0.027726025802539512,0.02047149337978878,0.02480022587981112,0.023259328768088953,0.024785567601470535,0.024360095716554418,0.024133925328073895,0.023901836566595787,0.026391748983619165,0.02653208867896681
chess-krvk,0.01569778135157657,0.013054018795745945,0.014514735123410567,0.01439832503206994,0.02104969415490129,0.016948737012606026,0.017008090951050214,0.017093271952174853,0.015354210627467547,0.015340377268620685
chess-krvkp,0.0032734612479379493,0.0039039094277771615,0.0034023929562430042,0.003161590129152589,0.0032551244389633434,0.003161590129152589,0.003161590129152589,0.003161590129152589,0.0035234522380765024,0.004108159694992032
congressional-voting,0.039957656911554104,0.044515960111334935,0.03431279402907324,0.034148211253367526,0.030839661646468935,0.01861605658566511,0.02449721373236329,0.02449721373236329,0.030690570010591046,0.02662306415867332
conn-bench-sonar-mines-rocks,0.057534776471330526,0.045030352884379295,0.04343269554616983,0.04889039487796583,0.047837568743790665,0.04937755959250385,0.04937755959250385,0.04937755959250385,0.04938613572083732,0.05226181867304868
conn-bench-vowel-deterding,0.011566915130796785,0.013653660697481688,0.014868915288075286,0.017071232620171843,0.016964416200231713,0.017964567612298653,0.018414344482805052,0.018920951584309148,0.018250062206551558,0.021008515690084793
connect-4,0.00490637572972756,0.004971991902715841,0.005308597029742676,0.0058335354254854515,0.008534369277516857,0.005318238707912057,0.005577369289092421,0.005577369289092421,0.007129947476808279,0.004144214411703356
contrac,0.020010722438763846,0.02972142555921228,0.025821191755939162,0.025572249601026786,0.02947398827153304,0.025497450009957148,0.027503756884589062,0.028401462140012938,0.024747694018002673,0.026665960130338312
credit-approval,0.07017552029320923,0.03192231585936178,0.03468698971688287,0.022906565449367342,0.028240899144383793,0.022906565449367342,0.022906565449367342,0.022906565449367342,0.02685826502665358,0.02814375111005474
cylinder-bands,0.04674332213853566,0.05187734065396413,0.04719962585475178,0.04522730207594232,0.039128678355055874,0.04407328520604826,0.046234808193022184,0.046234808193022184,0.05043189797015732,0.04453664254933129
dermatology,0.04922918584711183,0.02586429436784291,0.01929476584570161,0.022478581276655578,0.01985823039849967,0.024595996109874643,0.024947870869595906,0.024116860539684735,0.02417114289416118,0.028469290319803414
echocardiogram,0.09346285846201206,0.10907780963061511,0.08968413678453362,0.08468465977832333,0.08970917793163946,0.08342554789230226,0.08414541863347762,0.08414541863347762,0.09366681949271957,0.08800521884451935
ecoli,0.08471623182470256,0.09552386439220753,0.09860910065370694,0.12689407415437373,0.07087713084652847,0.07220774209957678,0.07403732945114584,0.06944846821859318,0.07976183169445714,0.07278630593468312
energy-y1,0.023644805018845704,0.027233406551459137,0.02527761353898282,0.026214301304547438,0.02949866316432597,0.026278189097265505,0.02563061855356052,0.026024747697133293,0.027269805856710908,0.028737837476682713
energy-y2,0.023012468762287273,0.026155671104672644,0.02324679843864382,0.026753196314805314,0.029782710453026797,0.027225833860393605,0.027088017576483374,0.026913286642372955,0.02920868040086863,0.024748907349601543
fertility,0.10490865687805725,0.10395417832143028,0.08477972782628038,0.08736044191681765,0.08673893536155172,0.022157388363534467,0.07763786824376613,0.07763786824376613,0.07970969592712983,0.10022122614242002
flags,0.08377812893384663,0.10247469355377162,0.09740526399744198,0.09057004582513113,0.046500960103274515,0.04305477641196289,0.043416983853877024,0.04071937265534197,0.05621153624732541,0.05142635351812322
glass,0.12109248363223826,0.07099069365946185,0.09357463804912039,0.08160476474292822,0.0864187675943509,0.09050473466630733,0.08021912663127644,0.0810446608641727,0.08198067325634678,0.0759265759656827
haberman-survival,0.0674523866834612,0.059272843168425744,0.04613847554887789,0.101935696073496,0.050200426650468366,0.040911622380840396,0.047540362953410395,0.047540362953410395,0.04642230208635573,0.07007254563385085
hayes-roth,0.14865104225607456,0.07707567921689075,0.09390389576544556,0.07190215363035962,0.07733222004557933,0.07641338533198026,0.07393265361307097,0.081324947688076,0.06473500328092387,0.0666196973060846
heart-cleveland,0.07954122413934202,0.08689321075485155,0.06250555235364758,0.06182600193057608,0.05534740449296495,0.046946038921890004,0.05367965087899317,0.060258970501743954,0.052727548291921104,0.05967640815162999
heart-hungarian,0.051526115044843286,0.06132883923771959,0.05144232464507385,0.04703002417892305,0.05461120336280462,0.045329648199736554,0.04532964819973656,0.04532964819973656,0.044807427937505855,0.0549926873215532
heart-switzerland,0.1026292638802291,0.09122262706356375,0.08958006543090578,0.09201069194908919,0.08176569568627191,0.07010588256426806,0.05716719585783236,0.06734624890355297,0.07988691820237083,0.07731260043784793
heart-va,0.08851510769596879,0.07196504412877666,0.07022801814826449,0.07809767626161639,0.09888513742772183,0.0605567668224447,0.08053151543969478,0.07587741590844196,0.082446980603915,0.06490581975067358
hepatitis,0.08565280205712962,0.09219935889213586,0.09656794301201475,0.07024935898322494,0.1022197189493845,0.08880087582088254,0.08948096686371441,0.08948096686371441,0.0863351232509707,0.08508538406940766
