folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,median ,mean,diff,abs(diff)
abalone,119.027146,158.312308,119.327931,109.120814,138.609496,102.754638,106.88041,43.671823,83.05627,140.639797,92.783165,135.421352,52.921615,96.843704,45.670156,60.796592,54.99591,86.746113,87.475739,124.335969,46.516549,109.691721,137.94603,103.711415,65.579583,106.801009,117.084994,84.206664,94.484527,38.770145,,,99.799171,95.47278617,4.326384833,4.326384833
acute-inflammation,1.311492,0.970765,0.956837,1.08415,5.768026,1.116599,0.94261,4.443281,0.940988,2.944138,3.422226,0.822703,0.87061,1.925215,0.935203,2.600705,3.177477,0.949567,1.23598,1.022581,0.878129,1.154955,1.14637,0.928739,1.200597,2.111467,1.17811,0.977446,1.103225,1.442073,,,1.1314845,1.652075467,-0.520590967,0.520590967
acute-nephritis,1.049438,0.896498,1.223189,7.301051,1.07438,0.905083,1.179619,1.941263,2.775565,5.033425,0.894401,1.033241,5.145168,2.757487,1.210555,0.913365,0.997482,12.325461,12.140684,5.382932,1.534297,1.415608,1.256347,0.948811,1.024187,1.023822,0.700871,0.901222,6.834708,0.819816,,,1.195087,2.754665867,-1.559578867,1.559578867
adult,1796.0495,2278.642673,1679.193837,1262.342399,1503.844512,1401.543793,2210.245934,1813.0578,2274.142258,1108.782163,1687.777904,1187.811632,1341.934965,1779.267767,1484.084176,1356.25545,2774.971754,1471.949206,1399.626295,2417.283126,1207.867363,1110.925696,980.720797,1025.057609,1198.72378,1403.951249,1021.542518,1850.916582,1004.355012,1174.309311,,,1402.747521,1540.239235,-137.4917144,137.4917144
annealing,60.511822,66.519264,15.521508,9.642522,18.722088,19.010391,15.325517,19.685568,17.782546,18.831919,14.599005,16.620134,12.267982,22.080746,19.227005,18.077441,19.204678,16.886259,42.665601,29.054847,32.256612,31.364942,17.643174,11.131316,17.057967,22.793312,16.484005,39.127037,8.559386,15.285062,,,18.3997645,22.79798853,-4.398224033,4.398224033
arrhythmia,124.273338,125.006028,125.426463,136.679689,121.095608,134.880462,128.846413,145.293508,130.319364,145.813226,147.021114,201.164403,156.719847,140.473782,205.793726,142.446173,161.059126,138.149792,137.671546,105.309858,131.708215,130.227975,116.644879,134.101932,117.240379,107.741063,131.389594,135.53543,145.358005,143.653675,,,135.207946,138.2348204,-3.026874433,3.026874433
audiology-std,6.428311,6.94045,7.461396,9.200554,5.345313,6.750217,10.704363,9.773387,8.621497,16.50555,6.901474,8.163947,10.532488,8.53243,6.595847,10.940696,6.588481,8.52593,6.302403,12.84505,12.010419,8.491502,8.388986,12.553467,29.067563,7.25618,8.187109,7.145754,18.168682,8.848056,,,8.508716,9.7925834,-1.2838674,1.2838674
balance-scale,2.893648,2.773699,2.923583,3.298566,3.334031,2.349048,2.647858,8.560336,14.107412,2.551097,9.946715,23.286617,7.73033,5.233675,3.031727,2.975292,3.876536,3.468688,3.444474,3.323342,3.145705,3.807455,2.846095,3.241729,2.767419,3.05863,5.559869,4.723377,20.581451,3.016777,,,3.310954,5.483506033,-2.172552033,2.172552033
balloons,0.569389,0.488566,0.534247,0.586522,0.396434,0.403268,0.370611,1.085248,0.355186,0.54482,0.487168,1.661631,1.000025,0.495938,0.744028,1.091765,0.77304,0.849448,0.470492,0.593183,0.513164,0.45771,0.770458,0.528283,0.430321,1.041922,0.564893,0.543382,0.376054,0.612455,,,0.544101,0.644655033,-0.100554033,0.100554033
bank,39.001718,43.76446,93.178491,44.563514,90.393433,48.75517,49.663302,112.392297,45.366268,92.231999,95.65017,45.479916,46.947583,51.118144,45.034827,41.531639,40.803444,44.612382,40.391923,42.804014,40.681069,42.457641,46.683024,42.411111,41.376318,40.974105,42.987776,49.3025,68.723985,42.989775,,,44.8236045,53.74239993,-8.918795433,8.918795433
