TRAINNLLSTDDEVS:,CAWPE-S(alpha=4),CAWPE-S(ConTie),CAWPE-S(RandTie)
abalone,0.012553164895866577,0.011782723242463093,0.013168529065762026
acute-inflammation,0.004820577279241528,0.005251134308353273,0.005136805435172407
acute-nephritis,0.004027602755253083,0.004423406245694518,0.004320072683114121
adult,0.003781574118817491,0.003919584866574367,0.0037626423108593344
annealing,0.035172407206305316,0.03663886984658205,0.034307133239753866
arrhythmia,0.138426496214226,0.14953359441735734,0.13484578509623327
audiology-std,0.1567603415030642,0.16123655198276038,0.15724863494056684
balance-scale,0.031150588157356912,0.04629257195109065,0.027882703166825555
balloons,0.8567323713289016,0.9696136877934456,0.9055839498983258
bank,0.008573655918808602,0.009497750372715615,0.008570303985106744
blood,0.02691612056396785,0.02742106657458199,0.026997722562536155
breast-cancer,0.03927793640804593,0.043589473875775615,0.04139553643272677
breast-cancer-wisc,0.02412122099082726,0.026899135423174982,0.02427970379946547
breast-cancer-wisc-diag,0.036293468094563644,0.03319539290466328,0.03693015127786406
breast-cancer-wisc-prog,0.09647789766116235,0.09885359207012694,0.09972169231138128
breast-tissue,0.16951702996922388,0.18731902303584802,0.17394528648783128
car,0.016116815843192467,0.02693530177254947,0.01634513423530749
cardiotocography-3clases,0.01660512321206274,0.016992670937623074,0.016362298653780284
cardiotocography-10clases,0.028907826072860143,0.0284410850181743,0.029209406790135107
chess-krvk,0.012087656925202419,0.008564659402939429,0.008564659402939429
chess-krvkp,0.005221469362049711,0.007987442321319264,0.00552487643511454
congressional-voting,0.023695249659364134,0.030270562192943995,0.023630185737194033
conn-bench-sonar-mines-rocks,0.10834994667839574,0.11186239137865055,0.1014896744346168
conn-bench-vowel-deterding,0.024505217355165795,0.03097978206430413,0.028287238678089795
connect-4,0.003336884746917966,0.004322482143007219,0.002840035796409363
contrac,0.020338524984464226,0.020501522021158722,0.0201300693687187
credit-approval,0.034554053887468045,0.042845224743868385,0.035258496138831
cylinder-bands,0.04799448634386337,0.053962710366971145,0.04765051724191118
dermatology,0.03352792199591413,0.04764206496718539,0.03347407425493988
echocardiogram,0.10782423279398984,0.11157436759180699,0.11301994215449862
ecoli,0.08204355226669828,0.18138269816600885,0.08293121831846686
energy-y1,0.030474516405202462,0.03653081480133814,0.029087950853789596
energy-y2,0.023907823825158665,0.024476926044395303,0.02385999150798113
fertility,0.09858578322015936,0.8809443451500374,0.10361358989845097
flags,0.20716168954152003,0.22671462538440024,0.1896816558118865
glass,0.12652318413619001,0.126636310478008,0.12446772541816922
haberman-survival,0.034928836167247956,0.03515043476257523,0.034890644118180165
hayes-roth,0.15025771851187866,0.15423319331805013,0.11074718676696409
heart-cleveland,0.08955665673487723,0.08986159141130451,0.09464406196282511
heart-hungarian,0.05349661206079092,0.05085604452538422,0.05467133825982115
heart-switzerland,0.2193993681381409,0.29789149348038974,0.20408353023463313
heart-va,0.150551085514751,0.1857797937194609,0.13814823063834236
hepatitis,0.0929508530874831,0.10185086675430761,0.0948914543345209
hill-valley,0.012854099996067292,0.02806222504683554,0.009165773976672958
horse-colic,0.050277787973017185,0.04898216734465993,0.050997174269518754
ilpd-indian-liver,0.022385441754311387,0.032565615988932296,0.022461616817854416
image-segmentation,0.020996053719599457,0.022023968361777023,0.02075956851109793
ionosphere,0.03949013241472121,0.039321883819569865,0.04055964848485252
iris,0.05026755235840774,0.0670935916643166,0.05020193714177221
led-display,0.05873132350447085,0.05955642760961241,0.05924993691319752
lenses,0.5902180842130833,0.6151969928426158,0.5940108357757142
