TRAINTESTDIFFSACC:,CAWPE-A,PB-A
abalone,-0.004163168517189649,-0.006380273111667952
acute-inflammation,0.0,-0.0011484671668055891
acute-nephritis,-0.001111111111111111,-2.2204460492503132E-17
adult,-9.24222515410796E-4,-9.046718415320453E-4
annealing,-0.004257936507936496,-0.004999338624338615
arrhythmia,0.0041428384906645795,5.953779866823217E-4
audiology-std,-0.07019444444444445,-0.053597222222222206
balance-scale,-0.022406201359875474,-0.004449974058600244
balloons,0.09841269841269841,-0.1470899470899471
bank,-8.2676107238423E-4,-9.019099022934666E-4
blood,0.0025846702317290655,-0.0024064171122994637
breast-cancer,0.022166797078768914,-0.008294209702660404
breast-cancer-wisc,0.003911311229362802,0.003510437986082656
breast-cancer-wisc-diag,0.0023713038464706552,0.0044349724075447095
breast-cancer-wisc-prog,0.0072517006802721,-0.00805442176870751
breast-tissue,-0.012369420702754031,-0.013485280151946825
car,-0.0040255237253207605,-9.149424979401077E-5
cardiotocography-3clases,-0.002214221995667139,3.3434575138410934E-4
cardiotocography-10clases,-0.005914073654524647,-0.0060868231323822535
chess-krvk,-0.015524643316566722,-0.006327485672061779
chess-krvkp,1.7793159965222202E-4,-2.2141264714990635E-4
congressional-voting,-0.006239518595245134,-0.011609520990994803
conn-bench-sonar-mines-rocks,-0.004274926799198675,-0.004028355678841141
conn-bench-vowel-deterding,-0.010774410774410773,-0.0063973063973064015
connect-4,-0.005610818807572667,-6.866262783267185E-4
contrac,-0.003854875283446724,-0.005683129620411857
credit-approval,-0.002616839180893497,-0.004008715329121304
cylinder-bands,-0.0067708333333333336,-0.022526041666666666
dermatology,0.0024347029781812248,0.0010869565217391168
echocardiogram,0.028811188811188833,-0.01814296814296813
ecoli,0.007384833451452877,0.0030403968816442397
energy-y1,-6.32961468470435E-5,-0.0032952426163914213
energy-y2,0.0031184655205543253,-2.7262554677694634E-4
fertility,0.010666666666666661,0.004666666666666652
flags,0.029230442176870753,0.006738945578231281
glass,-0.008393767292849892,-0.02694917722440661
haberman-survival,0.023795283663704717,0.016512873091820465
hayes-roth,-0.02095639943741207,-0.022779600979319657
heart-cleveland,0.021119825708061,0.017320261437908494
heart-hungarian,-0.012471655328798197,-0.016326530612244903
heart-switzerland,0.07220165697161995,0.009307244843997892
heart-va,0.02131213121312132,-0.014374770810414373
hepatitis,0.0074980574980575195,-0.012015762015761973
hill-valley,0.0037953795379538136,0.005500550055005491
horse-colic,9.057971014492645E-4,-0.007065217391304346
ilpd-indian-liver,0.008272136703855385,0.009931114563228665
image-segmentation,-0.0016161616161616155,-0.0015584415584415626
ionosphere,-0.004403679653679652,-0.009940476190476182
iris,0.006222222222222232,0.002222222222222218
