TRAINTESTDIFFSACCSTDDEVS:,CAWPE-A,PB-A
abalone,0.013227821523819468,0.01595437780911769
acute-inflammation,0.0,0.0061335621976729
acute-nephritis,0.006085806194501847,0.024759378423606936
adult,0.0031256840441935417,0.0028975190111139655
annealing,0.01578881918157495,0.013436127603411898
arrhythmia,0.0314538183428052,0.037034859197953976
audiology-std,0.05602233977868484,0.04736311736629986
balance-scale,0.019012284193772887,0.022337460492643974
balloons,0.31486073021710076,0.23602211238477439
bank,0.006608535675843155,0.006968519851484452
blood,0.023837555843054685,0.026934095364459006
breast-cancer,0.04942507684506989,0.058470165727651395
breast-cancer-wisc,0.014270760361783473,0.01567390593056491
breast-cancer-wisc-diag,0.012796037570328135,0.018774440366624175
breast-cancer-wisc-prog,0.044327212736709934,0.058583570533762445
breast-tissue,0.08548655638633465,0.07438160535005824
car,0.00791955895067908,0.007845539664280473
cardiotocography-3clases,0.010381330372344642,0.010579954292667074
cardiotocography-10clases,0.01702807889435897,0.01710094939574298
chess-krvk,0.00596157294682686,0.005274387860885565
chess-krvkp,0.003486006362557751,0.004076030181374012
congressional-voting,0.026374560754015314,0.023541643417673907
conn-bench-sonar-mines-rocks,0.04920341301994753,0.05126204944461713
conn-bench-vowel-deterding,0.018250062206551537,0.021008515690084786
connect-4,0.0027739182222248494,0.0026325861577811685
contrac,0.02429419580548884,0.027795112624295834
credit-approval,0.027625680591407766,0.02815242053560144
cylinder-bands,0.042765405079195074,0.04190472526679662
dermatology,0.021957461259702812,0.02279596381005792
echocardiogram,0.07734473148104037,0.08197260230422172
ecoli,0.03834448317028556,0.03838629611877613
energy-y1,0.019156456356111715,0.019960976102228915
energy-y2,0.023046331322705824,0.019582727932959565
fertility,0.04290593828632449,0.05817531964752711
flags,0.07387960909722373,0.07471378535884188
glass,0.05453069178932536,0.05494037927015369
haberman-survival,0.03555340099648851,0.05701719135007528
hayes-roth,0.06698565167143865,0.0687273704850323
heart-cleveland,0.04563362459676153,0.043205057320363435
heart-hungarian,0.03869222151263778,0.05393874312980884
heart-switzerland,0.1027467827184646,0.09421611457679284
heart-va,0.08135637958399233,0.07203535384331332
hepatitis,0.05487647189318535,0.057879001756354576
hill-valley,0.03949985843827416,0.03388304347500645
horse-colic,0.023714734715682657,0.03594133250240045
ilpd-indian-liver,0.03487633099952963,0.03006128195792645
image-segmentation,0.008536945306859745,0.009056082395982835
ionosphere,0.026257386403945787,0.025970660165002674
iris,0.03443838780022109,0.036064367034568716
led-display,0.033854747093008765,0.03507415406699484
lenses,0.19099720819438132,0.18749582757931663
letter,0.0032151973845144003,0.002927542198440416
libras,0.05133246531363219,0.04761071507708991
low-res-spect,0.026325879048119366,0.024650406102933568
lung-cancer,0.22281235196193014,0.23803883324966985
lymphography,0.06312538121174745,0.06727523229387651
magic,0.004585043859621509,0.005143335216367617
mammographic,0.027344361651379403,0.02993969344835279
miniboone,0.0013677378859063517,0.0011325472344614728
molec-biol-promoter,0.06165717298528581,0.08009896931652825
molec-biol-splice,0.00959881204751943,0.00852175857057925
monks-1,0.013230168005914901,0.013105927719396027
monks-2,0.04471807028013061,0.04928341849791259
monks-3,0.015792638026298163,0.013684627561267005
mushroom,0.0,0.0
musk-1,0.03134508438216197,0.03940866921316989
musk-2,0.004185466983238402,0.004621570747680937
nursery,0.0013268593254107234,6.029265455559984E-4
oocytes_merluccius_nucleus_4d,0.023388603506768753,0.02576384220995476
oocytes_merluccius_states_2f,0.015516117708537044,0.01701406285570186
oocytes_trisopterus_nucleus_2f,0.020262535967721134,0.02807060148886203
oocytes_trisopterus_states_5b,0.013547167501752349,0.017733582190511826
optical,0.00287979079370482,0.003200829071058671
ozone,0.0026278169783737313,0.0030608617701314875
page-blocks,0.004387274306674447,0.005102993809980352
parkinsons,0.04536179892816239,0.04959097680124057
pendigits,0.0015368205097549346,0.0017595380309683366
pima,0.028730879935105806,0.041394887097824476
pittsburg-bridges-MATERIAL,0.05872934977152378,0.06733162683194245
pittsburg-bridges-REL-L,0.08827575161854796,0.11493848821990331
pittsburg-bridges-SPAN,0.07432273205777853,0.08834781526559489
pittsburg-bridges-T-OR-D,0.07178572572230979,0.07586807477722225
pittsburg-bridges-TYPE,0.08763933914676761,0.08897272759231979
planning,0.04838866611493128,0.083487227546327
plant-margin,0.021652335556643105,0.026784849466060842
plant-shape,0.02403470461358052,0.024232804366627978
plant-texture,0.019410189320010495,0.02392456955550281
post-operative,0.09016013063249789,0.09980540168913171
primary-tumor,0.041853544459623214,0.04539329547034951
ringnorm,0.003385658511960109,0.004164297874974415
seeds,0.03673544683172576,0.036543377766309025
semeion,0.012945140563445106,0.018975931428988332
soybean,0.023382359010664575,0.026883960270982738
spambase,0.006043750757263527,0.00541170623371198
spect,0.05241558444974736,0.06162230611677758
spectf,0.042259786623080955,0.04872115658527182
statlog-australian-credit,0.0249296281213768,0.031811132205787414
statlog-german-credit,0.02593191793554987,0.02578924305735369
statlog-heart,0.057129126809913916,0.05050554071772104
statlog-image,0.007848068997150605,0.007783688874118872
statlog-landsat,0.0060744861032367235,0.006156398305206489
statlog-shuttle,2.3145945645827373E-4,1.0640992720528612E-4
statlog-vehicle,0.021774916924953883,0.027258279708181784
steel-plates,0.02013025692413845,0.018412183398520934
synthetic-control,0.011768303859705323,0.01968980391048133
