TRAINTrainTimesSTDDEVS:,CAWPE-A(alpha=4),CAWPE-A(ConTie),CAWPE-A(RandTie)
abalone,3.39099551381488,22.94994553370443,43.59954919096267
acute-inflammation,0.6149478998583783,1.714039391170097,24.909052963535768
acute-nephritis,0.49013251785356116,4.939170203470476,11.359132231709923
adult,13.737272061008362,31.45017954008289,47.07411617644142
annealing,0.9948141396330239,8.778500382497983,15.013748488574095
arrhythmia,2.0667037445691365,38.821859584636016,21.89903687589831
audiology-std,0.9222660747548281,10.276018281617542,15.7303425951541
balance-scale,1.0504514628777804,4.6064672179323125,8.487719323254323
balloons,0.5560534167675355,1.8705214713316294,7.455307451433664
bank,1.7406565018610831,4.1329903454281505,9.751863953866085
blood,0.9684683962230045,4.852893437181954,8.547433573281234
breast-cancer,0.6260623155792925,2.344962808812251,8.817693810624808
breast-cancer-wisc,1.0416609195243756,1.8754309849499513,8.123755430762955
breast-cancer-wisc-diag,0.9071871393197364,3.720245944162492,9.734167811811432
breast-cancer-wisc-prog,0.7497125886079554,7.270156285376066,7.807747404996519
breast-tissue,0.5560534167675354,1.9133529575668689,9.688540452098758
car,5.576634341133785,9.743609753806993,20.20174113356535
cardiotocography-3clases,1.70900253223113,12.12620417056413,17.520595434168786
cardiotocography-10clases,4.467507212042883,27.924137789095077,27.261631494173972
chess-krvk,38.52248186702672,40.77841721235423,170.28554787794516
chess-krvkp,1.9133529575668689,23.22741147175382,17.891627785855214
congressional-voting,0.7279320417946061,5.445234128358823,10.56566767096776
conn-bench-sonar-mines-rocks,0.5683207771559354,2.652259934210953,9.586928361174857
conn-bench-vowel-deterding,2.416656757807668,23.62885922988554,20.930756119264732
connect-4,14.543987974654561,50.817410357103974,138.33476387572188
contrac,1.2780193008453873,11.070100561276831,33.31633474618029
credit-approval,0.8583598366625748,6.048558296922034,32.51072325305578
cylinder-bands,0.7111590022187594,36.66294129455268,14.194907618538789
dermatology,0.8276819867946673,8.998658903912599,35.946400072342705
echocardiogram,0.7701320979389588,1.7356968854500254,8.035052517906603
ecoli,0.8866830868758715,13.391711281030622,48.1650538647379
energy-y1,0.889917986664224,44.73807553190963,38.69099512093578
energy-y2,1.0400044208570938,6.051977923093342,22.583688549609143
fertility,0.6617635789938568,2.426150633524581,10.135235000025759
flags,0.7497125886079554,22.002324851037322,11.237048739229358
glass,0.5713464637233658,7.7133262798127875,19.436900561773626
haberman-survival,0.6102571532587294,3.503036449684201,21.469598928739206
hayes-roth,0.5560534167675354,3.8781735243613675,10.697996374872332
heart-cleveland,0.8603661343041528,8.377926663107871,16.999695737642302
heart-hungarian,0.614947899858378,3.7356622456792192,10.670886377989135
heart-switzerland,0.6608945522512668,4.227577769018973,17.278017393713647
heart-va,0.6686751354593718,8.273764101894198,15.570713742047332
hepatitis,0.6260623155792924,3.092631212429305,12.924404430574642
hill-valley,1.0742546199601597,14.549795590458922,20.225851217470776
horse-colic,0.6989318615762461,5.644649587487008,9.828471426153337
ilpd-indian-liver,0.7768193328323317,6.138253898262945,47.59287351269518
image-segmentation,2.917249531251348,13.1334879505456,18.973090441979664
ionosphere,0.6477192523656046,4.8961631705962825,15.225658923513702
iris,0.6746646676632054,2.484202964295811,11.655791318669351
led-display,3.1813031378937175,11.758147089933251,20.383788916065452
lenses,0.651258728182957,2.1033634804841705,8.528249203837715
letter,28.183817807509623,51.51998830941539,185.38707874476376
libras,1.5465943304527225,33.786278926187784,41.32518922361779
low-res-spect,1.4605934866804429,31.8775675098466,23.39220815354657
lung-cancer,0.504006932993731,3.399797154192463,8.900535951833746
lymphography,0.6260623155792926,2.91961263372977,19.47931410909839
magic,12.221377539603187,31.215307179312692,45.44568565692002
mammographic,1.222866427231762,7.783049663786395,34.88373134634078
miniboone,25.013214898133942,76.59903813807429,117.64120886402225
molec-biol-promoter,2.923546893207223,1.2415229801920005,9.375254785809853
molec-biol-splice,3.1767835971291003,24.5162156049054,8.853598528087419
monks-1,0.7279320417946066,2.820287749238674,15.315832091129693
monks-2,0.8769067893689609,7.014680828550704,15.381583255577945
monks-3,0.6686751354593717,4.118363696934729,26.75379444567404
mushroom,4.370223172186134,16.27920893895526,41.73012638701041
musk-1,0.7760791522613609,6.7258294365227105,10.37038222951338
musk-2,2.7835724998765468,18.141081846866594,33.42896053273046
nursery,6.65366548361248,30.32892477752747,47.35117034808468
oocytes_merluccius_nucleus_4d,1.0283342182227606,10.639332793876246,27.864305845110966
oocytes_merluccius_states_2f,2.4541777657185158,30.30238411014256,32.6424200421307
oocytes_trisopterus_nucleus_2f,0.9714309861845771,14.731349010805525,26.923497407351782
oocytes_trisopterus_states_5b,1.1058881072455415,7.341348806510325,22.22975638565383
optical,5.735551562329287,32.54132651006229,33.92129158785829
ozone,1.715715058195719,9.291202117143358,39.76888693207407
page-blocks,3.4248919774894016,21.313316758880298,46.869395450390215
parkinsons,2.382889195816757,3.8291081161958913,8.99457052062936
pendigits,9.657585905247823,22.414486284595032,40.19619985469547
pima,0.7849152527649012,3.7910966478188675,28.830479561119652
pittsburg-bridges-MATERIAL,0.6686751354593718,2.5928726358514274,21.454817533651944
