TRAINTESTDIFFSNLLSTDDEVS:,SMLRE-A,SMM5-A,SMLR-A,ES-A,RC-A,WMV-A,NBC-A,MV-A,PB-A,CAWPE-A
abalone,0.05214589190892727,0.04778284738408986,0.04992268743431013,0.0657179913428943,0.07156596900605623,0.07179834020579136,0.08044355921364461,0.07172399446089374,0.0462470279784936,0.026446835686453916
acute-inflammation,0.0,0.04726074267906922,0.0,0.09649295014161752,0.01178423386955108,0.011763796213247938,1.3689757161964303E-4,0.011861349443261216,0.01682964003348307,0.021576840973465548
acute-nephritis,0.0,0.11155353450261243,0.04040975313149227,0.07798789647038547,0.022741067843594184,0.022627739238914864,0.04436993942712854,0.022856016219673685,0.05951787740015423,0.030917474941811643
adult,0.020040505194923283,0.018556573248220142,0.018570457749836,0.01541197868255238,0.019343459946264453,0.0189713464566221,0.03353740883174011,0.019001562499289488,0.007947088559379853,0.007649708450600539
annealing,0.07524511569640599,0.06347937652176151,0.049509665637896424,0.06063845338984979,0.06769776416788686,0.06998562554455748,0.26895683820445154,0.070238599335738,0.08005754128982254,0.049835542855056286
arrhythmia,0.12907767499517203,0.1267505469851494,0.09967686116656307,0.1577932969135256,0.14805419305026668,0.16742538367531493,0.3001531295462901,0.166379543413775,0.23800819817466953,0.12682884964212363
audiology-std,0.29093045487448166,0.21799754743874247,0.21187731301538548,0.18638787649738278,0.19470953349598377,0.22179996341988814,0.3268878817768406,0.2224025593527655,0.25565652033385716,0.15572661616243805
balance-scale,0.10265391692337644,0.09700044026027868,0.08856003015443055,0.06815787404134109,0.07129009458141959,0.08019908162479404,0.17072244310897855,0.07985476211272785,0.10517603565150037,0.041733812824377596
balloons,1.3458964802099849,1.6468356941841895,0.0,0.9559601374096557,1.0239496677171218,1.2152361027248089,0.7893374257150607,1.250632304658682,0.4733636415390263,0.47353286613306833
bank,0.047754169087633754,0.055792764139596634,0.049823202816550685,0.026042928141341244,0.030652445923640435,0.03305914420013471,0.191513397255843,0.03305644344174532,0.031644920287418464,0.01507518232668434
blood,0.14916016788266115,0.14913587627806346,0.16589348432222933,0.089881648761348,0.09785107048020796,0.11827066514311631,0.22179851274627818,0.11798559864474299,0.15913458402894468,0.04866066603698973
breast-cancer,0.6976448027534669,0.30251890329234654,0.28699714318314107,0.17624644384390667,0.22566003734678328,0.23165492993178505,0.28959586348858063,0.23297173898696494,0.3478968174933458,0.09794906000615823
breast-cancer-wisc,0.08100265203718335,0.092160490704118,0.07915359637641703,0.06562504261937883,0.0671234492704019,0.06708784243015578,0.15089166192154302,0.06712475111766876,0.11004633080869985,0.04735575432767427
breast-cancer-wisc-diag,0.08651468755922541,0.08752276603083475,0.08787879218053245,0.06172499584609319,0.06450265280284748,0.06459498930950226,0.14175550488506078,0.06465907693649066,0.09505618211484519,0.04946440624384469
breast-cancer-wisc-prog,0.379421309102443,0.3858119331431534,0.36039173284213744,0.14949390138332416,0.1749843114485279,0.19430441463021345,0.34956963721945483,0.19466176348857422,0.20949071146543607,0.1095227130410244
breast-tissue,0.3891595764290296,0.31561555582576795,0.2996328464350516,0.30296178540488,0.388251635107647,0.3828813145746602,0.5356012108376476,0.3828584998596584,0.36038080163928676,0.24317046422094335
car,0.029664173237325328,0.02619214071134704,0.022769044391131466,0.03171800028655805,0.026721418878465575,0.02671370502394013,0.08341259227085278,0.02671289283493749,0.023219011165755674,0.016306043237290204
cardiotocography-3clases,0.035147563642083865,0.055420454142734776,0.04236067504221352,0.04003399647646234,0.0502885208420462,0.04991923138175173,0.10995570516596215,0.04985901004079497,0.06504722391075873,0.026161459884621135
cardiotocography-10clases,0.06286900577676113,0.05909218118523601,0.05077231484125349,0.05491526766649047,0.07205927456436245,0.07134454488428749,0.19488341551781757,0.07126173734029916,0.08059994754083727,0.038281719709829874
chess-krvk,0.017284514633037474,0.018279218621108633,0.013825470748869702,0.033466433768443174,0.0321897519107363,0.03190874106760799,0.05679637896675526,0.03254273918061746,0.012668338938751763,0.015246912200913494
