TRAINBALACCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
abalone,0.007979172033904023,0.008227853585295826,0.008033525585921575
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.007302967433402219,0.008051557998728986
adult,0.0029903372500160934,0.0033598345472783736,0.0034627755031171126
annealing,0.046393634095711664,0.051516870563912416,0.047748449917108506
arrhythmia,0.04283208410311257,0.034568500733053065,0.03272417137231099
audiology-std,0.040957245255739884,0.039525727428184956,0.04005940487952764
balance-scale,0.05177487177820827,0.02856063456892723,0.02803259119550359
balloons,0.19680254576066833,0.2247151240419302,0.20514319983693313
bank,0.022346433135121958,0.018210951251763793,0.018067957829141158
blood,0.03244887777882164,0.03264896035383299,0.032785703521224195
breast-cancer,0.035182932903482976,0.0405725927878887,0.041515135359146284
breast-cancer-wisc,0.010040001542750981,0.01008483020937282,0.01030918628502358
breast-cancer-wisc-diag,0.008160769646264486,0.008739651612485182,0.00873547307286346
breast-cancer-wisc-prog,0.046705999980764655,0.048929670978896375,0.05374422635059054
breast-tissue,0.057184467396322804,0.06205276779179364,0.060838919874596435
car,0.01496212767108795,0.01206677931703681,0.012499588969728187
cardiotocography-3clases,0.016424596963596463,0.015899207035485335,0.01581878810239509
cardiotocography-10clases,0.018473707384408417,0.01676387093864688,0.01505498188258295
chess-krvk,0.007260607499346871,0.006667999378864784,0.0070742768692868335
chess-krvkp,0.0016193161544954394,0.001578019808893944,0.0015478412491095848
congressional-voting,0.021789786362116374,0.023308942942327392,0.02379892942869698
conn-bench-sonar-mines-rocks,0.021623863655316114,0.029339009497311875,0.029851839719601467
conn-bench-vowel-deterding,0.007735571951910915,0.007663985643464136,0.0077779059429941835
connect-4,0.0062879328256941576,0.00386002694366339,0.0040535508295125615
contrac,0.019469549449078073,0.017115953603850657,0.016542686564107904
credit-approval,0.015484651408625412,0.015937509009157327,0.01583423338906127
cylinder-bands,0.02560661004531451,0.029056470740916735,0.029277537417852828
dermatology,0.01290438056545502,0.014452869264274146,0.014848169136456642
echocardiogram,0.05057968112983262,0.05369680626913357,0.05360956959055086
ecoli,0.05238936302621924,0.05433169043499864,0.05190627601773205
energy-y1,0.01661331969087299,0.016297937415214563,0.016543814514511482
energy-y2,0.015982934262943893,0.01716479164267222,0.017670302326674416
fertility,0.06445678393006016,0.04955724191575236,0.0658825368785071
flags,0.03431661248024608,0.03814789702899923,0.03023374701030876
