TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
abalone,0.013032923566747182,0.014007231871047627,0.014422252000068908
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0
adult,0.006983668377628885,0.007034343893084207,0.006944577510216883
annealing,0.08937466912721893,0.08704699644768751,0.0917633017380501
arrhythmia,0.07253690267823158,0.07142977091556668,0.0551809931636812
audiology-std,0.08041913603964954,0.07480400711600586,0.07438587765402556
balance-scale,0.043695122758692584,0.02824117883796447,0.023947023894590094
balloons,0.3505584169631415,0.3611254049631983,0.3529156969367001
bank,0.018952762195686982,0.017715189050721964,0.018030603275377578
blood,0.03665012062537983,0.03689622251322518,0.03637305849101103
breast-cancer,0.044609985227361315,0.051755288480486335,0.054881770201794675
breast-cancer-wisc,0.017077408518052735,0.016194652392144415,0.016028497605889886
breast-cancer-wisc-diag,0.013408147755962387,0.015799890147479123,0.015879187152981148
breast-cancer-wisc-prog,0.07171038264361936,0.07347014244854272,0.08012370817633477
breast-tissue,0.08669293888711437,0.0841614082216751,0.09186379629370553
car,0.03518022263856132,0.04107319239745109,0.043747605188816124
cardiotocography-3clases,0.03417545513856477,0.03374046446992552,0.033897437828529
cardiotocography-10clases,0.02611175561549935,0.025754673273499746,0.025576984532069944
chess-krvk,0.016990666752586592,0.01742169567116522,0.016990666752586592
chess-krvkp,0.0038732973102027176,0.004391098326646165,0.0045399354798503384
congressional-voting,0.02958398296042136,0.02941035549049066,0.028322430810405013
conn-bench-sonar-mines-rocks,0.049123774279261886,0.051336929080296384,0.054912252507663524
conn-bench-vowel-deterding,0.008955347224104116,0.012531468141621385,0.01640948321402141
connect-4,0.005573039177454271,0.006480473526804039,0.00734389352752484
contrac,0.026399248875873506,0.027214466946719758,0.029058207266924183
credit-approval,0.020397247373558997,0.024120356486935456,0.023523686845585007
cylinder-bands,0.049749830407844475,0.04977481921118452,0.04930246036491141
