TRAINTESTDIFFSACCRANKS:,C4.5_cvFold4,Logistic_cvFold4,C4.5_cvFold1,Logistic_cvFold5,SVML_cvFold7,C4.5_cvFold7,SVML_cvFold1,Logistic_cvFold1,C4.5_cvFold6,C4.5_cvFold9,Logistic_cvFold9,SVML_cvFold4,MLP_cvFold4,Logistic_cvFold7,Logistic_cvFold8,MLP_cvFold7,MLP_cvFold1,MLP_cvFold5,C4.5_cvFold3,SVML_cvFold6,C4.5_cvFold0,MLP_cvFold9,Logistic_cvFold6,SVML_cvFold9,SVML_cvFold5,MLP_cvFold0,SVML_cvFold3,C4.5_cvFold5,NN_cvFold9,MLP_cvFold8,NN_cvFold1,Logistic_cvFold2,Logistic_cvFold0,C4.5_cvFold8,MLP_cvFold3,SVML_cvFold8,Logistic_cvFold3,SVML_cvFold0,NN_cvFold7,NN_cvFold4,NN_cvFold0,SVML_cvFold2,NN_cvFold8,MLP_cvFold6,MLP_cvFold2,SVML,C4.5_cvFold2,Logistic,NN_cvFold6,NN_cvFold2,NN_cvFold5,NN_cvFold3,MLP,C4.5,NN
bank,22.0,7.0,1.0,12.0,31.0,18.0,6.0,19.0,32.0,38.0,4.0,16.0,39.0,26.0,24.0,5.0,9.0,3.0,14.0,34.0,29.0,30.0,27.0,8.0,28.0,45.0,21.0,2.0,55.0,33.0,52.0,13.0,17.0,42.0,41.0,25.0,11.0,10.0,54.0,53.0,48.0,23.0,51.0,37.0,43.0,20.0,44.0,15.0,47.0,49.0,46.0,40.0,36.0,35.0,50.0
blood,5.0,6.0,8.0,19.0,10.0,1.0,37.0,30.0,16.0,17.0,14.0,4.0,22.0,11.0,33.0,21.0,9.0,34.0,2.0,31.0,48.0,47.0,43.0,7.0,18.0,45.0,12.0,3.0,39.0,50.0,13.0,40.0,28.0,38.0,26.0,25.0,15.0,32.0,29.0,49.0,52.0,42.0,55.0,36.0,51.0,20.0,54.0,24.0,23.0,53.0,35.0,44.0,46.0,27.0,41.0
breast-cancer-wisc-diag,3.0,1.0,50.0,38.0,40.0,54.0,29.0,41.0,21.0,5.0,2.0,24.0,22.0,55.0,4.0,47.0,26.0,51.0,49.0,45.0,16.0,36.0,15.0,19.0,31.0,18.0,32.0,14.0,12.0,13.0,11.0,17.0,53.0,8.0,39.0,23.0,48.0,28.0,42.0,7.0,33.0,37.0,9.0,52.0,44.0,34.0,46.0,30.0,20.0,6.0,10.0,27.0,43.0,35.0,25.0
breast-tissue,1.0,14.0,16.0,23.0,7.0,2.0,37.0,39.0,42.0,36.0,13.0,44.0,48.0,12.0,6.0,5.0,41.0,34.0,53.0,11.0,50.0,10.0,15.0,17.0,21.0,32.0,52.0,19.0,49.0,24.0,18.0,38.0,25.0,9.0,55.0,22.0,54.0,31.0,28.0,51.0,3.0,45.0,8.0,4.0,46.0,33.0,20.0,30.0,26.0,27.0,43.0,47.0,40.0,29.0,35.0
cardiotocography-10clases,6.0,20.0,10.0,38.0,11.0,16.0,31.0,24.0,47.0,28.0,49.0,12.0,29.0,9.0,15.0,39.0,19.0,35.0,5.0,25.0,4.0,54.0,46.0,42.0,8.0,52.0,7.0,3.0,34.0,40.0,13.0,18.0,53.0,36.0,21.0,48.0,22.0,32.0,1.0,17.0,41.0,23.0,27.0,44.0,51.0,33.0,26.0,43.0,55.0,37.0,14.0,2.0,50.0,30.0,45.0
conn-bench-sonar-mines-rocks,7.0,2.0,15.0,9.0,54.0,16.0,34.0,22.0,37.0,1.0,53.0,18.0,36.0,55.0,5.0,47.0,12.0,38.0,10.0,49.0,13.0,14.0,32.0,42.0,44.0,52.0,48.0,30.0,6.0,33.0,50.0,21.0,41.0,46.0,19.0,8.0,11.0,51.0,3.0,25.0,17.0,27.0,31.0,40.0,20.0,43.0,35.0,24.0,26.0,4.0,28.0,39.0,45.0,23.0,29.0
conn-bench-vowel-deterding,12.0,5.0,14.0,42.0,41.0,7.0,3.0,20.0,21.0,6.0,54.0,10.0,9.0,28.0,37.0,36.0,15.0,24.0,30.0,26.0,1.0,51.0,45.0,55.0,39.0,2.0,31.0,8.0,23.0,47.0,27.0,22.0,19.0,33.0,18.0,46.0,4.0,34.0,16.0,25.0,11.0,44.0,32.0,48.0,13.0,52.0,53.0,40.0,29.0,17.0,43.0,35.0,50.0,49.0,38.0
ecoli,46.0,49.0,20.0,52.0,31.0,12.0,29.0,23.0,9.0,1.0,26.0,50.0,55.0,30.0,15.0,17.0,28.0,51.0,42.0,5.0,4.0,18.0,25.0,19.0,54.0,7.0,14.0,36.0,13.0,6.0,32.0,44.0,16.0,11.0,41.0,21.0,35.0,3.0,24.0,53.0,2.0,43.0,22.0,10.0,45.0,34.0,47.0,40.0,8.0,39.0,48.0,37.0,38.0,27.0,33.0
glass,13.0,24.0,8.0,17.0,28.0,46.0,4.0,1.0,38.0,37.0,12.0,53.0,49.0,20.0,23.0,51.0,2.0,45.0,21.0,44.0,26.0,34.0,32.0,29.0,47.0,39.0,18.0,50.0,30.0,54.5,14.0,7.0,41.0,31.0,10.0,35.0,11.0,16.0,52.0,15.0,25.0,6.0,43.0,54.5,3.0,27.0,9.0,19.0,40.0,5.0,48.0,22.0,33.0,42.0,36.0
hill-valley,52.0,53.0,41.0,44.0,22.0,32.0,12.0,13.0,27.0,29.0,20.0,25.0,47.0,21.0,14.0,19.0,17.0,49.0,48.0,33.0,40.0,26.0,30.0,37.0,54.0,18.0,24.0,43.0,6.0,23.0,8.0,16.0,3.0,28.0,42.0,36.0,55.0,45.0,31.0,51.0,15.0,4.0,5.0,38.0,7.0,50.0,46.0,34.0,1.0,10.0,9.0,2.0,35.0,39.0,11.0
