TRAINTESTDIFFSNLLRANKS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,RC-S,CAWPE-S,WMV-S,NBC-S,PB-S,MV-S
abalone,2.0,3.0,4.0,1.0,9.0,5.0,7.0,10.0,6.0,8.0
acute-inflammation,2.0,2.0,2.0,10.0,7.0,9.0,6.0,4.0,5.0,8.0
acute-nephritis,2.0,2.0,2.0,10.0,6.5,8.0,5.0,4.0,9.0,6.5
adult,8.0,7.0,9.0,1.0,2.0,6.0,4.0,10.0,5.0,3.0
annealing,2.0,1.0,3.0,8.0,4.0,7.0,5.0,10.0,9.0,6.0
arrhythmia,1.0,2.0,3.0,9.0,5.0,8.0,6.0,4.0,10.0,7.0
audiology-std,2.0,3.0,1.0,9.0,5.0,8.0,6.0,4.0,10.0,7.0
balance-scale,2.0,1.0,3.0,4.0,7.0,6.0,8.0,10.0,5.0,9.0
balloons,1.0,2.0,4.0,5.0,6.0,7.0,8.0,3.0,10.0,9.0
bank,2.0,3.0,4.0,1.0,6.0,7.0,8.0,10.0,5.0,9.0
blood,2.0,3.0,4.0,1.0,7.0,9.0,5.0,10.0,8.0,6.0
breast-cancer,2.0,3.0,4.0,1.0,5.0,8.0,6.0,10.0,9.0,7.0
breast-cancer-wisc,1.0,2.0,3.0,4.0,5.0,9.0,6.0,10.0,8.0,7.0
breast-cancer-wisc-diag,2.0,1.0,3.0,9.0,6.0,5.0,7.0,4.0,10.0,8.0
breast-cancer-wisc-prog,1.0,2.0,3.0,4.0,7.0,6.0,8.0,10.0,5.0,9.0
breast-tissue,1.0,3.0,2.0,5.0,7.0,6.0,9.0,4.0,8.0,10.0
car,2.0,1.0,3.0,9.0,4.0,7.0,5.0,10.0,8.0,6.0
cardiotocography-3clases,2.0,1.0,4.0,3.0,6.0,5.0,7.0,10.0,9.0,8.0
cardiotocography-10clases,2.0,1.0,3.0,4.0,5.0,8.0,6.0,10.0,9.0,7.0
chess-krvk,4.0,1.0,5.0,2.0,7.0,9.0,8.0,10.0,3.0,6.0
chess-krvkp,2.0,1.0,3.0,9.0,5.0,7.0,4.0,10.0,8.0,6.0
congressional-voting,2.0,3.0,7.0,1.0,6.0,8.0,5.0,9.0,10.0,4.0
conn-bench-sonar-mines-rocks,1.0,2.0,3.0,5.0,7.0,6.0,8.0,4.0,10.0,9.0
conn-bench-vowel-deterding,1.0,2.0,3.0,9.0,6.0,5.0,7.0,4.0,10.0,8.0
connect-4,8.0,7.0,9.0,1.0,3.0,4.0,6.0,10.0,2.0,5.0
contrac,2.0,3.0,4.0,1.0,6.0,5.0,8.0,10.0,7.0,9.0
credit-approval,2.0,3.0,4.0,1.0,7.0,6.0,8.0,10.0,5.0,9.0
cylinder-bands,2.0,3.0,4.0,1.0,7.0,5.0,8.0,10.0,6.0,9.0
dermatology,1.0,2.0,3.0,9.0,6.0,5.0,7.0,4.0,10.0,8.0
echocardiogram,1.0,2.0,3.0,4.0,6.0,9.0,7.0,5.0,10.0,8.0
ecoli,1.0,3.0,2.0,6.0,5.0,9.0,7.0,4.0,10.0,8.0
energy-y1,3.0,1.0,5.0,4.0,6.0,9.0,7.0,2.0,10.0,8.0
energy-y2,3.0,1.0,4.0,2.0,5.0,8.0,6.0,10.0,9.0,7.0
fertility,1.0,2.0,3.0,4.0,5.0,8.0,6.0,10.0,9.0,7.0
flags,1.0,2.0,3.0,8.0,5.0,9.0,6.0,4.0,10.0,7.0
glass,1.0,2.0,3.0,5.0,6.0,7.0,8.0,4.0,10.0,9.0
haberman-survival,2.0,3.0,4.0,1.0,5.0,8.0,6.0,10.0,9.0,7.0
hayes-roth,1.0,2.0,4.0,3.0,8.0,7.0,9.0,5.0,6.0,10.0
heart-cleveland,1.0,2.0,3.0,4.0,6.0,7.0,8.0,5.0,9.0,10.0
heart-hungarian,1.0,3.0,4.0,2.0,7.0,5.0,9.0,8.0,6.0,10.0
heart-switzerland,1.0,2.0,3.0,4.0,6.0,7.0,8.0,5.0,10.0,9.0
heart-va,1.0,2.0,3.0,4.0,6.0,7.0,8.0,5.0,9.0,10.0
hepatitis,1.0,2.0,3.0,4.0,5.0,7.0,6.0,10.0,9.0,8.0
hill-valley,3.0,1.0,4.0,2.0,8.0,6.0,9.0,5.0,7.0,10.0
horse-colic,1.0,2.0,4.0,3.0,8.0,5.0,7.0,6.0,10.0,9.0
ilpd-indian-liver,2.0,3.0,4.0,1.0,6.0,5.0,8.0,10.0,7.0,9.0
image-segmentation,2.0,1.0,3.0,10.0,5.0,4.0,6.0,9.0,8.0,7.0
