TRAINTESTDIFFSNLLSTDDEVS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,RC-S,CAWPE-S,WMV-S,NBC-S,PB-S,MV-S
abalone,0.05409954031576373,0.05353077379357224,0.05215048490727715,0.06826995112496963,0.07039694521781933,0.025871344478596348,0.07274937404024977,0.10051556046035198,0.02545336210297988,0.07304199496185622
acute-inflammation,0.0,0.0,0.0,0.003954154629922873,0.004302277461309043,0.004654850268760545,0.004218037260523549,2.640698117700101E-7,1.2478880610452423E-6,0.004377652207274777
acute-nephritis,0.0,0.0,0.0,0.004791008008637422,0.005027993205231407,0.004644603304157217,0.004913119545176643,8.75697968032479E-7,0.018977426493095268,0.005027993205231407
adult,0.020965961125354104,0.02043759056696337,0.020490075509380194,0.021357834448640055,0.02160409368700075,0.007404063386113092,0.02153772471236923,0.03491987924843477,0.007101625782746324,0.021533629640657886
annealing,0.06632266156807469,0.06821115664420284,0.05277479235322661,0.0717061639972783,0.06655479199617226,0.058908155320283886,0.0685203920658021,0.2709613602503648,0.16600811986119157,0.06815602682668162
arrhythmia,0.09784097301741704,0.12686664062303307,0.13787016429201404,0.19639570255201513,0.14735261183007792,0.21925760151114138,0.17640376922741785,0.27731349808981637,0.47630079135965603,0.17732572940091426
audiology-std,0.4987011599313951,0.2660060133058752,0.2632749389545408,0.29863226917236213,0.32659878650044455,0.22650176707471695,0.254326022911124,0.30698923609079354,0.8492147733026876,0.25616839720160495
balance-scale,0.08569073457628365,0.09557127914227018,0.0999158765717521,0.10180089612923489,0.09287299249981182,0.038814985606190955,0.09972147554189587,0.20800809114337027,0.08319348564102325,0.09909380272676034
balloons,1.0961374678459537,1.7337660866186089,1.5536855838783659,1.8539082833444867,1.7890410743709133,1.509413828615494,1.9772773683703053,1.8108108248105321,11.964730850484278,2.0020001588861196
bank,0.037798248184533055,0.04274483614239901,0.03706099654645297,0.02600954528195302,0.02400940836568544,0.013117939742074097,0.026367502967983725,0.14223276616503677,0.014505646951656613,0.026354275870864138
blood,0.1329528983204365,0.172620195180379,0.15912148955243086,0.09233471709491453,0.11891721325423348,0.04409342428406492,0.1336101933502598,0.2227083906448593,0.053777940890581064,0.13358817351635469
breast-cancer,0.30577909305839296,0.29079569599332394,0.29584120715895296,0.16773253960043522,0.20112704331447948,0.0749204407482349,0.2159420437230712,0.2421356986394695,0.0942710438436449,0.21651957576574246
breast-cancer-wisc,0.08022396476049916,0.06855005190197283,0.07853137688061337,0.060766680640431885,0.0719172241298495,0.04822811511545741,0.07182170440120095,0.1603670970667189,0.05512304067937378,0.07182335089651841
breast-cancer-wisc-diag,0.09576259810020818,0.08652514502922909,0.08672440099129326,0.06606799942952647,0.06348161095671333,0.07166602528849969,0.06345007306034985,0.1805876108932256,0.10872494525772268,0.06362393151065569
breast-cancer-wisc-prog,0.345612481662297,0.3626664110924253,0.34464585323169505,0.20298650493641016,0.17442971132013801,0.1626535619187961,0.21240247031822193,0.29154751344586216,0.17539006843201663,0.21281067424859595
breast-tissue,0.3014738953296141,0.3067797839004953,0.28990186049654815,0.31295337197097084,0.3889398269608998,0.3024049211121596,0.3862296463097196,0.4686789719054048,0.44408734740273453,0.3859519095155085
car,0.03054211235808165,0.04575643045856698,0.02854407237309436,0.029428014040312193,0.03532184313630758,0.0215015689676225,0.03533182782808863,0.08465851864530374,0.04170906605153172,0.035512010636243686
cardiotocography-3clases,0.03881199498080508,0.05043523265476011,0.039804470600054515,0.041358009755791056,0.04581292449810509,0.03134993490915651,0.045080701412218656,0.10068313715015624,0.03384918667153569,0.045067145197913445
cardiotocography-10clases,0.15035159567915182,0.0700821234116658,0.047449879652825135,0.05701263577961104,0.0652728404500195,0.05238454586476139,0.06536409065700641,0.1709468479916995,0.05068249594487321,0.06541986370997512
chess-krvk,0.0171741785905658,0.04262956027830504,0.019127038886296382,0.05025921506687854,0.02578338522687493,0.019511480760647744,0.02505267245633223,0.04379310024397721,0.011119354696280207,0.024645883231635978
chess-krvkp,0.025113169906220985,0.01928870665509595,0.02465602068702468,0.015783909884426066,0.011548376244745891,0.009255997582746294,0.011529668722758532,0.036211972578643496,0.03349521307102255,0.011610937430250967
congressional-voting,0.2912430451538172,0.27275560104289515,0.20979097076035738,0.4725319426726428,0.3158291661167966,0.04459103873725271,0.4061149579882187,0.035359977871987094,1.2904896429507837,0.40843888932633954
conn-bench-sonar-mines-rocks,0.7678548946095675,0.4354904088327514,0.30403468534703626,0.18430696847556227,0.16512870090092313,0.16473841574994302,0.16485011816580114,0.26290870922021203,0.33759368222913405,0.1629625580551257
conn-bench-vowel-deterding,0.5614405238006709,0.05635489986409355,0.03279148523744166,0.05431997822794952,0.05055978173620736,0.04572100334492042,0.050603970435851894,0.10332492505288256,0.10909869319675848,0.053016781333049746
connect-4,0.01731602532905627,0.017431200804643186,0.017739390656518944,0.019571409891640166,0.01465222292116257,0.0034461842276202782,0.01498129149529528,0.015528001850048398,0.0017623320258831406,0.014935626735563586
contrac,0.09947605690334335,0.123829133243565,0.11251563853827166,0.1353993163373788,0.11309906589600205,0.03558542722826494,0.11075915452089623,0.09516948802870344,0.040472617412958316,0.11084055579124652
credit-approval,0.16253033712039214,0.1978061594104678,0.1677728233883383,0.11148074986610763,0.1382681507791018,0.0592263537005303,0.13830117762015806,0.2602443178320394,0.058647104628522496,0.13829363208780884
cylinder-bands,0.29768244022634066,0.3253122436289244,0.32446014720277194,0.14125327535614804,0.14907262981123057,0.086085114209739,0.1523765317079207,0.1474433861213847,0.0810656212665864,0.15242996891173963
