TRAINBALACC:,SMLRE-A,SMM5-A,SMLR-A,NBC-A,ES-A,CAWPE-A,WMV-A,MV-A,RC-A,PB-A
abalone,0.6630303258693274,0.6585708520714381,0.6571688139319625,0.6506556619410175,0.655366584672642,0.6514315901380574,0.6506207570994557,0.6497797001188957,0.6471504568424038,0.629498555412028
acute-inflammation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983333333333334
acute-nephritis,1.0,1.0,1.0,1.0,1.0,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9881904761904764
adult,0.7889633368900936,0.7923472252241662,0.792368411134396,0.8051942301826099,0.7825245219256665,0.7719832866387447,0.7711691795980209,0.7711691795980209,0.7489574477112934,0.7934562481565128
annealing,0.8804955462248695,0.8766506128235451,0.8604651455478521,0.8761145178964729,0.7978646978195851,0.7895811896263023,0.7881320581395769,0.8049152860506242,0.7849037890541649,0.8062417732643297
arrhythmia,0.856422657488231,0.576081257540274,0.6866753410523904,0.4961749452733059,0.37731018162165697,0.35949331542774154,0.34413173347599585,0.3250237831385373,0.31290326067375246,0.36951854338739587
audiology-std,0.9949999999999999,0.5384066917158705,0.9833779827258087,0.5891021730997577,0.35381557117064355,0.3456541664633453,0.34222413344394026,0.3376893736072479,0.34518937360724794,0.2954303502008816
balance-scale,0.9368055555555557,0.9521604938271603,0.9071759259259259,0.9135802469135803,0.7898148148148147,0.7247685185185185,0.7192901234567903,0.7229166666666667,0.663811728395062,0.6592592592592594
balloons,0.9666666666666667,0.8444444444444444,0.5,0.9041666666666667,0.6333333333333333,0.6875,0.7222222222222224,0.5902777777777778,0.6833333333333332,0.4347222222222222
bank,0.6640749999999999,0.6516865384615386,0.6471852564102565,0.5,0.6277384615384615,0.6260756410256411,0.6249487179487178,0.6249487179487178,0.5862596153846152,0.6597115384615384
blood,0.642221565148827,0.6272402917405875,0.6201826664038372,0.5665273671069058,0.594173073132269,0.6008016295420198,0.600588737762008,0.600588737762008,0.5484263092187397,0.596736316446547
breast-cancer,0.658222222222222,0.6525317460317462,0.6359841269841272,0.6443730158730159,0.633468253968254,0.6209444444444442,0.6202619047619048,0.6202619047619048,0.6003095238095238,0.5890317460317461
breast-cancer-wisc,0.9774617903930128,0.9785395439107231,0.9734206695778747,0.9686189956331877,0.9697367782629792,0.9672234352256186,0.9684139980591945,0.9684139980591945,0.9684139980591945,0.959200024260068
breast-cancer-wisc-diag,0.97874885167126,0.9795244152356724,0.9746413681011943,0.9751536993852026,0.9753268320260052,0.972189244576355,0.9696770546251148,0.9696770546251148,0.9696770546251148,0.9600611264221609
breast-cancer-wisc-prog,0.6820579710144926,0.6666280193236714,0.6438937198067632,0.6573429951690823,0.6317584541062801,0.6325410628019323,0.6125024154589372,0.6125024154589372,0.5841352657004832,0.5910531400966185
breast-tissue,0.8820145903479235,0.8586331569664905,0.8633423520923521,0.7501336780503446,0.6481230960397627,0.6441015311848645,0.645719696969697,0.6391434183100849,0.6606802148468813,0.631367243867244
car,0.9754106151758226,0.9804491185248204,0.9591776935464271,0.9579627702492844,0.9397813825082372,0.9375553622792093,0.9350374019270243,0.9343031163911844,0.9340554652473936,0.9210738062442606
cardiotocography-3clases,0.8989128591477874,0.9044062363137335,0.8848319948574741,0.8967874180194959,0.8756555355644142,0.8635363134175535,0.8630366418671827,0.8611743561518997,0.8605461619626416,0.8829297195897643
cardiotocography-10clases,0.863611558843114,0.8876459775073411,0.8367637096045607,0.8378546980233312,0.7984939426733554,0.791823343441292,0.7773789196411184,0.7749258938539961,0.7624689772947131,0.8037771785961507
chess-krvk,0.8210376430139674,0.9106873110535317,0.8111412463652484,0.8000163854306664,0.7734824200932048,0.775369562197106,0.7447150234052593,0.7366625150524168,0.7426129483958684,0.7225904130500628
chess-krvkp,0.9931016916479919,0.993905714222855,0.9920890024546548,0.9913979170529892,0.9923855149170308,0.9922549247626801,0.9913979170529892,0.9913979170529892,0.9913979170529892,0.9896248924844395
congressional-voting,0.5756161236424393,0.5443086883876357,0.5401106934001672,0.5197159565580618,0.5234022556390978,0.5182017543859648,0.5188074352548037,0.5188074352548037,0.508970342522974,0.5171365914786966
conn-bench-sonar-mines-rocks,0.8511237373737374,0.8489393939393939,0.8410101010101009,0.8310353535353535,0.8283017676767676,0.8230555555555557,0.8198295454545457,0.8198295454545457,0.8198295454545457,0.8020643939393938
conn-bench-vowel-deterding,0.9928619528619527,0.9882828282828284,0.9810101010101009,0.9657912457912458,0.9655892255892257,0.9587205387205388,0.963299663299663,0.962087542087542,0.9623569023569022,0.9202693602693605
connect-4,0.8206586396316868,0.8186841565503105,0.8162414398361159,0.8273133841209412,0.7859162135390328,0.7822110868349448,0.7810939820273257,0.7810939820273257,0.7354945751408121,0.79516189007073
contrac,0.5573940907462327,0.5376500147377737,0.5298426978803188,0.5317880054416909,0.5219559124052934,0.5106388887634964,0.5135047546248439,0.5087616474808105,0.5020753209750035,0.48760015040387183
credit-approval,0.8757388586615564,0.8837394061755012,0.8671474523491772,0.8650942750573177,0.8677126464314637,0.864353420251172,0.8650942750573177,0.8650942750573177,0.8650942750573177,0.8549036717653903
cylinder-bands,0.7585726495726495,0.7524358974358976,0.7492393162393164,0.7511794871794871,0.7386794871794873,0.7374871794871795,0.7331666666666666,0.7331666666666666,0.7276837606837606,0.7311581196581197
dermatology,0.9890740740740742,0.985632716049383,0.9864351851851854,0.9770216049382718,0.973611111111111,0.9689351851851851,0.9721604938271605,0.9714197530864198,0.9719753086419753,0.9592614638447973
echocardiogram,0.825559163059163,0.8322510822510822,0.8223665223665223,0.7928030303030303,0.7879148629148631,0.7813672438672438,0.7819444444444444,0.7819444444444444,0.7830266955266957,0.7167027417027418
ecoli,0.8892059896890274,0.7023555225534359,0.8414023599403839,0.7117789949988094,0.5985763601215134,0.5914711920007782,0.5480201537477626,0.536271270154866,0.5539034444820866,0.5237317598533969
energy-y1,0.9527777777777778,0.9530283224400873,0.9475671750181557,0.9370334059549746,0.9350714112805617,0.9329593318809005,0.935307431614621,0.935225127087872,0.9350435729847493,0.9284265311062697
energy-y2,0.9192912878641486,0.9178573512506261,0.905891549000128,0.8959558908038356,0.8969877037740943,0.8938151466445995,0.8925379219304967,0.892419718620804,0.8923063399359968,0.8912997615220758
fertility,0.6334595959595959,0.5797979797979799,0.5592171717171718,0.5257575757575758,0.5324494949494949,0.5267676767676768,0.5334595959595959,0.5334595959595959,0.5027777777777778,0.5358585858585858
flags,0.86553952991453,0.6593108974358974,0.7467877492877493,0.6093856837606839,0.40470670533170533,0.4041117216117216,0.3975045787545789,0.3849323361823363,0.3828301790801791,0.3985785510785511
glass,0.8537047479810639,0.7821087440824285,0.8044392230576441,0.7212820245057087,0.6203425229741019,0.6150045252018935,0.6154497354497355,0.6056390977443609,0.5924787663603455,0.6119092871066554
haberman-survival,0.6570833333333332,0.6361607142857143,0.6032440476190474,0.5741369047619048,0.5914880952380952,0.5858630952380952,0.5695238095238097,0.5695238095238097,0.5328571428571428,0.5757142857142858
hayes-roth,0.8976157407407406,0.9115046296296296,0.8441435185185185,0.7928472222222223,0.7688657407407409,0.7728240740740743,0.746736111111111,0.6988657407407407,0.741597222222222,0.7476388888888892
heart-cleveland,0.7165811148307563,0.6476509555945231,0.5251022902385887,0.5168018137697717,0.32574118355562653,0.3083709725986149,0.3213608587066263,0.30820465132755903,0.32550737729599516,0.31185309173353176
heart-hungarian,0.8175766091261875,0.8278569516927606,0.8072092867656898,0.7890137829519602,0.7984042553191486,0.785795530576743,0.7879733708015522,0.7879733708015522,0.7883279807306302,0.7697176502074135
heart-switzerland,0.5693611111111111,0.5494166666666666,0.45152777777777775,0.5514722222222223,0.2838611111111111,0.2916666666666667,0.2675555555555555,0.2657777777777777,0.2831944444444444,0.2542222222222222
heart-va,0.655304761904762,0.6500476190476191,0.4481841269841271,0.4671206349206349,0.30861587301587307,0.31124126984126993,0.2956539682539682,0.2882857142857143,0.30529206349206345,0.2652984126984127
hepatitis,0.7721653005464479,0.7490437158469944,0.743408469945355,0.7737875683060109,0.6967042349726774,0.6877561475409838,0.6775443989071039,0.6775443989071039,0.6378073770491801,0.6661372950819673
hill-valley,0.6716721672167216,0.6612211221122113,0.6607810781078107,0.6242024202420242,0.6138063806380639,0.6037953795379539,0.5777777777777778,0.5777777777777778,0.5788778877887787,0.5484048404840484
horse-colic,0.8484702501690332,0.8467292089249495,0.8350152129817443,0.8442359702501692,0.8275270453008788,0.8218390804597703,0.8259719405003382,0.8259719405003382,0.8259719405003382,0.8057133198106828
ilpd-indian-liver,0.6063861214087118,0.5738685511275873,0.5716597157862219,0.568623532591906,0.5713411337658324,0.5719203738029038,0.5514809236947791,0.5514809236947791,0.5194547420451036,0.6015697405004634
image-segmentation,0.9770562770562771,0.9796825396825397,0.9697546897546897,0.9645310245310246,0.9655411255411257,0.9638383838383839,0.9632034632034634,0.9616161616161617,0.9626839826839827,0.9628571428571426
ionosphere,0.9319775132275132,0.930737433862434,0.9226025132275132,0.921792328042328,0.9116402116402116,0.903753306878307,0.9118716931216931,0.9118716931216931,0.9118716931216931,0.8976521164021164
iris,0.984888888888889,0.9813333333333334,0.9746666666666669,0.9644444444444443,0.9604444444444443,0.9591111111111112,0.9639999999999999,0.9639999999999999,0.9639999999999999,0.9493333333333333
led-display,0.80034279181047,0.7958692144491581,0.7657399594460609,0.7159570664177984,0.721228021543885,0.7168470797732373,0.7143150873566703,0.7133875669352201,0.7136727599163455,0.7068702028329062
lenses,1.0,0.746825396825397,0.45,0.8261904761904763,0.49365079365079373,0.5333333333333332,0.44761904761904775,0.40634920634920646,0.4746031746031747,0.32063492063492066
letter,0.9599069463202189,0.9785831702380496,0.952383901508131,0.954637244222804,0.9559172129183753,0.9525270722676412,0.952390291612754,0.9496476263439715,0.9518622936078969,0.9481350175101204
libras,0.9649999999999997,0.9122222222222222,0.9368518518518516,0.8355555555555555,0.7929629629629633,0.788888888888889,0.7827777777777778,0.7742592592592594,0.7774074074074075,0.6527777777777778
low-res-spect,0.9342939885788483,0.6906753757242085,0.9172218316939456,0.8084976515679015,0.5080715990664989,0.49571453103093366,0.49539491271831504,0.4864608499557125,0.5097033259160658,0.4670439391396302
lung-cancer,0.9333333333333333,0.9131481481481479,0.7433333333333335,0.8092592592592595,0.4122222222222223,0.5175925925925926,0.5283333333333334,0.4362962962962963,0.5794444444444444,0.4109259259259259
lymphography,0.8091666666666668,0.5950000000000001,0.765,0.6334722222222222,0.4616666666666667,0.46493055555555557,0.46861111111111103,0.45506944444444436,0.46048611111111104,0.4419444444444445
magic,0.8571698540667271,0.85787686344987,0.8561046525914349,0.8543094064611149,0.8520412962658317,0.8442204779283007,0.8405465727317735,0.8405465727317735,0.8405465727317735,0.8543614989283724
mammographic,0.8370364550597106,0.8336895034569451,0.8270828968503386,0.8217525665200083,0.8267791046860815,0.8194252391926812,0.8213771911446329,0.8213771911446329,0.8213771911446329,0.7822648229624974
miniboone,0.9343790366861559,0.9332897366689574,0.9332410605569463,0.9305023987837729,0.9300939955916797,0.9214249391687404,0.9201207366236761,0.9201207366236761,0.9201207366236761,0.9324559559607362
molec-biol-promoter,0.9019230769230769,0.892948717948718,0.8737179487179486,0.8692307692307694,0.8448717948717951,0.8474358974358973,0.8596153846153847,0.8596153846153847,0.8596153846153847,0.8346153846153846
molec-biol-splice,0.960509684397037,0.9646054195231597,0.9593421960226703,0.9486692781954572,0.9572589707597292,0.9458290779360332,0.9420005833499084,0.9391407791396217,0.9418536920266202,0.9587691213886985
monks-1,0.9920863309352517,0.9934052757793767,0.9851318944844125,0.979736211031175,0.9832134292565947,0.9810551558752995,0.9741007194244605,0.9741007194244605,0.9741007194244605,0.9744604316546763
monks-2,0.7172900957731672,0.702601317497084,0.6969313160185961,0.6690059632349319,0.6351494094261821,0.6260690289619373,0.5907528789446881,0.5907528789446881,0.5446758004369754,0.6306490562318268
monks-3,0.9787759328877751,0.9806364870509605,0.9730663464216093,0.9707880813143972,0.9723797340573654,0.9672862712336397,0.9673541492620442,0.9673541492620442,0.9673541492620442,0.9698856516290725
mushroom,1.0,1.0,1.0,1.0,0.9999914879128362,1.0,1.0,1.0,1.0,1.0
musk-1,0.889257595517558,0.8925807853934213,0.8841339419407815,0.8687629812104524,0.8771796358015748,0.8778667342897165,0.8687629812104524,0.8687629812104524,0.8687629812104524,0.8326993672414627
musk-2,0.9784792425140407,0.9810446476448507,0.9728249089831512,0.9692650213078206,0.9633736206361302,0.9550854194300981,0.9416165250849018,0.9416165250849018,0.9416165250849018,0.9444909641671135
nursery,0.7994223174820945,0.7997090817740696,0.7981979459861457,0.7633634089625965,0.7969584035321252,0.793381927133323,0.7942625891812928,0.7942625891812928,0.7942625891812928,0.7979795812435998
oocytes_merluccius_nucleus_4d,0.8138436368699526,0.807873851294904,0.7979775828460038,0.8016795460874409,0.7935150375939849,0.785602896129212,0.7810950988582569,0.7810950988582569,0.7764759120022281,0.7528630604288502
oocytes_merluccius_states_2f,0.9264221824686939,0.924633052850107,0.9108571302369753,0.9181157563844902,0.9057386426378674,0.9048215140204808,0.903792044877316,0.9041307596604754,0.9037059122330439,0.8984369501682163
oocytes_trisopterus_nucleus_2f,0.8289900850232363,0.8254290768905788,0.8221588508660752,0.8150001980354875,0.8205963508660753,0.8194939533164342,0.8123141767004647,0.8123141767004647,0.8123141767004647,0.7932700940008449
