TRAINTESTDIFFSACC:,CAWPE,SVML,Logistic,MLP,NN,C4.5
abalone,-0.002754027552655647,-0.005351866838765684,-0.005176023213498286,-0.004917263319906247,-0.0045849868824170935,0.0010772237035067207
acute-inflammation,0.0,0.0,0.0,0.0,-5.649717514124279E-4,-0.005084745762711866
acute-nephritis,0.0,-0.001666666666666668,0.0,0.0,0.0,-0.006111111111111115
adult,-7.173896523663181E-4,-5.875374559348131E-4,-2.108432462211966E-4,-0.0012655896715351351,-4.694879213755628E-4,-0.0014462477307453203
annealing,-0.003917328042328042,-0.004975198412698408,-0.01361904761904762,-0.010452711640211639,-0.009448412698412694,-0.0050704365079365
arrhythmia,4.883144013578737E-4,-0.02900770335552944,0.006728032380206298,-0.009301475388431886,-0.004119336728032378,0.011103277190233721
audiology-std,-0.06265277777777781,-0.053236111111111116,-0.047888888888888884,-0.050541666666666644,-0.08851388888888886,-0.0721111111111111
balance-scale,-0.0018087299636820394,-0.007036604680374647,-0.003236189617978739,-0.007989609786734376,0.003134472024248369,0.002171226891674179
balloons,0.051322751322751325,0.03915343915343917,0.009523809523809523,0.030158730158730156,-0.017989417989418003,0.012169312169312158
bank,3.3641495722648666E-4,0.0010293236996708219,0.0010592984282674486,-0.0017659257461717741,-0.016644056784334612,-0.0017169746333559129
blood,0.0020499108734402787,0.0010695187165775445,0.0016042780748663128,-0.00855614973262033,-0.006149732620320851,5.347593582887648E-4
breast-cancer,0.011906624934793967,0.013941053729786127,0.005033907146583209,-0.007726917057902968,-0.013540036515388624,0.013875847678664576
breast-cancer-wisc,0.002760267430754504,0.0010443443853185741,6.535680174648266E-4,-0.0014648656024014292,0.003139309592031647,-0.0025438668303997807
breast-cancer-wisc-diag,0.0015394119100568427,-6.795156906350204E-4,1.3302034428793372E-4,-0.0024837328061938723,0.002331356560415132,-7.161683551602146E-4
breast-cancer-wisc-prog,3.1292517006800875E-4,0.004646258503401357,-0.017877551020408163,-0.019659863945578244,-0.046795918367346916,-0.012775510204081637
breast-tissue,-0.012440645773979115,-0.02739791073124408,-0.023884140550807228,-0.037511870845204194,-0.026685660018993352,-0.02253086419753086
car,-0.0011314654931825706,-0.0017962611939798718,-0.002786444204806012,-0.001236891517469411,0.0018856567469752986,-0.0024991460090154627
cardiotocography-10clases,-0.008926628671221388,-0.004214485468512141,-0.00769478565612941,-0.01203718125715363,-0.00828306606723543,-0.0025322430292517534
cardiotocography-3clases,-0.0013018067768290917,-0.003186579914947448,-0.004095160216926515,-0.0015572712383595626,-0.0035470620996936875,-1.865539555102491E-4
chess-krvk,-0.015464894789688884,-5.552746846747744E-4,-0.001043636331310636,-0.01660283787818374,-0.015732122789774743,-0.01536811629648083
chess-krvkp,4.956395597385995E-5,-0.0033774631373788186,-0.002332338529781915,-4.3222589154747376E-4,-0.008719992888479532,3.839411738368881E-4
congressional-voting,-0.008242788088896395,5.834355050099401E-4,-0.005537000239574952,-0.018288025479502236,-0.01513761467889907,-0.005182570216603932
conn-bench-sonar-mines-rocks,0.008398828787178262,-0.0047341655108645376,0.012263831098782577,-0.011064879026044087,0.006438588380335923,0.015728155339805854
conn-bench-vowel-deterding,-0.005387205387205388,-0.016161616161616165,-0.0039057239057239163,-0.011043771043771033,-0.0033670033670033703,-0.01090909090909092
connect-4,-0.0017476912751648273,2.3301724929399488E-5,3.318722995300227E-5,-0.001332471638490836,-0.004216076874907323,-0.002190852245322539
contrac,-0.0067651125490846694,-0.005103700016592006,-8.683148055971071E-5,-0.004958059104400566,-0.012761646664085696,-0.006079309772689556
credit-approval,-0.004100573553793078,0.0017671506026795643,-3.4278800914102253E-4,-0.008645315230541739,-7.091006855760251E-4,-0.013761370255858755
cylinder-bands,-0.017317708333333334,-0.009765625,-0.016145833333333335,-0.022265625,-0.003125,-0.016145833333333335
dermatology,-0.0017558528428093727,-0.004720098741837871,-0.001144688644688659,0.0032767956681000075,-0.005046583850931674,-0.004194537346711258
echocardiogram,0.020139860139860147,0.014156954156954178,0.012680652680652686,0.011484071484071516,-0.05076923076923077,-5.827505827505685E-4
ecoli,0.002579730687455728,0.001979683439640926,-0.007391920623671152,-0.00517363571934798,0.0023836522560831646,0.010399244034963385
energy-y1,0.004748115244198817,0.03002565754523984,0.003813818905202759,0.0066540074372972895,-0.00548393295129583,-0.001291241395680013
energy-y2,-0.0013572502345348052,0.014665717224464,0.002199088987600776,-0.0013023182213782402,-0.004264125778486064,9.019700925706512E-4
fertility,-7.401486830834377E-18,0.004666666666666664,-0.011333333333333325,-6.666666666666857E-4,-0.07666666666666666,-0.009333333333333338
flags,0.005945294784580503,-0.0016510770975056654,0.015873015873015876,-0.0013959750566893395,0.020471938775510203,-0.01980583900226757
glass,-0.007994757536041956,-0.00966360856269113,3.8153487694770894E-4,-0.023966797728265633,-0.02550167467598661,-0.029349060725207522
haberman-survival,0.010161768056504898,0.009301663249031663,0.01258259284575075,0.010936431989063577,0.015498974709501031,0.014618933697881064
hayes-roth,-0.0034380371933114312,-0.01327290722508723,-0.0032088347137573395,-0.05548783664114184,0.0035005469604625877,-0.017429806740636544
heart-cleveland,0.007368191721132888,0.0041089324618736375,-0.0013028322440087152,-0.002169934640522875,-0.012122004357298469,9.80392156862751E-4
heart-hungarian,-0.018367346938775515,-0.02811791383219956,-0.02108843537414967,-0.024263038548752832,-0.007936507936507953,-0.019274376417233566
heart-switzerland,0.041591750396615536,-0.0013925612550678664,0.011307949938304251,-0.004027851225101363,0.022043010752688174,0.0043187026264762856
heart-va,-0.0010701070107010584,-0.006864019735306859,-0.012857952461912854,-0.034946828016134926,-0.030739740640730737,-0.022815614894822808
hepatitis,0.0034798534798535044,0.0034132534132534365,-0.005994005994005969,0.008885558885558913,0.0107614607614608,-0.008519258519258496
hill-valley,5.500550055005493E-4,1.1001100110011505E-4,-0.0013201320132013175,-0.0016501650165016443,0.010396039603960388,-0.004950495049504955
horse-colic,0.0025362318840579674,0.0021739130434782444,0.007246376811594198,0.00634057971014493,-0.03351449275362318,-0.003804347826086951
ilpd-indian-liver,0.005528487815594171,-2.039887649264771E-4,-0.013327135213168258,0.007675469566445436,-0.011685025655510032,0.009359553735348133
image-segmentation,-0.002077922077922075,0.002366522366522365,-7.503607503607494E-4,-0.006897546897546899,-0.0017893217893217997,-0.002279942279942278
ionosphere,-0.00801948051948053,-0.004915584415584421,-0.011624458874458865,-0.008900432900432905,-0.08028571428571428,-0.008621212121212118
iris,0.0053333333333333306,-0.00355555555555556,8.888888888888872E-4,-3.7007434154171884E-18,8.888888888888946E-4,0.009333333333333324
led-display,0.006885774022870787,0.005810505205666505,0.004304275473630322,0.006837770950674175,0.005980116060761227,5.162997098481115E-4
