TRAINTESTDIFFSACCSTDDEVS:,CAWPE,SVML,Logistic,MLP,NN,C4.5
abalone,0.013977263260697566,0.013764900612224722,0.012647980398109455,0.012698763984516264,0.010587410886269256,0.018849787426409206
acute-inflammation,0.0,0.0,0.0,0.0,0.0030944777260178778,0.013464013371352286
acute-nephritis,0.0,0.006709631665607481,0.0,0.0,0.0,0.014831966444403733
adult,0.003428847527808582,0.0030909447407183877,0.0033365577543932306,0.004607726496000677,0.003743756446048268,0.003882845416491889
annealing,0.017699596502847154,0.021499770181336857,0.020966724648513863,0.024379901693294355,0.025278202111880994,0.023505714462442522
arrhythmia,0.0338076852044591,0.051993092487243646,0.045276893476495654,0.03634447411761097,0.025817967708797383,0.04559315231009299
audiology-std,0.05670061982864691,0.060107530890859746,0.05724005599418221,0.06333684484366865,0.0739150195598902,0.06061999409886656
balance-scale,0.013206381977699366,0.02476039975428193,0.020795849525997005,0.020012257872250683,0.01875465365117738,0.028887467551793295
balloons,0.3552172948526976,0.3579716305755876,0.3843942309275973,0.3533207879349514,0.33328728363680266,0.38839838895586454
bank,0.006107688523200574,0.005883812443914335,0.006927715852276936,0.010688436996113443,0.016907205741283914,0.009170713932371713
blood,0.023136410549611602,0.019793321415317373,0.01704995095680909,0.023440396218536694,0.023088056312457455,0.03278029593294924
breast-cancer,0.042062780856131854,0.05195105649702813,0.045283047269553116,0.063672550991939,0.044001338875909166,0.03997311083552774
breast-cancer-wisc,0.012838567925246647,0.012897162115540867,0.012457059906808217,0.01602545366828428,0.014289554199067437,0.018183423589030485
breast-cancer-wisc-diag,0.01320939705207321,0.011898394996746133,0.022010724513658073,0.018445854741706975,0.01607281075994742,0.025320226321108384
breast-cancer-wisc-prog,0.05655553538283684,0.05743387949975999,0.0878338615196838,0.07178692321191908,0.06882687478166925,0.05844511386459136
breast-tissue,0.07993653782003464,0.07381378063044235,0.1032547096530554,0.0724671474076801,0.08175261424928706,0.08471509788418825
car,0.01177018364017477,0.016823648946698938,0.01930022951865127,0.013128668511957441,0.00976524021614091,0.013929842997021715
cardiotocography-10clases,0.017724672534450574,0.012294103053404832,0.018640237008988644,0.020135271310918076,0.023734380118226348,0.01851257750423335
cardiotocography-3clases,0.011379227783200068,0.011410147239496937,0.008619574704187224,0.011723228478350998,0.012128530710440337,0.0112401030337561
chess-krvk,0.004935380021019883,0.006027909464428784,0.0058315646644114235,0.010008716807445864,0.0053342632048593575,0.005629631626742214
chess-krvkp,0.004412911063766856,0.00862208676152852,0.007207356026919993,0.0037872618541656446,0.006886652948217469,0.004023403260601399
congressional-voting,0.029507166386239295,0.029567280367564158,0.03330425154679303,0.037324051888771484,0.031099275742229624,0.021941086855767917
conn-bench-sonar-mines-rocks,0.04966623449513211,0.05235772368784148,0.0603211269972368,0.062015563116530455,0.05309662288198311,0.070663941567051
conn-bench-vowel-deterding,0.01233223182170539,0.025811302992063898,0.02841157606169113,0.026091845296756896,0.008803192450189644,0.029655688697876277
connect-4,0.0029260187097465266,5.405121257470446E-6,3.1804496273882304E-4,0.0054990345606876325,0.0025243730194218213,0.003964077786660824
contrac,0.025821253039509294,0.03308053849137969,0.03278339211722918,0.029827278644668408,0.027750440831524645,0.028770763950540245
credit-approval,0.0248255455358899,0.02406574754888433,0.024564261451178307,0.029817872076709644,0.02701153018631225,0.02975749453427427
cylinder-bands,0.04338531587192138,0.03672634390476394,0.030923900194973434,0.04412447017088127,0.03997321975290198,0.049450328105207185
dermatology,0.022115808923155737,0.021554883868853843,0.021812438841317953,0.023905010293360823,0.02321538371351959,0.027358043993874943
echocardiogram,0.07625056710391813,0.07284851191938346,0.07930556680624619,0.0969405924286391,0.08259231948660845,0.08346002567985807
ecoli,0.03454830007251063,0.03231149123513867,0.0317083041798826,0.03811806485607227,0.03402573442434001,0.04887587049417609
energy-y1,0.018002716017183427,0.08517895352697225,0.01745928524020894,0.02115260480033022,0.02827608016820997,0.02124375174004835
energy-y2,0.01980169281555462,0.09264111944405842,0.01950325634507792,0.0216754180278266,0.02565402568366134,0.020033113787869566
