TESTAvgPredTimes:,AdaBoost,LogitBoost,Bagging,XGBoost,CAWPE-S,RandF
abalone,4.445E-4,0.003689,0.1797535,0.085537,0.13899899999999998,0.44494049999999996
acute-inflammation,0.032008,3.255E-4,0.0642095,0.0253355,0.031268000000000004,0.08496000000000001
acute-nephritis,0.033840999999999996,6.72E-4,0.060968999999999995,0.022322500000000002,0.030724,0.050574
adult,0.0062144999999999995,0.016009000000000002,0.2258725,0.053991,2.1000170000000002,0.5060564999999999
annealing,6.225E-4,0.0067715,0.087475,0.084659,0.096375,0.18330649999999998
arrhythmia,0.0016120000000000002,0.11513899999999999,0.0814005,0.2246205,1.175253,0.201934
audiology-std,8.84E-4,0.13763,0.0843005,0.3312805,1.9469764999999999,0.267798
balance-scale,7.465E-4,0.026141,0.10314300000000001,0.097337,0.0556345,0.2054145
balloons,0.034046,5.815E-4,0.151754,0.0425605,0.1618435,0.164844
bank,0.006158,8.63E-4,0.0805515,0.06375600000000001,0.216883,0.1678685
blood,0.007217,9.84E-4,0.07344200000000001,0.064493,0.033838499999999994,0.250166
breast-cancer,0.013393,5.64E-4,0.0619805,0.06786400000000001,0.0360035,0.15080949999999999
breast-cancer-wisc,0.009418,9.11E-4,0.0499525,0.0318365,0.035098500000000005,0.065095
breast-cancer-wisc-diag,0.011502,0.0035310000000000003,0.040842,0.0267755,0.07199549999999999,0.0692815
breast-cancer-wisc-prog,0.031587000000000004,8.420000000000001E-4,0.0392985,0.039519,0.055171,0.106607
breast-tissue,4.7349999999999996E-4,0.001736,0.09479399999999999,0.077324,0.138476,0.1088455
car,6.774999999999999E-4,0.008779499999999999,0.0483765,0.112179,0.0830215,0.0917515
cardiotocography-3clases,4.75E-4,0.0069795,0.071145,0.079489,0.11197,0.12464650000000001
cardiotocography-10clases,1.22E-4,0.012159,0.09608900000000001,0.252857,0.309079,0.1868505
chess-krvk,1.18E-4,0.1266175,0.5882015,0.865184,1.0435525,0.5847359999999999
chess-krvkp,0.005797999999999999,0.008649,0.0660145,0.0563795,0.35218099999999997,0.264229
