TRAINTESTDIFFSACC:,CAWPE-S(ConTie),CAWPE-S(alpha=4),CAWPE-S(RandTie)
abalone,0.001533202042873431,-0.002674305662225862,-0.0032849973520288436
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0
adult,-6.081340980202558E-4,-7.010097477708717E-4,-7.146795472894837E-4
annealing,0.0018306878306878383,-0.004660383597883592,-0.005125661375661372
arrhythmia,0.02259955607781696,0.0021347434390912726,-0.0028424076250163225
audiology-std,-0.04454166666666669,-0.06425000000000002,-0.06748611111111114
balance-scale,0.0042933016575189146,-0.0014892411457906652,-6.447803173042647E-4
balloons,0.09735449735449733,0.04285714285714286,0.02275132275132275
bank,0.0024896181108680043,3.6582867893315184E-4,4.100373265281898E-4
blood,0.005525846702317276,0.0022281639928698658,0.0016042780748663054
breast-cancer,0.03044144496609286,0.01260758998435056,0.008848461137193541
breast-cancer-wisc,0.004766543866830379,0.003046527493518862,0.0028557784145176366
breast-cancer-wisc-diag,0.0051812041841693595,0.0015390000823655456,0.0017737418664031113
breast-cancer-wisc-prog,0.03240136054421768,3.265306122448797E-4,-0.00919727891156464
breast-tissue,0.01733143399810067,-0.01187084520417853,-0.024074074074074074
car,0.002540405495013361,-0.0010158585567663766,-9.855390859952054E-4
cardiotocography-3clases,7.395489665784146E-4,-0.0014586253770018432,-0.0012715404330034116
cardiotocography-10clases,-0.004677451709205042,-0.008801019505115215,-0.01028183888515228
chess-krvk,-0.015384242205846617,-0.015472038974073458,-0.015384242205846617
chess-krvkp,0.0011770950039349803,4.956395597386365E-5,-2.220653197332038E-4
congressional-voting,9.660508180780569E-4,-0.00824349272114882,-0.010243239053537941
conn-bench-sonar-mines-rocks,0.03172445677300044,0.010944675604869744,0.00715672676837722
conn-bench-vowel-deterding,-0.0021548821548821578,-0.005521885521885521,-0.005589225589225588
connect-4,-0.0020740141398728523,-0.0016509836638270547,-0.0014054499419030105
contrac,0.005422082111977589,-0.005679811219880916,-0.007180465682207843
credit-approval,0.005278487251870753,-0.004004234440112923,-0.004488170453017885
cylinder-bands,-0.001171875,-0.016666666666666666,-0.017578125
dermatology,9.81446090141728E-4,-0.0015746934225195168,-0.0022993311036789404
echocardiogram,0.037599067599067615,0.021165501165501165,0.014506604506604515
ecoli,0.009388140798488083,0.003961729270021275,0.0031585164186156535
energy-y1,0.0020677494828931072,0.0063056525719711355,0.007926259988923197
energy-y2,0.0025569382749539757,-0.0013572502345348052,-3.182891955737695E-4
fertility,0.017333333333333333,-0.0026666666666666726,-0.006000000000000009
flags,0.019203514739229023,0.007001133786848074,5.102040816326425E-4
glass,0.009019950487840378,-0.005830784913353737,-0.01903596912771225
haberman-survival,0.019810890863522442,0.008643768512189568,0.0073308270676691765
hayes-roth,0.010413085377923655,-0.0055269052456112765,-0.01621086628118975
heart-cleveland,0.02538997821350763,0.010448801742919404,0.006461873638344221
heart-hungarian,-0.006349206349206341,-0.019727891156462594,-0.01927437641723357
heart-switzerland,0.08034549621011808,0.0432487220165697,0.020430107526881725
heart-va,0.0264993165983265,-0.0034403440344034364,-0.02519251925192519
hepatitis,0.03197358197358199,0.0030747030747031003,-0.0025585525585525293
hill-valley,0.005335533553355342,4.950495049505029E-4,0.0024752475247524774
horse-colic,0.015942028985507242,0.0025362318840579713,0.004347826086956519
ilpd-indian-liver,0.013545246277205047,0.007701360448147632,0.005640289350217335
image-segmentation,-2.5974025974025985E-4,-0.001991341991341992,-0.0021933621933621877
ionosphere,9.393939393939325E-4,-0.007446969696969704,-0.007463203463203464
iris,0.010666666666666668,0.004888888888888887,0.0031111111111111014
led-display,0.009459805427547367,0.006821769926608623,0.006469747397166747
lenses,-0.017249417249417268,-0.04405594405594407,-0.06969696969696973
letter,-0.0036574964588399444,-0.0038191122046983125,-0.00421701939967285
libras,-1.851851851851734E-4,-0.012592592592592593,-0.017407407407407403
low-res-spect,0.001979060265577104,-0.006115934627170591,-0.005142719328112592
lung-cancer,0.059084967320261444,0.015424836601307187,-0.026666666666666675
lymphography,0.011226788432267865,-0.017394216133942167,-0.022417047184170494
magic,-0.0018576936558009145,-0.001650893796004212,-0.0017280056081317812
mammographic,-0.003687629937629951,-0.008481173481173514,-0.009106029106029126
miniboone,0.0029751150164864884,0.004637229872940988,0.005110793397504868
molec-biol-promoter,0.04938271604938271,0.014696106362773036,0.012013295346628679
molec-biol-splice,0.0018827128465245147,5.121807026977731E-4,-0.001130728326462338
monks-1,-0.03956834532374101,-0.04304556354916067,-0.03021582733812949
monks-2,0.0036832779623477306,-0.007221483942414179,-0.009573274270948683
monks-3,-2.406738868832766E-4,-0.010108303249097469,-0.016486161251504223
mushroom,1.477104874446115E-4,-0.0013211882488101123,-0.0015099294272115612
musk-1,8.844870504740181E-4,-0.008690099982934055,-0.008036297512490527
musk-2,-0.0021845624222822917,-0.0023081757539004616,-0.0021774874273358335
nursery,-0.0017644032921810752,-0.004279835390946515,-0.004840534979423879
oocytes_merluccius_nucleus_4d,0.006836192810457524,-3.712214052287647E-4,-0.0016858149509804022
oocytes_merluccius_states_2f,0.0017167075163398659,-0.0012885518790849684,-0.0022684334150326743
oocytes_trisopterus_nucleus_2f,0.002057213392005508,-0.004971585671804483,-0.006963714622357949
oocytes_trisopterus_states_5b,0.007161532850810748,0.0028395091414785208,0.004150495747869927
optical,1.6739489546252484E-4,-4.3824171910711676E-4,-5.096356230251583E-4
ozone,0.0018177995960998597,0.0013178482125624188,0.0011337276138812598
page-blocks,2.3283474195080108E-4,1.3002280406785675E-5,-1.8208089011982896E-4
parkinsons,0.009404586576898796,-0.007865207938845643,-0.010309278350515467
pendigits,1.1721840625938951E-4,-6.0080764730000937E-5,-4.2438578525128E-5
pima,0.005902777777777765,-0.004166666666666678,-0.005902777777777779
pittsburg-bridges-MATERIAL,0.03884140550807217,0.015764482431149102,0.013746438746438756
pittsburg-bridges-REL-L,0.06557232704402519,0.034943396226415145,0.01583647798742142
pittsburg-bridges-SPAN,-7.246376811594309E-4,-0.019565217391304353,-0.028985507246376798
pittsburg-bridges-T-OR-D,0.032026143790849664,0.009150326797385607,0.00522875816993463
pittsburg-bridges-TYPE,0.04978213507625271,0.011074800290486556,0.005301379811183728
planning,0.003663003663003676,-0.005860805860805858,-0.00879120879120879
plant-margin,-0.015291666666666667,-0.02141666666666666,-0.023374999999999993
plant-shape,-0.014458333333333325,-0.015291666666666667,-0.01670833333333333
plant-texture,-0.00966072173550272,-0.014126929495202344,-0.014041197329995833
post-operative,0.014074074074074072,-0.019999999999999997,-0.04592592592592594
primary-tumor,0.02006539069101061,0.0012171975068268374,-0.005746788631326314
ringnorm,0.007675675675675667,0.00542342342342342,0.003666666666666666
seeds,-0.002857142857142858,-0.010158730158730152,-0.013333333333333334
semeion,0.004201345102984459,0.0016390815468684372,0.001378415300546428
soybean,-0.0014977419539244142,-0.006098725204367457,-0.005906076716400839
spambase,-0.0023321870138377204,-0.003622325516946012,-0.00360802171708583
spect,0.020194425457583366,0.002726513252829055,4.5188729399256997E-4
spectf,0.01691355253806156,0.006390977443609006,0.0038791007369169037
statlog-australian-credit,0.008405797101449279,-0.003961352657004831,-0.0036714975845410615
statlog-german-credit,0.002200000000000002,-0.0028000000000000026,-0.004866666666666671
statlog-heart,0.018765432098765432,0.005185185185185178,9.876543209876446E-4
statlog-image,0.0011544011544011598,-3.4632034632036123E-4,-3.1746031746032E-4
statlog-landsat,-0.0019338014030499914,-0.0023502980592533048,-0.003149144383704346
statlog-shuttle,-5.973127257885568E-6,-4.047792329993453E-5,-3.818620707819094E-5
statlog-vehicle,0.005073921726430005,-0.0034580017288145712,-0.006488270887358808
steel-plates,0.005060157049607813,6.541256311924926E-4,-3.1182713501254713E-4
synthetic-control,3.333333333333299E-4,-0.0030000000000000027,-0.0021111111111111118
teaching,0.032789473684210535,-9.415204678362524E-4,-0.017748538011695913
thyroid,-6.944444444444346E-4,-9.351851851852019E-4,-0.0011481481481481538
tic-tac-toe,-9.742519137091121E-4,-0.0013221990257480795,-0.0013221990257480795
titanic,2.867090523766251E-4,1.3519390086147443E-4,1.3519390086147443E-4
trains,0.047222222222222235,0.022222222222222233,-0.0027777777777777753
twonorm,8.706599126364696E-4,1.2233991641148097E-4,2.211931011341317E-4
vertebral-column-2clases,0.0012903225806451682,-0.011182795698924722,-0.013548387096774188
vertebral-column-3clases,0.0070967741935483945,-0.0023655913978494684,-0.004731182795698926
wall-following,7.950837834486505E-5,0.0016213465326826734,0.00206894228773881
waveform,0.0030925338281387474,5.019627469807183E-4,7.406934518442432E-5
waveform-noise,0.00190237363771311,-0.0011534081845453014,-0.0016480482636877256
wine,-0.0035016835016834945,-0.008787878787878782,-0.009915824915824907
wine-quality-red,0.006120482229293593,-0.0030108041639679618,-0.005555399109509093
wine-quality-white,-0.007169204599775532,-0.008289197601417142,-0.008614505665074412
yeast,0.009453006511611014,0.0037725567836092637,0.001690778699070313
zoo,-0.002407116692830983,-0.012938252223966518,-0.014939822082679233
