TRAINBuildTimesSTDDEVS:,CAWPE,MLP,SVML,Logistic,C4.5,NN
abalone,2595.7162227519616,87.41138713624777,45.366117991213045,27.171216983694553,32.79677234619082,1.8384585945858891
acute-inflammation,478.2840669577506,3.7168092473253322,7.542919288440686,4.5860106545644115,1.195657548210729,0.5876909489424478
acute-nephritis,290.27177289269076,8.769326696415973,3.464758919955176,2.936043277053818,3.18609079498544,0.4474784140187703
adult,138631.75260064416,1485.4467642831148,4832.240497331656,117.28582116231881,468.62338693445747,3.1542974338625265
annealing,2521.006089238317,182.491906037557,66.31038244091893,198.96188529434468,13.588777479917415,0.2710527969176027
arrhythmia,110806.3841511141,4519.780521224579,204.72957938661006,6963.029098924769,21.787024620639322,0.15553812421099805
audiology-std,11864.475967683165,236.57091796904916,414.6947510070051,900.2986957213575,4.67712434197955,0.061683589243528694
balance-scale,967.7439519565951,7.312955626569573,32.78366727623178,5.6999276733321365,5.180135945273907,1.3866789579059333
balloons,129.63982809039726,3.6732206432161925,2.787353476637069,2.803758801813953,0.2884120728449539,0.6592972601871633
bank,3429.2526708711507,187.10081311748175,126.8227490562034,16.88858336880285,20.553772188739433,2.396633348563843
blood,955.0083093054656,8.319818893246609,12.116008764922418,7.3755544036353164,5.68793839890546,0.8617021972375107
breast-cancer,405.4904228629924,5.812703974672037,10.794314649278064,3.2672537895312717,5.410151587136413,0.06333032736861614
breast-cancer-wisc,868.3614555940791,14.538419874559315,14.419877987697376,7.820797823561689,7.418717951621465,3.312924709821417
breast-cancer-wisc-diag,1820.0140740226193,67.60772099655577,12.561112186148119,24.603006389116107,3.008276479268779,0.16804719595142545
breast-cancer-wisc-prog,1116.5731583945728,44.686284419277094,6.661999827012148,89.41097112204507,6.659765643319219,0.0642341078784759
breast-tissue,805.3997066185805,4.494525543511843,38.26734684165334,36.29418165750199,1.842240832941296,0.06999200732826734
car,1592.308611611077,77.74591459389218,54.82085819386526,40.62013566993827,13.831530216860413,0.646965406887226
cardiotocography-10clases,1117581.6379224514,225.59543382942718,140.2786424749974,68410.94833488343,28.628695691150195,2.0581782148840486
cardiotocography-3clases,2763.960445803238,148.63951300912382,39.58822829164943,37.419364325662485,17.014545453366416,0.4433338043852861
chess-krvk,63101.74864639903,3348.240151523864,1071.1139068378598,940.508173028383,144.75987564567353,1.2112293844526807
chess-krvkp,8047.737307303685,599.8035773257983,74.93714386321224,26.85681588987451,14.955631785663043,1.6058795066962832
congressional-voting,727.6092424491048,32.45990910328825,11.647480638208398,6.207751285806465,7.97902106104747,0.5333780827685315
conn-bench-sonar-mines-rocks,1790.4013668424918,183.53511278418847,10.243950197635202,9.21490273489052,4.541597885845144,0.057414087768225236
conn-bench-vowel-deterding,2568799.665001251,134.13824241346788,143.49671916348063,187143.35063428132,10.589020859204764,0.9791423210932453
connect-4,687176.2886781087,11016.797975474532,67187.48426611551,556.6754704368635,3347.9229396040396,4.887594960682121
contrac,1310.992304884857,38.0208637443269,26.681374105594927,3.0204544722263784,13.416722138726957,0.18768161659217994
credit-approval,1324.9984205679277,33.41105974843642,69.92334948706291,6.386588151492997,5.601496062274778,0.1660376534389078
cylinder-bands,1560.99175346174,101.74126445552186,38.0402100574079,16.924306467013984,6.527632470507842,0.5441187985220933
dermatology,1385.9511344738708,90.98742439578115,38.659834873784234,35.58797009975112,3.6069588256435265,1.1569185265672743
echocardiogram,253.7830211379553,4.254935779556818,7.012268143721526,7.0693463692870155,2.4947878822324436,0.39590693756561646
ecoli,1041.2302673878871,18.35692712127044,60.19170343648812,56.88570476379113,3.540420692134767,0.9142993089704787
energy-y1,1037.503769535278,40.24926506501811,41.40264738667805,17.5342742350188,8.85246633896684,0.141657412347922
energy-y2,772.1778399248706,46.98044101482265,31.94241179073979,21.106202011244513,5.257014976898744,0.48335849842482226
fertility,313.19831238470016,5.36079622996514,6.350078286064285,2.551904913819566,1.6055461981584818,0.0753535735328542
flags,1622.4534258151364,42.419649901951466,81.10184861662749,63.882825381862695,14.08139406547228,0.7046172222638397
glass,1087.6045849716927,14.389954853637365,20.998558095015223,20.806727311082074,2.66872755047228,0.08770903603450615
haberman-survival,552.4555973458084,15.656594915024222,4.874887518342052,3.2255839245668936,3.853606976995506,0.3462740554058983
hayes-roth,568.1781619353986,6.0115763748007405,14.13749827458738,5.340362233140756,1.4772264548282397,1.3889521330307195
heart-cleveland,1024.5634775034564,15.01824871447332,27.814840949132275,18.023680322033137,9.572655032209044,0.8019707754501938
heart-hungarian,658.4628248555337,26.391527144903904,8.14729424262144,5.712034329395098,7.808288495685143,0.07238663064029174
heart-switzerland,790.8062213135618,7.88002993690462,58.45496419467268,18.50103112751347,3.7025996112834365,0.21930521516004114
heart-va,904.4095397358193,8.431060739301733,26.13593751280716,17.700078426584774,3.991510832623738,0.18413162109835782
hepatitis,799.6143888381133,19.317084012148328,6.665078206868158,12.343855270304552,4.741749608810947,0.1372668996106599
hill-valley,23959.128109865647,2096.6673888314,35.66039521438073,21.88089684161449,10.509454066204722,0.7279866572849183
horse-colic,863.5615214583547,39.370577931650146,6.387539641838766,8.28231536546459,4.342490656920206,0.09988299527653664
ilpd-indian-liver,683.5739165840156,15.154351585108376,11.993715270661987,5.191914186182605,3.3087106079224893,0.1067763733002539
image-segmentation,215123.88831000827,190.5047091810941,55.29969846207064,30473.151022943166,18.15145086757484,0.6382508764918375
ionosphere,1197.2373072412697,109.61003605333701,15.235004933897738,20.339139293189255,7.037171425075056,0.6126314656626621
iris,709.3246933522778,17.79224003671292,10.4449128708082,11.962011240822175,2.6915469294892764,0.34049978659888996
led-display,1685.4563005557263,62.321748259169745,85.55070294109973,33.05928862218652,6.459635462542854,0.24895579242890384
lenses,202.8167329481543,2.903015737192764,18.39031735159744,3.915676140796056,1.821851560563267,0.09253453227131622
letter,104806.2301411637,6566.607639506383,1320.682388587162,2514.324315589497,52.22497289169409,1.4475149983102038
libras,18147.849684362252,689.6312008532857,380.1923408810093,2275.8061167651763,21.415212369466136,0.5425063869419895
low-res-spect,15207.536847196721,751.5243203910284,85.9579801210219,831.2029250615515,7.60289443324969,0.09985037460525222
lung-cancer,541.8422479631574,28.24717460162048,13.892215186387675,4.964738558570371,9.722846125570092,0.07368205231188905
lymphography,877.6184582537711,18.040089530160575,24.168140768379292,20.615868170545532,5.258034102327808,0.0857128294794584
magic,11366.963171589945,414.7074691601137,307.43810755366866,31.068910427074965,28.556360192819614,0.9208447154191496
mammographic,908.8963989723159,54.0417751417169,11.985262500777887,2.190550646881299,9.63060565226721,0.23283449860239758
miniboone,763481.7604042323,25372.42049012909,18677.438330888253,3479.938071210755,5831.392503610357,6.957095372118997
