Group,Classifier,Sections Presented In,Error,Balanced Error ,AUC,NLL
,CAWPE-A,"5.1, 5.2, 5.4",0.174,0.243,0.893,0.651
CAWPE,CAWPE-S,"5.1, 5.2, 5.3, 5.4",0.184,0.258,0.884,0.706
,C4.5,5.1,0.23,0.301,0.736,1.161
,Logistic,5.1,0.238,0.309,0.841,8.134
,MLP1,5.1,0.213,0.287,0.86,1.297
Simple Components,NN,5.1,0.216,0.303,0.798,1.116
,SVML,5.1,0.229,0.306,0.849,1.073
,MLP2,5.1,0.204,0.276,0.858,1.26
,RandF,"5.1, 5.3",0.185,0.259,0.886,0.713
,RotF,5.1,0.187,0.265,0.868,0.704
Advanced components ,SVMQ,5.1,0.216,0.281,0.863,1.454
,XGBoost,"5.1, 5.3",0.193,0.261,0.876,0.843
,ES-S,5.2,0.19,0.266,0.813,0.884
,MV-S,5.2,0.195,0.273,0.808,0.877
,NBC-S,5.2,0.193,0.26,0.82,0.999
,PB-S,5.2,0.229,0.306,0.847,0.95
Hetero Ensembles on,RC-S,5.2,0.195,0.288,0.811,0.912
simple components ,SMLR-S,5.2,0.195,0.272,0.737,1.144
,SMLRE-S,5.2,0.214,0.288,0.734,1.251
,SMM5-S,5.2,0.195,0.271,0.744,1.046
,WMV-S,5.2,0.192,0.27,0.814,0.872
,ES-A,5.2,0.176,0.246,0.817,0.847
,MV-A,5.2,0.176,0.249,0.815,0.833
,NBC-A,5.2,0.183,0.249,0.821,1.031
,PB-A,5.2,0.193,0.261,0.876,0.843
Hetero Ensembles on,RC-A,5.2,0.177,0.262,0.813,0.87
advanced components ,SMLR-A,5.2,0.19,0.263,0.752,1.141
,SMLRE-A,5.2,0.203,0.275,0.747,1.232
,SMM5-A,5.2,0.188,0.261,0.757,1.019
,WMV-A,5.2,0.175,0.248,0.817,0.837
,AdaBoost,5.3,0.353,0.469,0.775,3.258
,Bagging,5.3,0.206,0.303,0.868,0.775
Homogeneous ensembles,LogitBoost,5.3,0.241,0.302,0.836,8.246
(XGBoost & RandF repeated),RandF,"5.1, 5.3",0.185,0.259,0.886,0.713
,XGBoost,"5.1, 5.3",0.193,0.261,0.876,0.843
,TunedMLP,5.4,0.227,0.318,0.857,1.009
,TunedRandF,5.4,0.188,0.271,0.879,0.719
Tuned Classifiers ,TunedSVM,5.4,0.188,0.255,0.857,0.955
(on 117 datasets),TunedXGBoost,5.4,0.194,0.267,0.869,0.86
,CAWPE-T,5.4,0.175,0.244,0.891,0.653
,,,,,,
CAWPE,CAWPE-S,5.5,0.241,0.267,0.88,1.071
(on 85 UCR datasets),CAWPE-A,5.5,0.226,0.254,0.903,0.906
,DTW,5.5,0.224,0.246,-,-
,C4.5,5.5,0.36,0.384,0.685,2.168
,Logistic,5.5,-,-,-,-
Simple Components,MLP1,5.5,0.275,0.301,0.842,3.323
(on 85 UCR datasets),NN,5.5,0.27,0.301,0.78,1.654
,SVML,5.5,0.312,0.337,0.823,4.733
,MLP2,5.5,0.276,0.304,0.858,1.538
,RandF,5.5,0.245,0.28,0.893,1.036
Advanced components ,RotF,5.5,0.251,0.279,0.881,1.019
(on 85 UCR datasets),SVMQ,5.5,0.276,0.295,0.856,5.755
,XGBoost,5.5,0.267,0.297,0.881,1.156
