TRAINAUROC:,CAWPE-A,PB-A
abalone,0.8378968245726829,0.8191898179059706
acute-inflammation,1.0,1.0
acute-nephritis,1.0,0.9997333333333333
adult,0.9173580192473154,0.9248879718493658
annealing,0.9783467976450113,0.9773593996332226
arrhythmia,0.880218315946605,0.8691531201245681
audiology-std,0.9349385434935865,0.9100967516174322
balance-scale,0.9901636268823764,0.9706303630782794
balloons,0.7194444444444446,0.43333333333333335
bank,0.8927153846153828,0.8903448076923056
blood,0.7159603127669366,0.6594007490636706
breast-cancer,0.6857063492063494,0.619777777777778
breast-cancer-wisc,0.991988112566715,0.9877559437166423
breast-cancer-wisc-diag,0.9939191576567025,0.9906119708854499
breast-cancer-wisc-prog,0.7254685990338164,0.6667826086956521
breast-tissue,0.9093117038210629,0.8893444792849217
car,0.9986314827857192,0.9986385629145117
cardiotocography-3clases,0.9859402486561142,0.9831734229864568
cardiotocography-10clases,0.9862708211869546,0.9837230936479965
chess-krvk,0.978536920250897,0.9651057731049673
chess-krvkp,0.9990604109111129,0.9992411313413224
congressional-voting,0.5786370688626319,0.5632384532760462
conn-bench-sonar-mines-rocks,0.9130429292929295,0.8884974747474749
conn-bench-vowel-deterding,0.9986053123830901,0.9957943883277218
connect-4,0.9306159146591422,0.9313706791001517
contrac,0.7229527529378575,0.6912828155763202
credit-approval,0.9229351310041145,0.9192918819651157
cylinder-bands,0.8283931623931609,0.8203354700854683
dermatology,0.9987988883237288,0.997418449109871
echocardiogram,0.8361111111111114,0.803463203463204
ecoli,0.9665012491219047,0.9614277654722507
energy-y1,0.9933819562777396,0.9924048435555561
energy-y2,0.9858397150442976,0.9848969412464473
fertility,0.6268939393939394,0.5823232323232322
flags,0.8779837319804903,0.8781790897381191
glass,0.9003420625021731,0.8810579829683706
haberman-survival,0.6898586309523813,0.6358556547619049
hayes-roth,0.9053542171649162,0.9178469229733369
heart-cleveland,0.8214636000973093,0.7955549103079812
heart-hungarian,0.8669677505687139,0.8369998661849323
heart-switzerland,0.619289144532789,0.5783777519742823
heart-va,0.6197352485897746,0.5847004446662546
hepatitis,0.8506830601092902,0.8076844262295086
hill-valley,0.6493597214506939,0.55979696979599
horse-colic,0.8898242055442854,0.8749239350912771
ilpd-indian-liver,0.7300007723200503,0.7034599938214404
image-segmentation,0.9976845802906413,0.9978229335199035
ionosphere,0.9711640211640209,0.960615079365079
iris,0.9957066666666667,0.9860888888888889
led-display,0.9432665331837948,0.9412046814588618
lenses,0.7851851851851849,0.6955387205387207
letter,0.9992709455059497,0.99923848361651
libras,0.9771263227513228,0.9428516313932981
low-res-spect,0.9846442884533213,0.9781693906174749
lung-cancer,0.6711582491582492,0.5596835016835016
lymphography,0.9055354730964621,0.8961247554145174
magic,0.9336095933169755,0.9333561341947946
mammographic,0.8835800917196234,0.8448343692529706
miniboone,0.9808954537023349,0.9846109845986324
molec-biol-promoter,0.9276134122287966,0.9136094674556213
molec-biol-splice,0.9898127755884288,0.9930903585330826
monks-1,0.9980867104877247,0.9932715697945238
monks-2,0.7450561004057625,0.7181607609284902
monks-3,0.9933984266221095,0.993281815650236
mushroom,1.0,1.0
musk-1,0.9442037385886102,0.9104815727189293
musk-2,0.9978558829339879,0.9975757062625235
nursery,0.9998265037009022,0.9998479439043231
oocytes_merluccius_nucleus_4d,0.8871588693957063,0.8450785528636359
