TRAINAUROCSTDDEVS:,CAWPE-A,PB-A
abalone,0.004857455280627363,0.006170650330864792
acute-inflammation,0.0,0.0
acute-nephritis,0.0,0.0010258676376803586
adult,0.0018594086975890053,0.001702579037771016
annealing,0.005906346639895234,0.007136643296546397
arrhythmia,0.017878997687974723,0.019472201725630682
audiology-std,0.006909446855855628,0.013717226415863582
balance-scale,0.0024132416653202373,0.005575857013065225
balloons,0.23921500506078713,0.33433756772968587
bank,0.008946474657322885,0.009890935278373992
blood,0.03733113726431112,0.04734244500585477
breast-cancer,0.05277873603502259,0.06925609581786946
breast-cancer-wisc,0.0029684320229894194,0.004513604359860682
breast-cancer-wisc-diag,0.003603715020555161,0.005367962461867174
breast-cancer-wisc-prog,0.057291911031775514,0.06550333671049133
breast-tissue,0.01928276704719561,0.027871854542885224
car,4.0280514425781127E-4,8.334568645364739E-4
cardiotocography-3clases,0.001677185574310816,0.002903616522483933
cardiotocography-10clases,0.0013998793880567336,0.002140184513776053
chess-krvk,5.435676181388045E-4,4.3861274149684825E-4
chess-krvkp,4.517616288956088E-4,2.9261925269060324E-4
congressional-voting,0.03868446922592225,0.03923258494592328
conn-bench-sonar-mines-rocks,0.017353304821720313,0.02565778415796522
conn-bench-vowel-deterding,4.4812083727770456E-4,9.440636461748737E-4
connect-4,0.001267800743483698,0.0010226264347545568
contrac,0.01141600217648033,0.014251649668321915
credit-approval,0.012360735090755897,0.01634824963161008
cylinder-bands,0.020731632562178005,0.0272370782426632
dermatology,9.051148305930078E-4,0.0018729790787270246
echocardiogram,0.05794579666472701,0.05982843517943828
ecoli,0.007270569551313028,0.009282920041571508
energy-y1,0.002041824256689333,0.0020930512142891184
energy-y2,0.0024561213208530003,0.0033289432582052536
fertility,0.13188073528694236,0.16177370902015353
flags,0.023747917996574483,0.0236983959940759
glass,0.014581140239003499,0.017788346055731485
haberman-survival,0.059704010476796285,0.061539770359640984
hayes-roth,0.021458537120277326,0.01635027854387072
heart-cleveland,0.022100673824241086,0.02849798034291713
heart-hungarian,0.02628431264341063,0.03925016486195006
heart-switzerland,0.06566409934286116,0.06180923765529326
heart-va,0.04071615928457351,0.047220671251891416
hepatitis,0.03716577783135878,0.05141230107730815
hill-valley,0.023720962807238066,0.025117949014929492
horse-colic,0.018343191412830286,0.021167187308044177
ilpd-indian-liver,0.03005095792859601,0.03441036094754749
image-segmentation,3.9104930451371267E-4,5.748134610530512E-4
ionosphere,0.00778066461616476,0.011977400414882718
iris,0.0038404022777792893,0.016467363132307757
led-display,0.005593016064208084,0.005508156945056568
lenses,0.20290204317087052,0.19950176495169153
letter,5.413367024346998E-5,6.024927290234505E-5
libras,0.005131364499077358,0.006678138804867033
low-res-spect,0.004225331889718114,0.005424937136736355
lung-cancer,0.12639457314015715,0.14435126593523365
lymphography,0.025536812513900813,0.025585487128826325
magic,0.0019887114755652523,0.0024708059723127155
mammographic,0.01281127518192787,0.018917560441533643
miniboone,3.39086139922765E-4,2.9949691441299905E-4
molec-biol-promoter,0.02931660159925706,0.038648643193838886
molec-biol-splice,0.001671630523211606,0.001415200180603028
monks-1,0.0017531949664295607,0.004044898742969356
monks-2,0.025729626668367332,0.025506728106734725
monks-3,0.0032391957194377193,0.002708580754436093
mushroom,0.0,0.0
musk-1,0.012561548328490785,0.014522295217683848
musk-2,6.984142315637806E-4,5.29520029375217E-4
nursery,1.2729559872091132E-5,1.7085073661894923E-5
oocytes_merluccius_nucleus_4d,0.011467649063177652,0.01920025235172031
oocytes_merluccius_states_2f,0.00335615984256489,0.004282163686294354
oocytes_trisopterus_nucleus_2f,0.010116857458685154,0.013450537820193387
oocytes_trisopterus_states_5b,0.004954328851309463,0.005774299192081643
optical,6.370359627903562E-5,9.235838717780468E-5
ozone,0.023576129558834612,0.02563469585838948
page-blocks,0.0013669849238306538,0.002059963304635088
parkinsons,0.015541931176006602,0.019041243858376602
pendigits,1.4402364566331737E-4,1.1176649919076063E-4
pima,0.018941508242898496,0.026159201715742823
pittsburg-bridges-MATERIAL,0.04029003749105006,0.053265861021442144
pittsburg-bridges-REL-L,0.05477264669849338,0.07170421967497957
pittsburg-bridges-SPAN,0.04693765006602411,0.049405242612228006
pittsburg-bridges-T-OR-D,0.10105369041853132,0.11500039679029422
pittsburg-bridges-TYPE,0.045873080370157034,0.05057910511912713
planning,0.1025137420242707,0.08924614577407403
plant-margin,4.0590480369085454E-4,9.349670821508679E-4
plant-shape,0.0020795944264859656,0.0028591698865898336
plant-texture,0.0010203816212606387,0.0012349840606382596
post-operative,0.09620328913588284,0.1284713300121492
primary-tumor,0.018287307802893196,0.018536411358187968
ringnorm,4.125581327597597E-4,3.8967469167328913E-4
seeds,0.004170278298966257,0.0053492754754343955
semeion,7.445480830598233E-4,0.0013147590219967586
soybean,0.0015706841581767273,0.002958483692986644
spambase,0.0013337581196636054,0.0017197099988690357
spect,0.04336232998774679,0.05391822521825255
spectf,0.035884276223228644,0.04280136164997277
statlog-australian-credit,0.03197203558689017,0.03764151438468814
statlog-german-credit,0.020736659141373525,0.028272989207585548
statlog-heart,0.024787130055247627,0.02719636637972
statlog-image,3.226582484301887E-4,2.8865755641215566E-4
statlog-landsat,5.010219156169582E-4,5.775536410966758E-4
statlog-shuttle,2.5517877900938045E-6,3.9409586869320706E-7
statlog-vehicle,0.004920855793733557,0.00831137341701613
steel-plates,0.0041080234906965135,0.0048256577614828175
synthetic-control,2.1477910479598007E-4,7.339753372271631E-4
teaching,0.05127650208751919,0.060210666800682676
thyroid,2.019288088088221E-4,5.82466447459424E-4
tic-tac-toe,7.33925404323635E-4,7.922238007758455E-4
titanic,0.011906557895759689,0.012274061127561764
trains,0.2043000385392192,0.0
twonorm,3.298342738297733E-4,4.22384614105222E-4
vertebral-column-2clases,0.023163378226401535,0.032414571555644145
vertebral-column-3clases,0.010353537545558573,0.014125070887447725
wall-following,1.631272847771258E-4,7.349948236929263E-5
waveform,0.0013956625780236719,0.001958646301150226
waveform-noise,0.001701637796320068,0.0018825892064497645
wine,0.0013942472070724,0.0026142810263646774
wine-quality-red,0.011029487132416032,0.013418350094767195
wine-quality-white,0.005708279689604864,0.007259471749778747
yeast,0.008949797953387014,0.011765349263424936
zoo,0.004523570082275762,0.0034449659418085018
