TRAINBALACCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
Adiac,0.01754379307135475,0.018495884105637482,0.020772188480838522
ArrowHead,0.054140667369401714,0.054296068048563795,0.05466236004591915
Beef,0.06341696434345429,0.0640182764453197,0.07201709744493566
BeetleFly,0.08354570639758374,0.09071871393197362,0.09773292248741483
BirdChicken,0.07427813527082078,0.08874929172454957,0.10063019815944518
Car,0.044813047960235455,0.04868171349997521,0.04799411073168567
CBF,0.05842380322532973,0.06368212976337312,0.06264907013167748
ChlorineConcentration,0.018874336897650723,0.02451366065383488,0.02306634686895285
CinCECGtorso,0.05345119118372897,0.0608793619540589,0.07299187855469252
Coffee,0.015506160194832305,0.017294078503982218,0.01860108784864956
Computers,0.026795436221469696,0.031954277680288204,0.02961701902778121
CricketX,0.024226789822671443,0.024002510283782624,0.025661598337018844
CricketY,0.022421549282509428,0.02049957087613012,0.02520627820925626
CricketZ,0.03263074310734278,0.03368973795672135,0.03532678235025743
DiatomSizeReduction,0.018169768444118897,0.023538032049129538,0.023538032049129538
DistalPhalanxOutlineAgeGroup,0.03225630491586198,0.03187979269456737,0.030514710377338466
DistalPhalanxOutlineCorrect,0.01852548416585609,0.016855149670959153,0.01661640616910245
DistalPhalanxTW,0.02793410560289263,0.019508148529713838,0.01894781153581144
Earthquakes,0.0126863751969824,0.017109866700936012,0.020408918374997923
ECG200,0.03705328090596875,0.04636297032991435,0.048008480147594644
ECG5000,0.03834508690793404,0.03487408260806214,0.034597034275943246
ECGFiveDays,0.06148255033439356,0.0716921286549675,0.06961514974362916
ElectricDevices,0.006403595113410307,0.005974520387592408,0.005930900902157059
FaceAll,0.013385123656648722,0.01383685224116026,0.011987958468913916
FaceFour,0.07908864500771957,0.09120989470141473,0.09882342336424012
FacesUCR,0.03907973563966822,0.04056001249308219,0.040040264754723914
FiftyWords,0.023924312743572193,0.02241775064950337,0.020850532224843225
Fish,0.021793406255272412,0.023719991984803436,0.024803827944090442
FordA,0.007836794248993707,0.007791359891135687,0.00835973625639778
FordB,0.010617873566638599,0.011067138178993989,0.010193210546895122
GunPoint,0.03321908236677013,0.03386954928052627,0.02986625285847538
Ham,0.03848062754068707,0.03816592632901983,0.03951554721959832
HandOutlines,0.007364885883113997,0.007589680170211315,0.008245574343280949
Haptics,0.03875622463730101,0.0395328248775285,0.035972179888446955
Herring,0.05937733132492229,0.06865780961524133,0.06156006104874706
InlineSkate,0.05812506985971379,0.05614474038171575,0.06664677264125457
InsectWingbeatSound,0.02959023212447957,0.029883723874344712,0.033572335909004054
ItalyPowerDemand,0.019849663061215803,0.0213882399683677,0.022420001903313926
LargeKitchenAppliances,0.025721169181460272,0.028814073473573395,0.031198781781895436
Lightning2,0.06147726427703583,0.0629452530780318,0.070227718681902
Lightning7,0.06566942954333332,0.06545009336545927,0.05811211338759958
Mallat,0.05292825421985564,0.0559634348197205,0.052171342905860243
Meat,0.006780635036208081,0.007496274085146703,0.007496274085146703
MedicalImages,0.03606629462033168,0.03571887995647109,0.032822865543116635
MiddlePhalanxOutlineAgeGroup,0.023274749901005507,0.02618893800832629,0.02872253441491326
MiddlePhalanxOutlineCorrect,0.013272799216884077,0.012003246120908997,0.011323951716678719
MiddlePhalanxTW,0.0213107938639445,0.021744913571327528,0.022023076238713756
MoteStrain,0.07233780906752464,0.0803905695847524,0.08570196955850488
NonInvasiveFetalECGThorax1,0.005323099323748883,0.005402632721737077,0.005221449104410713
NonInvasiveFetalECGThorax2,0.004141174765972391,0.00474129512452918,0.00561858572591022
OliveOil,0.06207330925918635,0.062340997245093496,0.07439671126566579
OSULeaf,0.04278997900387438,0.0446843428574054,0.041030862191536906
PhalangesOutlinesCorrect,0.010170200769054975,0.007520070477286801,0.0075490427432737305
Phoneme,0.014357463419732711,0.013404680897638707,0.011992264622909803
Plane,0.012154098047586446,0.01331258551264791,0.014040552377814066
ProximalPhalanxOutlineAgeGroup,0.015760630344077466,0.01502237370595979,0.01651025216400552
ProximalPhalanxOutlineCorrect,0.012051771135978549,0.015587955879092183,0.016025794580494055
ProximalPhalanxTW,0.03994293079254703,0.038565021741226446,0.03845913439671425
RefrigerationDevices,0.028368096771402777,0.03553915330483438,0.02702048794596062
ScreenType,0.021861096384246798,0.02434137798055683,0.024855094736392476
ShapeletSim,0.15946209869288763,0.1659524928558094,0.19122262406426438
ShapesAll,0.013464868435760337,0.014119992981159532,0.014136377355990345
SmallKitchenAppliances,0.026532844293612145,0.027347029556110545,0.02960114595137726
SonyAIBORobotSurface1,0.08846410887279194,0.08900384260957617,0.08587396942227968
SonyAIBORobotSurface2,0.060746285622988075,0.0693992879053848,0.06993146752845932
StarlightCurves,0.012751030130351306,0.016032935403090736,0.018749050674726667
Strawberry,0.005266341945641735,0.004636180903339895,0.004727713184141542
