TRAINTrainTimesSTDDEVS:,PB-A,CAWPE-A
abalone,3.3972605596781698,19.723490866325445
acute-inflammation,0.507416263404925,2.0625283000496615
acute-nephritis,0.461133037377414,4.306637486111597
adult,6.0534021971879195,80.9158495762337
annealing,0.817200154156877,13.994908762273795
arrhythmia,1.8827712516944,40.026442409412596
audiology-std,1.3796551293211174,11.967196543194579
balance-scale,1.0080138659874618,7.164808633775275
balloons,1.0148325268098497,3.3051683665184868
bank,1.149212624004981,2.82761424152068
blood,0.9714309861845773,2.858542350187607
breast-cancer,0.68144538746106,1.954658449748297
breast-cancer-wisc,0.9802650357071221,1.7356968854500252
breast-cancer-wisc-diag,0.7279320417946064,3.0505322693649353
breast-cancer-wisc-prog,0.546672273590534,1.401559066215889
breast-tissue,0.855005545454894,2.284631311587289
car,1.4125870942531558,11.196469065747017
cardiotocography-3clases,0.6789105539243627,16.19649458313771
cardiotocography-10clases,1.5521583045227219,32.550738466471756
chess-krvk,22.770216481638677,82.29362204864395
chess-krvkp,1.717054414417017,1.186126701378962
congressional-voting,0.6914918072835208,0.6149478998583783
conn-bench-sonar-mines-rocks,1.1651056880677457,14.43499101202496
conn-bench-vowel-deterding,1.4479474176011817,24.668282022285915
connect-4,15.836956633213937,14.570044848817444
contrac,1.1058881072455415,16.702123204557857
credit-approval,1.2780193008453875,8.451416258924253
cylinder-bands,0.44977644510880355,35.955847765081934
dermatology,0.7914775938769181,9.351132453394058
echocardiogram,1.2521246311585854,3.2547048173798907
ecoli,0.8603661343041527,14.104250602476943
energy-y1,1.5013403972802926,44.548101343753515
energy-y2,0.8276819867946675,8.289308998834638
fertility,0.402577899936449,2.298425248009962
flags,1.2452207485597395,20.41590545144395
glass,1.693802089159586,10.759705589272231
haberman-survival,0.5560534167675355,3.546732347503486
hayes-roth,0.534983080621924,3.236998751859541
heart-cleveland,0.479463301485384,11.692614822156349
heart-hungarian,0.6260623155792927,3.3356313917471745
heart-switzerland,0.9684683962230045,2.606137759787173
heart-va,0.6288102248298564,8.853144126215287
hepatitis,0.4806604651504226,5.49409296165112
hill-valley,0.6948083337796512,14.379103612174688
horse-colic,1.3429252681597996,9.514900595031637
ilpd-indian-liver,0.5508613944197479,8.680868116978152
image-segmentation,3.325968876209945,12.582783347956411
ionosphere,1.0372377109252813,4.591846847540144
iris,0.44977644510880344,1.659524928558094
led-display,1.3916830131877742,13.579734732398082
lenses,0.9589266029707681,2.6208711370918985
letter,50.62024491645906,36.59578833879564
libras,1.0504514628777804,0.6789105539243626
low-res-spect,0.907187139319736,1.0372377109252813
lung-cancer,1.0618786215460556,0.6149478998583782
lymphography,0.5466722735905342,10.93581062486858
magic,7.022132498578064,31.796768432635112
mammographic,1.311312407431981,12.315815455942317
miniboone,27.968804461194008,39.95544932840179
molec-biol-promoter,0.5832922809856745,12.043455799155279
molec-biol-splice,7.802224852160963,24.850356735569353
monks-1,2.362542951017462,5.001723840768335
monks-2,1.6801751413906598,7.361050025048353
monks-3,0.571346463723366,5.430966976409503
mushroom,1.8146910062806456,13.701078068162559
musk-1,0.7648904962570576,6.499248409243753
musk-2,1.4367908045682762,20.6546869246189
nursery,7.063260944663859,31.343132485809207
oocytes_merluccius_nucleus_4d,0.8193072487266861,9.002234716172286
oocytes_merluccius_states_2f,0.9352607356658149,29.024464512371026
oocytes_trisopterus_nucleus_2f,0.876906789368961,14.980447026155403
oocytes_trisopterus_states_5b,1.4259499757471623,5.300292770052978
optical,7.0583772678408465,31.722594290280657
ozone,0.9732042112432564,11.010131175683018
page-blocks,6.885683965893362,22.90510157499677
parkinsons,1.5252661346824676,1.5643293888377892
pendigits,6.802298462124114,26.700639279444875
pima,1.1957780134587126,6.929945016451031
pittsburg-bridges-MATERIAL,0.4138409933973337,3.0454412888246853
pittsburg-bridges-REL-L,0.6102571532587293,1.1957780134587122
pittsburg-bridges-SPAN,0.5560534167675356,2.14556479181172
pittsburg-bridges-T-OR-D,0.5208304597621877,2.1088211011799003
pittsburg-bridges-TYPE,1.299425160263737,4.131321349393439
planning,0.461133037377414,2.3400559969721915
plant-margin,6.449182430586727,81.43949873386372
plant-shape,17.3641194328466,30.744478992263748
