TRAINBuildTimesSTDDEVS:,CAWPE,RandF,LogitBoost,XGBoost,Bagging,AdaBoost
abalone,2595.7162227519616,2768.408885881609,1422.894736259039,328.8144891274857,217.2249529600269,29.377239987818097
acute-inflammation,478.2840669577506,595.6016836785319,259.80411857579634,19.672393619042253,70.04432699661628,23.91105010509995
acute-nephritis,290.27177289269076,442.67956492305694,110.79276830395024,12.7721368761887,64.65383291850674,24.096719085212648
adult,138631.75260064416,56333.41083677223,55112.84995413404,1304.0194889663098,4287.943982071388,5660.851098385427
annealing,2521.006089238317,1622.9428005199923,3554.015256470674,250.5974164182796,222.93755858478505,12.018487968690467
arrhythmia,110806.3841511141,1177.5081316534197,105408.70501665423,497.98295752459654,3485.839093821554,9.772931133225812
audiology-std,11864.475967683165,929.6610509805358,12307.5013000668,195.24246457960936,53.37501690685303,10.750901450337738
balance-scale,967.7439519565951,997.0287412806321,140.61092532044677,68.2874825732025,6.944259066548467,10.724200444177058
balloons,129.63982809039726,164.87066606383698,37.00540975449615,13.259714526077383,9.945298309840853,15.631155023482522
bank,3429.2526708711507,4830.353973480417,2408.5164032696116,246.11309495317985,551.4537129895685,89.19433735182585
blood,955.0083093054656,738.6985013596294,462.6212966588789,80.24068453403262,31.371740789377846,19.316999137063593
breast-cancer,405.4904228629924,608.6184039452792,166.0399361259853,43.62102696808365,25.610578454031035,15.43165910713153
breast-cancer-wisc,868.3614555940791,1278.5022961728848,411.18736786250724,60.17013587683328,30.068069009455083,10.602770650927797
breast-cancer-wisc-diag,1820.0140740226193,1030.0022984375705,794.4133349559868,52.14074721957238,132.97342491906525,45.46694144434249
breast-cancer-wisc-prog,1116.5731583945728,598.9609209343613,1721.4988180394432,30.046443904406377,64.85718679608539,17.84825694698163
breast-tissue,805.3997066185805,539.5451779751554,115.25992779918161,60.212541511908746,31.32160879964618,5.179719584453462
car,1592.308611611077,1770.9675083345405,3044.857802154483,147.31178829149343,172.11195916261855,37.273257788423535
cardiotocography-10clases,1117581.6379224514,2907.970980910301,13216.817524895603,464.81385106992525,290.153139893962,13.622712071644717
cardiotocography-3clases,2763.960445803238,2618.797078397523,3456.4929737360467,150.27870353783956,2214.3490030204066,42.12313908699236
chess-krvk,63101.74864639903,70483.967549895,125969.97724659501,4836.807455368424,2407.8028174503206,26.565585763067624
chess-krvkp,8047.737307303685,2011.5274430474292,5560.166439692952,129.38613276786668,245.97471098453775,82.72982489002472
congressional-voting,727.6092424491048,916.1047669786001,290.1143925734261,25.417974358343848,36.48340388362534,26.039832222413562
conn-bench-sonar-mines-rocks,1790.4013668424918,716.2282445947279,711.9467889949161,29.096684923917326,84.79665818036264,97.05311737140798
conn-bench-vowel-deterding,2568799.665001251,1126.7014422491727,5435.3110062944725,130.39670179363605,293.7573529671693,27.53065511310493
connect-4,687176.2886781087,239774.793459025,761367.1699214124,2864.4095689084265,33023.97138232294,58453.12493685756
contrac,1310.992304884857,1139.0420289522872,344.66152991707446,76.48413249575457,160.74721424658793,12.86053463321598
