TRAINNLL:,CAWPE-A,PB-A
abalone,1.0510161524666046,1.2384340207549005
acute-inflammation,0.14540201743308803,0.06224102315803332
acute-nephritis,0.10910843893122488,0.06486567839658512
adult,0.4330654832008726,0.4087613668257603
annealing,0.27758706704778274,0.2664917457226649
arrhythmia,1.3927644174810478,1.585698178855446
audiology-std,1.6448440402054183,1.8890163728863578
balance-scale,0.33359101893728427,0.5377659389636591
balloons,0.8158969551829244,1.1939462361253523
bank,0.3482063841188646,0.4292757625261272
blood,0.7068299727347455,1.1193828051389256
breast-cancer,0.8172196772251075,1.5559416184230785
breast-cancer-wisc,0.15279546468865002,0.2161007201260151
breast-cancer-wisc-diag,0.1321813867019148,0.15838733659005436
breast-cancer-wisc-prog,0.6944011556554656,1.0418129143781787
breast-tissue,1.1494177815893785,1.515578070753295
car,0.14517010825086316,0.10539086304493742
cardiotocography-3clases,0.2390704170535602,0.2709337329257727
cardiotocography-10clases,0.5878045623564773,0.6605763649906826
chess-krvk,1.052225576304458,1.1429815048624694
chess-krvkp,0.07338630283176115,0.046840051397260524
congressional-voting,0.9350888053569408,0.9840236377000072
conn-bench-sonar-mines-rocks,0.5510753308843099,0.6626970163865941
conn-bench-vowel-deterding,0.35350290439345156,0.3782914202889724
connect-4,0.4345519245122729,0.4152570323247511
contrac,1.3524045382219612,1.8035427646888065
credit-approval,0.48783164904740556,0.7008961997664565
cylinder-bands,0.7023820936693271,0.9060375730974973
dermatology,0.18389768154975686,0.1831641185988983
echocardiogram,0.6103738351038661,0.8948702476902792
ecoli,0.6840843690208022,0.8571761911079965
energy-y1,0.21088979740996264,0.2317131710583718
energy-y2,0.29359422690143133,0.36677209547265527
fertility,0.5584127919094666,0.8313849976212301
flags,1.6403328714039103,1.7715733976460009
glass,1.0783755019716366,1.3456230727227958
haberman-survival,0.769629695210561,1.4930903975025251
hayes-roth,0.7763491158638433,0.7414484577227912
heart-cleveland,1.4280881862168222,2.132494029751574
heart-hungarian,0.6170563751463493,1.00190612084728
heart-switzerland,1.9894756226400279,3.0287466298567116
heart-va,2.1964026165042743,3.2687218106474636
hepatitis,0.5443709958391261,0.8551017512566973
hill-valley,0.945653453007512,1.3253999030932377
horse-colic,0.5582216385985508,0.8326899159577027
ilpd-indian-liver,0.7597766683898761,1.2453321015932903
image-segmentation,0.22862896420639114,0.1706021572328235
ionosphere,0.31355331247249274,0.36708659395130405
iris,0.18386332698120839,0.2460733853437867
led-display,1.3141360122226027,1.4088607486980194
lenses,1.045010034429773,1.3355441299416095
letter,0.3982808608878353,0.2418914037055014
libras,1.102049504861612,1.6778456753869206
low-res-spect,0.4994192639744716,0.6160241455983162
lung-cancer,1.400307613014265,2.0902621552557297
lymphography,0.7299647797798766,0.9308724817713938
magic,0.44029035106844494,0.4312657396524473
mammographic,0.6081884793107076,0.9549968394681858
miniboone,0.24644240359084296,0.2038718239173606
molec-biol-promoter,0.5739905012650917,0.533356457682043
molec-biol-splice,0.35065688813186635,0.19378049411524703
monks-1,0.2535230020097026,0.12584935530694846
monks-2,0.8040508344066217,1.08178354340268
monks-3,0.18266265341736762,0.13381176606487286
mushroom,0.0027717325230825415,8.962846434413846E-4
musk-1,0.4588131580353408,0.6101819019090967
musk-2,0.08067962218895942,0.07188366532641717
nursery,0.08478148953352128,0.016544015859150576
oocytes_merluccius_nucleus_4d,0.5610865114576696,0.8225145581242812
oocytes_merluccius_states_2f,0.2730635239705892,0.35781518279195196
oocytes_trisopterus_nucleus_2f,0.5749892279054782,0.7976858324021167
oocytes_trisopterus_states_5b,0.2959302119104968,0.39971418746308757
optical,0.17421485467166806,0.11842908842073979
ozone,0.17254383877988477,0.19852446610993027
page-blocks,0.1305445726337794,0.16803591156631964
parkinsons,0.3772248865144501,0.4236110555852534
pendigits,0.08087389615248869,0.05645243019313348
pima,0.6929493411655864,1.1709633945576685
pittsburg-bridges-MATERIAL,0.592921536865033,0.7964137879354065
pittsburg-bridges-REL-L,1.1660354254601408,1.812081977359522
pittsburg-bridges-SPAN,1.1775496601154962,1.7306247938893453
pittsburg-bridges-T-OR-D,0.45345503209170684,0.5842561380292852
pittsburg-bridges-TYPE,1.7919406704867167,2.356328904369952
planning,0.9241575653620262,1.6743988697070524
plant-margin,1.431619476729363,1.980754134392093
plant-shape,2.0074432831887616,3.196082736136097
plant-texture,1.4978834595137733,1.9182780470624479
post-operative,1.205392392740936,1.9555303903100512
primary-tumor,2.6568201407848737,3.5065897965100277
ringnorm,0.13668383556903818,0.09276502371840895
seeds,0.29423385459887097,0.3298010826572302
semeion,0.4627029666123762,0.4179926803842756
soybean,0.40204763842190394,0.5183998264515784
spambase,0.2261590022915214,0.23278514363148278
spect,0.8809547837475374,1.6824739357606242
spectf,0.5022591517460319,0.7114324229636753
statlog-australian-credit,0.9018162715016302,1.4927658112925313
statlog-german-credit,0.7166998580200538,1.0824308878527682
statlog-heart,0.5743626002208331,0.8299780994171365
statlog-image,0.14047794938547423,0.11035663004486006
statlog-landsat,0.35833168343328814,0.4227355876869318
statlog-shuttle,0.0222802113184649,0.001577901307539835
statlog-vehicle,0.6486299082730353,0.9396993925489354
steel-plates,0.8462996560674635,0.9991096318571991
synthetic-control,0.20883730766673123,0.1940353668288432
teaching,1.4311158798501458,2.3295996318312433
thyroid,0.05194149831151962,0.02234789427723375
tic-tac-toe,0.1558002193791635,0.0753435932091247
titanic,0.710822871812182,0.700653481120153
trains,0.8679109351807723,1.5849639434169183
twonorm,0.15639290657532828,0.11904654630136381
vertebral-column-2clases,0.4821669553139278,0.769243797393601
vertebral-column-3clases,0.5238845447777584,0.7645894721403007
wall-following,0.14031703008469343,0.023995610691304157
waveform,0.47628415753778625,0.5974225623285389
waveform-noise,0.4750867976235425,0.5745091542723626
wine,0.21771394376101041,0.1677497210150562
wine-quality-red,1.264571575430465,1.7352059579863832
wine-quality-white,1.3237116801852291,1.5437140646386094
yeast,1.505122922274443,2.152624395466468
zoo,0.364215731332134,0.3982851116547856
