TRAINNLLSTDDEVS:,CAWPE-A,PB-A
abalone,0.014007362187296944,0.023695640526778704
acute-inflammation,0.022483910555539482,0.009473134739844862
acute-nephritis,0.024852335210749914,0.027812468863211214
adult,0.0044316455439100295,0.004154681959698656
annealing,0.025417371483875954,0.04091027437710138
arrhythmia,0.07663204919863947,0.12928204991976822
audiology-std,0.08547750655577632,0.1613067905883396
balance-scale,0.025039876140899125,0.0567728219655983
balloons,0.23513524436933034,0.23360508928918206
bank,0.010498387876957355,0.017389480522420894
blood,0.0298655238516635,0.08952819954928626
breast-cancer,0.05123253234526154,0.23280952100233224
breast-cancer-wisc,0.027949300235495998,0.06128237170832108
breast-cancer-wisc-diag,0.02514873482811902,0.040357132553919754
breast-cancer-wisc-prog,0.05933662431401568,0.13493579078276915
breast-tissue,0.12135543812192652,0.25022499024615696
car,0.008998816046949847,0.012874638117451239
cardiotocography-3clases,0.012989102294784751,0.03326518621444456
cardiotocography-10clases,0.02365032483548658,0.048627055415053674
chess-krvk,0.010905764370821294,0.006450782144932679
chess-krvkp,0.005592043057707748,0.006153774027616312
congressional-voting,0.0245735673959615,0.04333168876044003
conn-bench-sonar-mines-rocks,0.03948669457458934,0.09783568813372939
conn-bench-vowel-deterding,0.023619033799623844,0.029931269519920766
connect-4,0.0028222065526111524,0.002371471830896941
contrac,0.02048627049799498,0.05321898090400945
credit-approval,0.040055279705216454,0.10122241919649781
cylinder-bands,0.036174685824100744,0.08677498182277908
dermatology,0.03014738696361078,0.052676895170077544
echocardiogram,0.0973026443788605,0.20230006724887878
ecoli,0.07402184570480377,0.12995199104946706
energy-y1,0.0313016208653764,0.04877740753931718
energy-y2,0.02188421771322545,0.055141729622891274
fertility,0.05998926850926989,0.23751252474064066
flags,0.1249762174354299,0.18715452762380563
glass,0.07380905651310661,0.12174858433070052
haberman-survival,0.04411849085000626,0.20764629458037648
hayes-roth,0.06892377906157961,0.09645674503908823
heart-cleveland,0.0588350487601913,0.1743845023272074
heart-hungarian,0.06193311399968871,0.18595634677804804
heart-switzerland,0.1325946763988683,0.36236157739049935
heart-va,0.1288942071103477,0.2665051877594148
hepatitis,0.06548263574643327,0.16451405583559495
hill-valley,0.015408781245056756,0.045692438308944774
horse-colic,0.04219297158133042,0.10135274374432526
ilpd-indian-liver,0.031948285088990405,0.10060712611774959
image-segmentation,0.01129429343050731,0.018541402067056827
ionosphere,0.03091564776104716,0.06562264943945545
iris,0.0519013662706767,0.13595284805450217
led-display,0.06937787624153245,0.07740957428919461
lenses,0.3038887449060121,0.49403929846848194
letter,0.008562896365111403,0.006663081507287902
libras,0.08415525210770146,0.11667861736108735
low-res-spect,0.051440573084062524,0.06727376776847871
lung-cancer,0.1986973094765162,0.691215371922319
lymphography,0.07451964221197319,0.16197729901555813
magic,0.005902601469017329,0.007722184112279387
mammographic,0.03219875920164071,0.07098294711569858
miniboone,0.001917895009738503,0.0018693090357780535
molec-biol-promoter,0.0691829222858996,0.13568803320859035
molec-biol-splice,0.013310799318141971,0.023973847209133724
monks-1,0.02109848852487336,0.025259308179523036
monks-2,0.026279730816170705,0.07407605691702182
monks-3,0.020212518577919607,0.026660116039183772
mushroom,0.0013990944423468545,5.275455340212751E-5
musk-1,0.03624488118545847,0.066181712732795
musk-2,0.003227192161846725,0.006097510140485264
nursery,0.009586844210529086,7.053925255691593E-4
oocytes_merluccius_nucleus_4d,0.024932989866534184,0.06940905088884786
oocytes_merluccius_states_2f,0.022252102777757046,0.039421714615136626
oocytes_trisopterus_nucleus_2f,0.023916913558993003,0.0590506904620956
oocytes_trisopterus_states_5b,0.027694854614453243,0.03659963242545312
optical,0.005341809209620709,0.00728786496645068
ozone,0.04371881163807099,0.017616688463202114
page-blocks,0.008185194956682053,0.017528423263174782
parkinsons,0.04283457815490096,0.07620300171262125
pendigits,0.006548505514132541,0.0044921645130610735
pima,0.03176449133192785,0.10109810989885751
pittsburg-bridges-MATERIAL,0.12252897103394286,0.26598328709672836
pittsburg-bridges-REL-L,0.13164719137687567,0.32803227253942924
pittsburg-bridges-SPAN,0.11549694356612776,0.2860607377951296
pittsburg-bridges-T-OR-D,0.1105206393530108,0.2511706387513827
pittsburg-bridges-TYPE,0.1891117557019344,0.4195342455203291
planning,0.02780504615993396,0.21572694810370402
plant-margin,0.041760773386876344,0.0379491620186901
plant-shape,0.051427494131276515,0.05815186298224785
plant-texture,0.046334745583240015,0.0343349164660751
post-operative,0.07328016598345587,0.34064944931742003
primary-tumor,0.1229863095151956,0.2008779127957791
ringnorm,0.0058739608993380816,0.006576519343729676
seeds,0.05002878133329995,0.06962474295824597
semeion,0.024912422201490533,0.041086077956886805
soybean,0.03019001689918609,0.05687022748604425
spambase,0.008777762734944728,0.013392307500453655
spect,0.060334869081623846,0.21640248569185422
spectf,0.057329309925390044,0.11140475331689927
statlog-australian-credit,0.016196546420264447,0.10221400386516308
statlog-german-credit,0.029175234864564203,0.08404643229338236
statlog-heart,0.06593218773313433,0.14083556222094085
statlog-image,0.011576216823425207,0.01484134366164782
statlog-landsat,0.009889839757628634,0.015520930797604601
statlog-shuttle,0.0024755268074119876,2.5666537719093956E-4
statlog-vehicle,0.022171987905950267,0.07248041071632401
steel-plates,0.02854050593266334,0.047812562124218236
synthetic-control,0.026003686123549617,0.02465985212801434
teaching,0.11831672825386225,0.38681678807481723
thyroid,0.004255229005196936,0.004322103792174875
tic-tac-toe,0.016252266550749992,0.009750028399561954
titanic,0.013185832982755547,0.014417343170354303
trains,0.17112580831242372,2.2584051416334807E-16
