TRAINTrainTimesSTDDEVS:,CAWPE-A,TunedXGBoost,TunedSVM,TunedMLP,TunedRandF
abalone,36.8008152083619,30383.296287598554,3.0917624703587446E7,2990687.096278429,2651648.951108687
acute-inflammation,2.073644135332772,58122.67962508267,22316.10730615893,72229.0537062476,16556.447103771992
acute-nephritis,0.8366600265340756,44702.31069195417,27827.188697387308,22996.28880928399,12548.934225662353
annealing,3.1144823004794873,1598167.3593547079,148455.66103554287,3584881.9174500015,1080378.8107854577
arrhythmia,12.895735729302148,664920.7368215403,985628.8484392591,323503.1970681279,463098.8561887192
audiology-std,5.458937625582472,311804.1123915783,1630711.2502890264,3309566.6653060787,523939.2970972878
balance-scale,5.9833101206606365,17248.094338216033,131750.0984014813,304879.6038689699,33875.78489570389
balloons,1.6733200530681511,2197.711719038691,2853.737847105091,5478.87472935821,2455.474047918243
bank,2.2803508501982757,216511.4059542822,5137140.996913264,2810681.3302155407,375461.50048799947
blood,1.0,71156.3919497047,2415136.6057570535,42789.063302437455,333961.8177617016
breast-cancer,1.6733200530681511,70529.52488709959,83648.86147581448,30859.559713320603,1731762.8701595378
breast-cancer-wisc,1.4832396974191324,20247.03258504811,10107.708385188009,122766.09583349957,574628.6796057955
breast-cancer-wisc-diag,3.5355339059327378,21894.182606345457,44210.45139670031,963560.3047019424,2922428.8782712403
breast-cancer-wisc-prog,0.8944271909999159,14352.13678516199,14802.292129937174,627388.1588030651,704629.0501514254
breast-tissue,1.8708286933869707,18014.27324373648,61747.789068111575,134401.60879543071,332629.1666605621
car,6.8044103344816,91293.37572792453,732943.2986170895,197434.7119029478,418473.4702871856
cardiotocography-3clases,8.706319543871567,23325.1307113165,223795.41047863336,2.6397877298357785E7,351952.03767914174
cardiotocography-10clases,11.335784048754634,52522.45345278532,1811639.5243641876,4.0225711156958915E7,170750.67186983483
chess-krvkp,1.51657508881031,122012.81608380326,3611379.3815405495,1.1601284727751391E7,480096.7700415199
congressional-voting,0.4472135954999579,5947.319295279177,49357.876276233765,280014.50033078645,1046666.1838574895
conn-bench-sonar-mines-rocks,0.5477225575051661,7082.853824554055,18521.952116340224,2690172.7960864706,87724.50294815013
conn-bench-vowel-deterding,12.755391017134675,5102.845108368468,807524.8664900047,9890356.561475359,32652.454736206284
connect-4,15.352524222420234,1.2821873881239189E7,1.4313280695387924E8,29271.881494020847,236573.96443670636
contrac,21.686401268998047,32052.686931051507,1.6721939141760765E7,1948954.8025126955,770733.7603884366
credit-approval,17.297398648351724,10273.955348355374,125206.14038736279,1971047.9506678167,765912.6879911313
cylinder-bands,6.760177512462229,10388.494005388846,40181.10612340083,2905209.219337447,577397.41954723
dermatology,18.606450494385005,16957.996815661925,151323.32531602654,2326231.480244002,301656.7691179828
echocardiogram,6.841052550594828,8182.115631057777,9306.707677798846,178394.03374973053,417036.7793330703
ecoli,9.486832980505138,31497.776758050717,430337.82384540635,938962.5510472715,315323.6548749554
energy-y1,102.03087767925943,13635.883587065417,183458.26185620532,550725.0183155837,416805.8331126137
energy-y2,7.829431652425353,7391.666354753846,55636.748190382226,774479.6717268956,279273.68746410747
fertility,0.5477225575051661,2448.3750121253893,28767.703641410102,26824.074778079488,166772.33595623708
flags,47.53735373366928,43052.7174670775,100779.8614664656,956580.9836083926,241526.01193494667
glass,3.605551275463989,5902.3713624271395,176325.67075811734,410316.36023926706,398030.06114463264
haberman-survival,3.049590136395381,74312.75769139509,744510.3814435364,140256.69410940784,52402.76843354748
hayes-roth,1.4832396974191324,94364.66278909706,40909.558577427844,105940.82147453833,6876.869542168151
heart-cleveland,9.246621004453464,278222.6276051249,209676.73405816872,758099.1097886213,374050.63373586204
heart-hungarian,2.3874672772626644,7341.192546173953,25755.942857911454,192837.13489496778,232428.9966391887
heart-switzerland,4.722287581247038,8384.730061248245,94197.16717184227,372265.3740717769,132780.92047880977
heart-va,18.460769214742925,18659.436090085896,44205.775835291024,395914.71000267216,615749.1302058005
hepatitis,7.63544366752843,2146.0331311515206,7268.994270186214,640264.9909649129,260769.1334864999
hill-valley,9.071934744033381,344584.2281528567,630781.327733312,3.002786158138514E8,5.4438411987552956E7
horse-colic,2.2803508501982757,29799.679976469546,21107.18930127837,2506126.634572423,469046.5015120569
ilpd-indian-liver,1.6733200530681511,32505.53022948557,344155.40826013475,372721.059931955,1306477.689893823
image-segmentation,6.572670690061993,1569751.6887314694,1564993.941404311,1.1409402342389772E7,6072640.324592837
ionosphere,4.301162633521313,97479.87240297353,7120.748998525366,2523591.1063557225,973464.9725150361
iris,1.0954451150103321,5237.031582872114,43942.87439050841,96033.19753866368,30981.04713046349
led-display,9.219544457292887,884011.4228269338,170715.42874239574,3037641.344968115,702753.467990518
lenses,0.8366600265340756,34412.138556038626,22933.47331958245,7102.099527604496,4918.164769504982
letter,43.03254582290013,3.836399890477537E7,4695603.8532503145,3372.5739132004205,4685762.410493056
libras,0.5477225575051662,949571.1853429946,978451.967771694,1.3580846667499367E7,3260175.898404916
low-res-spect,0.5477225575051662,788071.0656205441,156011.28526808566,2.662670397746252E7,2901893.238761292
lung-cancer,0.5477225575051661,21131.34635322605,18187.159082715476,1118817.672914001,19975.125624135635
lymphography,0.8944271909999159,4922.118568258997,35145.03592258799,479850.5728446096,56958.95799433132
mammographic,8.905054744357274,40945.46230414305,9791865.342916042,462621.0628851652,587815.6523543755
molec-biol-promoter,0.7071067811865476,6848.2918454166365,14987.737811290935,1752396.6862607622,259163.2591929265
molec-biol-splice,5.319774431308154,1415864.5570818912,1823673.8610821562,120419.81178028804,1.5855064113869432E7
monks-1,5.049752469181039,25344.136083125817,55741.18978098692,403512.190923397,203981.55825882888
monks-2,8.82043082847998,7075.097829712322,194976.95470439576,410086.9144251009,109112.12437213383
monks-3,9.934787365615835,24775.198122315793,23541.70285896923,324516.2380710709,148721.7552858357
mushroom,15.339491516996253,446585.19408316707,5.053570923266391E7,3.58729982871786E7,1.441085497050795E7
musk-1,13.367871932360812,40714.58549831989,27131.864231932163,1309.2907622067758,6814669.11424568
musk-2,20.315019074566482,287072.10938246857,3270033.847965721,3289.932628489526,3360149.9430514555
nursery,34.23886680367795,2239939.930011807,2508326.25453911,1.9400130442560587E7,143327.66958720848
oocytes_merluccius_nucleus_4d,16.11831256676703,209980.10937300706,301144.0952841347,4207875.936876442,9572429.052419314
oocytes_merluccius_states_2f,4.827007354458868,91820.25993864317,110221.62643646664,2128051.156169137,2501420.319800273
oocytes_trisopterus_nucleus_2f,10.876580344942983,36287.081829488576,305710.33472995315,1119147.0098680067,3385979.08917344
oocytes_trisopterus_states_5b,3.96232255123179,109206.31770964534,56570.41646921118,2754684.9820674597,9566014.399687128
optical,12.557866060760482,2906149.4563566754,1.4752685486422285E7,75090.15398639158,1.2257087831287058E8
ozone,18.66815470259447,199898.89341239486,252894.91523753497,3.7553433607320726E7,5738546.014313443
page-blocks,22.056745000112777,772885.4471451122,1.0771760392294373E7,1618245.085575513,2.686116637546429E7
parkinsons,1.7320508075688772,25193.684043823363,4240.625578850366,289462.4719074996,359966.72873308725
pendigits,27.81186797034676,8163330.86737398,2.0735306740453966E7,2.38819490770997E7,2482724.1083666147
pima,11.291589790636214,87312.21514885532,1087090.6814172864,162480.15549383254,1009847.0677743735
pittsburg-bridges-MATERIAL,1.9493588689617927,30063.52772879457,10282.49660831454,52109.58479780855,105805.2757082557
pittsburg-bridges-REL-L,1.0954451150103321,12073.96845283273,17306.153018507608,53083.80387180256,107531.32322862952
pittsburg-bridges-SPAN,1.4832396974191324,11590.43484085045,8799.307603442445,74279.1822498067,93508.72986358013
pittsburg-bridges-T-OR-D,1.5165750888103102,11774.568357268983,13318.448772285758,35224.41547421334,35654.80329913489
pittsburg-bridges-TYPE,2.073644135332772,19615.294866506596,138471.78607572013,63823.68155551668,74785.86576820516
planning,1.6733200530681511,12001.03681770871,28408.683734027523,63838.82447774238,239649.14622151275
plant-margin,144.44791448823344,4105140.552785337,6000430.630957306,416848.0723281565,2.4843239184150983E7
plant-shape,55.970527958917806,1.2224328524735458E7,2.6236599097153008E7,121876.27314699117,4.016700327767691E7
plant-texture,19.819182626939995,9671021.334308632,5.094224567287843E7,306368.2873296451,1.9580343021193035E7
post-operative,15.614096195425464,23632.733460181873,13433.140053613673,21484.14825633076,140859.83879126087
primary-tumor,14.720733677368122,251190.0404201966,244568.5732564591,1189169.1273535066,639089.2978420935
ringnorm,6.107372593840989,1112763.9218196734,4328456.532909935,1.565567987994227E7,461117.95761139033
seeds,8.1117199162693,13038.949355680465,11987.813157536282,44169.409450433,158060.187937064
semeion,22.83199509460354,3349523.72580991,4421763.784783624,865799.6303974147,1.1958753210883215E8
soybean,21.575449010391416,796798.6390479717,205881.32942741553,5410110.742614453,1565532.928211764
spambase,4.527692569068709,618340.4205676676,3.373652418790933E7,209135.07975158066,2.1904941586661968E8
spect,2.3021728866442674,6322.751402672732,35133.402017168795,708131.3781914342,435159.6518741139
spectf,2.0736441353327724,4408.471367719201,17630.92582084106,2372366.1144242263,583761.3527840808
statlog-australian-credit,1.4832396974191324,3909.8250983899525,447981.5099150857,1131611.4478482443,1518518.445559355
statlog-german-credit,10.709808588392232,4567.431444477301,190243.33819269467,5030728.601996982,1732529.9657144463
statlog-heart,5.770615218501403,6429.457092165714,42907.1084122433,1689834.2401559097,401936.3753521196
statlog-image,15.709869509324383,28857.111364445333,1909512.0103575417,2.9288348005596668E7,2123902.938019132
statlog-landsat,21.501162759255603,71401.48478358136,1.4188035567831228E7,5883365.696868817,2225346.403300237
statlog-shuttle,80.71431099873182,4304086.938707035,3.885538585877142E7,3357.1738114074465,1840442.4823572184
statlog-vehicle,0.5477225575051662,16876.852099843738,244760.01422924455,2419282.224222445,2626827.5835791547
steel-plates,2.0736441353327724,101152.12028672459,2259290.3003596505,5597343.774782312,7682029.567775647
synthetic-control,0.0,8278.486920929452,167875.26080605204,8613186.439145138,1494535.665660174
teaching,0.8366600265340756,21304.526873413546,18388.692930711524,48665.804876730435,143636.0653258784
thyroid,8.792041856133306,74336.19579518445,2.128558790646254E7,8208229.142641048,2.663728994687603E7
tic-tac-toe,3.271085446759225,6919.619664403528,106045.57519670493,372787.7240217279,685747.535047338
titanic,3.1304951684997055,83578.0823182729,633791.6611575132,442534.7549343441,79382.99436781155
trains,1.224744871391589,3014.1997777187894,1027.1841607034253,47461.02986661794,19842.03810600111
twonorm,11.88696765369537,240327.84733255528,2.3959802613429308E7,3958576.9028234505,2187329.8456742414
vertebral-column-2clases,0.7071067811865476,9034.017932238125,50589.59533046296,203187.64345919265,193832.69034530784
vertebral-column-3clases,19.170289512680814,16606.88381966948,44601.91255652609,43266.54342214086,215420.73154921742
wall-following,20.211382931407737,565114.9703314361,1.4917545285920095E7,26743.314992722946,1.3208736459945129E8
waveform,8.17312669668102,150807.48368864192,5415059.940868494,36804.53825685088,3070825.1446903
waveform-noise,13.773162309360913,262239.5702612403,8329441.363544358,61206.37605919828,1719222.4403923128
wine,0.4472135954999579,11262.599753165341,21100.669965666966,416318.45680620504,209593.69330158766
wine-quality-red,15.962455951387932,114371.88975093488,2793896.8313744697,2092578.6340557192,1944461.2947713307
wine-quality-white,40.94508517514648,284854.5878049009,1.575121834559122E8,1.8619474756543115E7,760774.4646110962
yeast,14.855975228843109,244677.66017722175,1916097.4076648087,3627689.1033843434,632637.5763692036
zoo,2.949576240750525,26005.089411497895,62334.13934434324,518252.18762905383,274695.93405491096
