TRAINTESTDIFFSBALACCSTDDEVS:,CAWPE-S,PB-S
abalone,0.014007231871047627,0.014061621974035913
acute-inflammation,0.0,0.0
acute-nephritis,0.0,0.008051557998728986
adult,0.007034343893084207,0.0049103453165421805
annealing,0.08704699644768751,0.10843100193696031
arrhythmia,0.07142977091556668,0.0573455118794041
audiology-std,0.07480400711600586,0.07219478089919848
balance-scale,0.02824117883796447,0.06006954579728985
balloons,0.3611254049631983,0.35871971950918863
bank,0.017715189050721964,0.020846481832658442
blood,0.03689622251322518,0.029459932413497033
breast-cancer,0.051755288480486335,0.06605714095459421
breast-cancer-wisc,0.016194652392144415,0.015409595160414612
breast-cancer-wisc-diag,0.015799890147479123,0.014565595096997477
breast-cancer-wisc-prog,0.07347014244854272,0.07334533082008998
breast-tissue,0.0841614082216751,0.08106259346865104
car,0.04107319239745109,0.040358695220306634
cardiotocography-3clases,0.03374046446992552,0.028102200827872213
cardiotocography-10clases,0.025754673273499746,0.02091433920281937
chess-krvk,0.01742169567116522,0.008873498999724616
chess-krvkp,0.004391098326646165,0.00874892645926734
congressional-voting,0.02941035549049066,0.029434225824055128
conn-bench-sonar-mines-rocks,0.051336929080296384,0.05389935512108855
conn-bench-vowel-deterding,0.012531468141621385,0.025811302992063925
connect-4,0.006480473526804039,1.0975964039612676E-5
contrac,0.027214466946719758,0.033970701353816954
credit-approval,0.024120356486935456,0.022526230632790533
cylinder-bands,0.04977481921118452,0.039302070368740706
dermatology,0.024430715013574047,0.02158725662442638
echocardiogram,0.09148007045992562,0.0916071124229755
ecoli,0.055996310620234364,0.03802205061107807
energy-y1,0.028804939087654587,0.03331301840832957
energy-y2,0.024215473120376453,0.03466603836860139
fertility,0.07906570259360525,0.11453702348081239
flags,0.06138438933404707,0.05915590171227357
glass,0.10012629733921036,0.08969973648959399
haberman-survival,0.05677533811322482,0.04009348985545527
hayes-roth,0.08330380349258616,0.07161700383285184
heart-cleveland,0.05209082721594941,0.058637344084721134
heart-hungarian,0.042260934004472735,0.044799039664972465
heart-switzerland,0.0796247585311042,0.08675016240263633
heart-va,0.06232104809894126,0.07909328306034343
hepatitis,0.07928232848635498,0.09560308217059227
hill-valley,0.03468772523783845,0.037338804293629624
horse-colic,0.04001372956090693,0.03821857654492404
ilpd-indian-liver,0.03162684591038863,0.02913489658572911
image-segmentation,0.01151794589239893,0.014903781563124373
ionosphere,0.03824541394332341,0.03896907121211559
iris,0.04135384486735062,0.035697036520520614
led-display,0.03164803557614081,0.034472979813051134
lenses,0.32806739305678423,0.2983464625140653
letter,0.004124947465892451,0.006422351743733805
libras,0.04629604086775003,0.050004966405824365
low-res-spect,0.08619505724434735,0.0789926228123684
lung-cancer,0.1910997535844014,0.2143847355796744
lymphography,0.1774548526426343,0.21911012759108325
magic,0.006034601653782261,0.005684945257992882
mammographic,0.026456555537799138,0.025256758312782908
miniboone,0.008974252529806881,0.0028929596287896983
molec-biol-promoter,0.08254492802281113,0.09968294383725564
molec-biol-splice,0.014353456512091719,0.016795860378327837
monks-1,0.06292736844787007,0.03405571304770289
monks-2,0.0459116553336551,0.0040109388020943
monks-3,0.017197230872445762,0.037644576544196506
mushroom,0.0023536642074344426,0.005415060951449768
musk-1,0.029834081969737733,0.038989385789810045
