TRAINTESTDIFFSACCSTDDEVS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,RC-S,CAWPE-S,NBC-S,PB-S,WMV-S,MV-S
abalone,0.012608173388471009,0.013056194520072641,0.013119034701959785,0.012058688564361932,0.012335658898594358,0.013739190015717639,0.01240381571447603,0.013764900612224722,0.012926971543065198,0.01276549608569523
acute-inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006709631665607481,0.0,0.0
adult,0.0031575242658668646,0.0030779503865911396,0.003085854745388862,0.0033488289094082174,0.0029467104460323694,0.0034255651109508915,0.004308551344120069,0.0030909447407183877,0.003434774945090505,0.003434774945090505
annealing,0.019063753643590323,0.021129733142520844,0.021768323946933482,0.022299322163611607,0.017724286206607383,0.017769787374661176,0.026500198963576,0.021499770181336857,0.017713991624695974,0.016847637180723928
arrhythmia,0.03569149649588536,0.028751052856249543,0.03470185515845069,0.03408287106265163,0.02479576661569517,0.03443341998513661,0.03491688889533369,0.051993092487243646,0.03472144212240652,0.030704938220332004
audiology-std,0.10493511572458872,0.055832441592352684,0.04541856915414904,0.06353157149251912,0.05906290480612963,0.055372346377005006,0.04894543422638312,0.060107530890859746,0.05882171888060536,0.05983154866920806
balance-scale,0.018149029272727882,0.020092885532780866,0.021133199449809365,0.0242831143428864,0.015094356909181404,0.016136618699098798,0.032361180973252156,0.02476039975428193,0.02202395714512675,0.021874579896613757
balloons,0.1650809439527039,0.26110935039436883,0.23398879275276613,0.35195547554785084,0.31411482972685834,0.3541509416368935,0.2650038075391922,0.3532994762933369,0.34562233387102137,0.34924325160376707
bank,0.005692507256706709,0.006437475322650345,0.0055814753835018716,0.006273476687233668,0.0049495678547574135,0.005557253342003606,0.0038534225252851843,0.005883812443914335,0.006145928366271346,0.006145928366271346
blood,0.020023026855487458,0.02599701734644266,0.023964079751872158,0.021676584197262195,0.013256022860368257,0.022980317645423767,0.2629402174674819,0.019793321415317373,0.02103573023966661,0.02103573023966661
breast-cancer,0.04605106823168577,0.04379453252911513,0.0445543986685171,0.046555677385934906,0.03103919935986571,0.04120261553704755,0.19399077159511985,0.05195105649702813,0.04755444163611522,0.04755444163611522
breast-cancer-wisc,0.012081922403689662,0.01032380299728509,0.01182701459045385,0.012355616050840821,0.011168701690886877,0.012602084995383789,0.011414142722591024,0.012897162115540867,0.011168701690886877,0.011168701690886877
breast-cancer-wisc-diag,0.014422078027139792,0.01303089533572728,0.013060903763748988,0.014754924538811833,0.012815992556182277,0.01320979076503165,0.012938658262183263,0.011898394996746133,0.012815992556182277,0.012815992556182277
breast-cancer-wisc-prog,0.052050072539502654,0.05461843540548583,0.05190449596862887,0.05865302359754398,0.03715219327775002,0.054142175292590064,0.21373243597916008,0.05743387949975999,0.05211570690054293,0.05211570690054293
