TRAINTESTDIFFSACCRANKS:,SMLRE-S,SMM5-S,SMLR-S,ES-S,RC-S,CAWPE-S,NBC-S,PB-S,WMV-S,MV-S
abalone,1.0,2.0,4.0,3.0,10.0,5.0,6.0,9.0,7.0,8.0
acute-inflammation,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
acute-nephritis,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0
adult,7.0,3.0,9.0,1.0,2.0,8.0,10.0,6.0,4.5,4.5
annealing,2.0,1.0,3.0,4.0,5.0,6.0,10.0,7.0,8.0,9.0
arrhythmia,1.0,3.0,2.0,5.0,6.0,7.0,4.0,10.0,9.0,8.0
audiology-std,2.0,3.0,1.0,6.0,5.0,8.0,4.0,7.0,9.0,10.0
balance-scale,2.0,1.0,3.0,6.0,5.0,4.0,10.0,9.0,7.0,8.0
balloons,1.0,3.0,4.0,10.0,6.0,7.0,2.0,5.0,8.0,9.0
bank,1.0,2.0,4.0,3.0,6.0,9.0,10.0,5.0,7.5,7.5
blood,1.0,2.0,3.0,4.0,7.0,5.0,10.0,6.0,8.5,8.5
breast-cancer,1.0,2.0,3.0,4.0,7.0,6.0,10.0,5.0,8.5,8.5
breast-cancer-wisc,1.0,2.0,3.0,4.0,8.0,6.0,5.0,10.0,8.0,8.0
breast-cancer-wisc-diag,2.0,1.0,3.0,9.0,6.0,8.0,4.0,10.0,6.0,6.0
breast-cancer-wisc-prog,1.0,2.0,3.0,4.0,6.0,7.0,10.0,5.0,8.5,8.5
breast-tissue,1.0,3.0,2.0,5.0,6.0,7.0,4.0,8.0,9.0,10.0
car,3.0,1.0,4.0,2.0,9.0,5.0,10.0,6.0,8.0,7.0
cardiotocography-3clases,2.0,1.0,4.0,3.0,7.0,8.0,10.0,9.0,6.0,5.0
cardiotocography-10clases,2.0,1.0,3.0,4.0,6.0,9.0,10.0,5.0,7.0,8.0
chess-krvk,5.0,1.0,6.0,2.0,7.0,8.0,10.0,3.0,9.0,4.0
chess-krvkp,3.0,1.0,4.0,2.0,8.0,5.0,6.0,10.0,8.0,8.0
congressional-voting,1.0,2.0,3.0,9.0,5.0,8.0,10.0,4.0,6.5,6.5
conn-bench-sonar-mines-rocks,1.0,2.0,3.0,4.0,8.0,6.0,5.0,10.0,8.0,8.0
conn-bench-vowel-deterding,1.0,3.0,5.0,2.0,8.0,6.0,4.0,10.0,7.0,9.0
connect-4,8.0,7.0,9.0,1.0,2.0,6.0,10.0,3.0,4.5,4.5
contrac,1.0,2.0,4.0,3.0,5.0,9.0,10.0,7.0,6.0,8.0
credit-approval,1.0,2.0,3.0,5.0,7.5,10.0,7.5,4.0,7.5,7.5
cylinder-bands,1.0,2.0,3.0,4.0,5.0,7.0,10.0,6.0,8.5,8.5
dermatology,1.0,3.0,2.0,5.0,6.0,9.0,4.0,10.0,8.0,7.0
echocardiogram,1.0,2.0,3.0,6.0,5.0,4.0,10.0,9.0,7.5,7.5
ecoli,1.0,3.0,2.0,5.0,9.0,6.0,4.0,7.0,8.0,10.0
energy-y1,5.0,2.0,10.0,1.0,8.0,4.0,3.0,6.0,7.0,9.0
energy-y2,2.0,1.0,3.0,4.0,8.0,10.0,5.0,9.0,6.5,6.5
fertility,1.0,2.0,3.0,5.0,8.0,9.0,10.0,4.0,6.5,6.5
flags,1.0,3.0,2.0,5.0,6.0,7.0,4.0,9.0,8.0,10.0
glass,1.0,2.0,3.0,4.0,5.0,7.0,6.0,8.0,9.0,10.0
haberman-survival,1.0,2.0,3.0,4.0,5.0,9.0,10.0,8.0,6.5,6.5
