TRAINTrainTimes:,CAWPE-S(alpha=4),CAWPE-S(ConTie),CAWPE-S(RandTie)
abalone,29.0,50.0,290.5
acute-inflammation,3.0,4.0,149.0
acute-nephritis,3.0,4.0,151.5
adult,248.5,542.5,1153.0
annealing,10.0,17.0,273.5
arrhythmia,12.5,21.0,298.0
audiology-std,8.0,11.0,287.0
balance-scale,6.0,11.0,147.0
balloons,3.0,4.0,111.5
bank,23.0,42.0,213.5
blood,6.0,9.0,138.0
breast-cancer,4.0,5.5,143.0
breast-cancer-wisc,5.5,9.0,151.0
breast-cancer-wisc-diag,5.0,7.0,162.5
breast-cancer-wisc-prog,3.0,5.0,137.0
breast-tissue,4.0,5.0,150.0
car,16.5,23.0,312.0
cardiotocography-3clases,19.0,24.0,281.0
cardiotocography-10clases,42.0,57.0,446.0
chess-krvk,913.0,1429.5,3861.0
chess-krvkp,15.0,25.0,286.0
congressional-voting,4.0,6.0,173.0
conn-bench-sonar-mines-rocks,3.0,5.0,155.0
conn-bench-vowel-deterding,19.0,29.0,343.5
connect-4,354.5,712.0,1443.0
contrac,11.0,17.0,271.0
credit-approval,5.0,8.0,203.5
cylinder-bands,4.0,7.0,193.5
dermatology,6.0,9.0,253.0
echocardiogram,3.0,4.0,139.0
ecoli,7.0,10.0,269.0
energy-y1,7.0,10.0,253.5
energy-y2,7.0,10.0,257.5
fertility,3.0,4.0,129.5
flags,5.0,7.0,236.0
glass,5.0,6.5,242.0
haberman-survival,4.0,5.0,173.5
hayes-roth,3.0,4.0,151.5
heart-cleveland,5.0,8.0,202.5
heart-hungarian,4.0,5.0,168.0
heart-switzerland,4.0,5.0,185.5
heart-va,5.0,6.0,190.0
hepatitis,3.0,4.0,160.0
hill-valley,7.0,11.0,241.0
horse-colic,4.0,5.0,168.5
ilpd-indian-liver,5.0,7.0,188.5
image-segmentation,31.0,46.0,355.5
ionosphere,4.0,6.0,162.5
iris,3.0,5.0,140.0
led-display,20.0,29.0,285.5
lenses,3.0,3.0,105.0
letter,914.5,1365.5,3304.5
libras,10.0,15.5,240.0
low-res-spect,10.0,15.0,248.0
lung-cancer,3.0,4.0,111.5
lymphography,4.0,5.0,150.5
magic,89.0,197.5,648.5
mammographic,7.0,10.0,221.0
miniboone,621.0,1625.0,2280.0
molec-biol-promoter,3.0,4.0,85.0
molec-biol-splice,22.0,30.0,160.0
monks-1,5.0,6.0,146.0
monks-2,5.0,6.0,150.5
monks-3,5.0,7.0,147.5
mushroom,33.5,76.0,297.5
musk-1,5.0,5.0,136.5
musk-2,33.5,44.0,270.5
nursery,138.5,155.5,564.0
oocytes_merluccius_nucleus_4d,7.0,7.0,181.5
oocytes_merluccius_states_2f,9.0,9.0,186.0
oocytes_trisopterus_nucleus_2f,6.0,7.0,172.5
oocytes_trisopterus_states_5b,8.0,8.0,184.0
optical,100.0,108.0,516.5
ozone,13.0,15.0,209.5
page-blocks,55.0,64.5,381.0
parkinsons,3.0,3.0,109.0
pendigits,197.5,242.5,812.0
pima,6.0,6.0,171.5
pittsburg-bridges-MATERIAL,3.0,3.0,110.0
pittsburg-bridges-REL-L,3.0,3.0,108.0
pittsburg-bridges-SPAN,3.0,3.0,106.5
pittsburg-bridges-T-OR-D,3.0,3.0,101.0
pittsburg-bridges-TYPE,3.0,4.0,129.5
planning,3.0,3.0,121.0
plant-margin,239.0,274.5,854.5
plant-shape,240.0,283.5,818.0
plant-texture,233.0,261.5,844.0
post-operative,3.0,3.0,101.0
primary-tumor,11.0,11.0,209.0
ringnorm,32.0,44.0,306.5
seeds,4.0,4.0,126.0
semeion,30.5,33.0,289.5
soybean,22.0,26.0,250.0
spambase,23.0,28.0,236.0
spect,5.0,4.0,117.0
spectf,3.5,4.0,119.0
statlog-australian-credit,5.0,7.0,158.0
statlog-german-credit,7.0,8.5,162.5
statlog-heart,4.0,5.0,119.0
statlog-image,31.0,36.0,311.0
statlog-landsat,74.0,91.5,510.5
statlog-shuttle,768.0,1046.5,2575.5
statlog-vehicle,8.0,9.0,209.5
steel-plates,25.0,28.0,312.0
synthetic-control,8.5,9.0,215.0
teaching,4.0,4.0,125.0
thyroid,44.0,53.0,417.5
tic-tac-toe,6.0,7.0,195.5
titanic,11.0,13.0,227.0
trains,2.0,2.5,82.0
twonorm,33.0,42.0,327.0
vertebral-column-2clases,4.0,4.0,93.5
vertebral-column-3clases,5.0,5.0,102.0
wall-following,44.0,49.0,416.0
waveform,33.0,38.0,328.5
waveform-noise,33.0,37.5,333.0
wine,4.0,4.0,141.5
wine-quality-red,20.0,21.0,264.5
wine-quality-white,63.0,68.0,514.5
yeast,29.0,29.0,320.0
zoo,4.0,4.0,151.5
