TRAINBALACCSTDDEVS:,CAWPE-S,PB-S
abalone,0.007935028175704554,0.00853873514068224
acute-inflammation,0.0,0.0
acute-nephritis,0.0,0.008051557998728986
adult,0.004015330653911552,0.003298342269794707
annealing,0.047142505068417516,0.05935040699524015
arrhythmia,0.04995831776992852,0.032035115084968466
audiology-std,0.033935196657827786,0.036021237590373525
balance-scale,0.04765002764751706,0.0787633122627046
balloons,0.2452819486938342,0.24261111527855636
bank,0.01464269088131222,0.017517726821496746
blood,0.04133178039031926,0.02662829454890381
breast-cancer,0.03678506198240874,0.051069879330864175
breast-cancer-wisc,0.00802870201187105,0.00842648610260369
breast-cancer-wisc-diag,0.009256827946143412,0.00859045370883364
breast-cancer-wisc-prog,0.054008541930894424,0.04815137411191669
breast-tissue,0.05842827992742375,0.0590157243625106
car,0.022938496132868986,0.03309459814120944
cardiotocography-3clases,0.018702633445896986,0.020295273066085077
cardiotocography-10clases,0.015314207233024676,0.01207340012267113
chess-krvk,0.008635438770619916,0.00985525088886531
chess-krvkp,0.002219718281849008,0.0060583880052313055
congressional-voting,0.018542251122311535,0.017210497594113444
conn-bench-sonar-mines-rocks,0.032018295079118304,0.042099987855630586
conn-bench-vowel-deterding,0.007565107262697704,0.020449087142053367
connect-4,0.005121994278156928,1.0975964039612676E-5
contrac,0.01941090933499271,0.022836466925096447
credit-approval,0.015536847238736507,0.011758276460077238
cylinder-bands,0.03423209684476697,0.02707212612350501
dermatology,0.015842592736673624,0.013228248647313567
echocardiogram,0.052323333253918525,0.05123919520147969
ecoli,0.04109223059701155,0.02806259213146974
energy-y1,0.02806649585490685,0.01924693129139383
energy-y2,0.014036911160075011,0.01961176821184555
fertility,0.06836009434119886,0.10674135909608853
flags,0.05255368037450768,0.034039868338373976
glass,0.06559653637238747,0.06608888268620744
haberman-survival,0.045888222709140815,0.04159281221454753
hayes-roth,0.06614225751925282,0.043857506168800665
heart-cleveland,0.04852320252833174,0.045903914070253383
heart-hungarian,0.025143264931825043,0.02889126006490016
heart-switzerland,0.06078851416724674,0.06103924501231197
heart-va,0.05518707078490131,0.05481709420026847
hepatitis,0.0635172671703165,0.07688025388208536
hill-valley,0.02406223735651649,0.016030604793329826
horse-colic,0.026269184242116123,0.026237244997739065
ilpd-indian-liver,0.03386258303564122,0.038570802752462864
image-segmentation,0.006437769783004001,0.007875468112029237
ionosphere,0.019139429724791653,0.024506869622081196
iris,0.024531367570754064,0.019620928696467897
led-display,0.018844502782433412,0.018126553270628426
lenses,0.2480355219364956,0.24073522712529083
letter,0.0022088124721443346,0.004064033710356469
libras,0.02471348518966822,0.03351589004885582
low-res-spect,0.05243271446670585,0.057886584761446785
lung-cancer,0.15126928559552555,0.15712366432803457
lymphography,0.07799435116633102,0.0919058454445841
magic,0.004165652119118485,0.0035884325334122986
mammographic,0.015452452069253771,0.018449614085628518
miniboone,0.005268099221697403,0.0017183021878231992
molec-biol-promoter,0.061373147760239055,0.06675757251730868
molec-biol-splice,0.00843429311597171,0.011402468566659395
monks-1,0.04918476738627899,0.020618500583171384
monks-2,0.041115332690202455,0.002433394971977466
monks-3,0.01131203154526926,0.0232987309123018
mushroom,0.002069051727985669,0.005678181622712011
musk-1,0.020802857491426942,0.024601413192591876
musk-2,0.005664880843914612,0.009519959960465297
nursery,0.0061719664653276775,0.006257969757258795
oocytes_merluccius_nucleus_4d,0.018665645815634554,0.023433802412624754
oocytes_merluccius_states_2f,0.02160992493145761,0.019972272428237722
oocytes_trisopterus_nucleus_2f,0.016492180165988198,0.013050195035406706
oocytes_trisopterus_states_5b,0.031138322783639847,0.028136248435496475
optical,0.0015414170700368095,0.002335406044646563
ozone,0.027173659297102592,0.0383151445181858
page-blocks,0.025464063427453266,0.023610013213185312
parkinsons,0.047975093967253274,0.041082380775793494
pendigits,0.0011086875996717872,0.001397644324612886
pima,0.017275465021119422,0.016370128663242875
pittsburg-bridges-MATERIAL,0.08878887930461578,0.08846195046967416
pittsburg-bridges-REL-L,0.06986763960218857,0.06892107981555734
pittsburg-bridges-SPAN,0.060761814161935115,0.06566555190403835
pittsburg-bridges-T-OR-D,0.11184175662081043,0.10215308839545
pittsburg-bridges-TYPE,0.06022815064759062,0.06745705448818795
planning,0.01624265093656363,0.017274011830811255
plant-margin,0.009136182331050917,0.01454753405654844
plant-shape,0.016378306457439165,0.01506713901711004
plant-texture,0.011354796065018555,0.014151344928205072
post-operative,0.028657108882299734,0.04518890293364969
primary-tumor,0.02573412207262439,0.031561208942781686
ringnorm,0.005222406753961229,0.004352462680268823
seeds,0.024454323098604947,0.020060637350345502
semeion,0.010613040295841942,0.009270096512787285
soybean,0.01337216064037005,0.018039726771102146
spambase,0.006270180501738378,0.006365527749775635
spect,0.04642568237811564,0.049642465767730036
spectf,0.04890521499475595,0.05378452750489726
statlog-australian-credit,0.019337029409189452,0.0072652256268608325
