TRAINBALACC:,CAWPE-S,PB-S
abalone,0.6433270932439833,0.6227639698101936
acute-inflammation,1.0,1.0
acute-nephritis,1.0,0.998
adult,0.76287102424502,0.7419533765457851
annealing,0.7812942674145683,0.6507364732176764
arrhythmia,0.36157433641040193,0.3164663915319654
audiology-std,0.33538391157956376,0.3071450007319572
balance-scale,0.6928240740740742,0.8083333333333332
balloons,0.6680555555555557,0.6500000000000001
bank,0.609176923076923,0.6064801282051282
blood,0.5881115710624877,0.5486884815033838
breast-cancer,0.6061666666666666,0.5984999999999998
breast-cancer-wisc,0.9630040029112081,0.9606368267831151
breast-cancer-wisc-diag,0.9677001625326831,0.9700692530563212
breast-cancer-wisc-prog,0.6467053140096617,0.6444154589371982
breast-tissue,0.6603609507776175,0.6050849767516434
car,0.8985996537905798,0.7010610787014532
cardiotocography-3clases,0.8351105362204,0.7643049970956345
cardiotocography-10clases,0.7641786690075139,0.6899852661810694
chess-krvk,0.7192752452037645,0.24501198145716882
chess-krvkp,0.9896495385605016,0.9493071597767658
congressional-voting,0.5117376775271513,0.5074143692564745
conn-bench-sonar-mines-rocks,0.8217929292929291,0.7499494949494949
conn-bench-vowel-deterding,0.9703703703703703,0.7338047138047138
connect-4,0.677717322613884,0.5000020039276982
contrac,0.5067997814495985,0.4730743865516603
credit-approval,0.8592860646294586,0.8622894067458281
cylinder-bands,0.7021239316239314,0.6725811965811969
dermatology,0.9688514109347444,0.963699464116131
echocardiogram,0.7746392496392497,0.78015873015873
ecoli,0.6095669687730255,0.625297248282902
energy-y1,0.8626555313483417,0.7968954248366015
energy-y2,0.8788348758240068,0.8145471281230919
fertility,0.5212121212121211,0.5310606060606059
flags,0.3557463369963369,0.2738308913308914
glass,0.6322389306599833,0.5365142021720969
haberman-survival,0.5746130952380953,0.5654166666666666
hayes-roth,0.7396296296296295,0.30849537037037045
heart-cleveland,0.3116453229891775,0.32323396567299006
heart-hungarian,0.775903251706142,0.7617456175565369
heart-switzerland,0.2686944444444445,0.2311388888888889
heart-va,0.2926539682539683,0.2813238095238095
hepatitis,0.6919057377049178,0.6913763661202186
hill-valley,0.644939493949395,0.5498349834983499
horse-colic,0.8097701149425288,0.807445909398242
ilpd-indian-liver,0.5380106966326845,0.5464009885696633
image-segmentation,0.9539105339105339,0.8619336219336219
ionosphere,0.8543981481481481,0.8366071428571425
iris,0.9577777777777778,0.9493333333333333
led-display,0.7265099866445611,0.7253010030124234
lenses,0.6285714285714286,0.6507936507936509
letter,0.9388512809690792,0.8096867481243597
libras,0.792962962962963,0.6807407407407405
low-res-spect,0.4808700249882703,0.5011387472185247
lung-cancer,0.5016666666666667,0.37166666666666676
lymphography,0.49173611111111093,0.5004861111111111
magic,0.8192407083579706,0.7439911048834456
mammographic,0.8195928486626161,0.8008677281933098
miniboone,0.874185433565015,0.7739841298000231
molec-biol-promoter,0.796794871794872,0.7589743589743587
molec-biol-splice,0.892918497359012,0.8228186726738529
monks-1,0.8959232613908873,0.6661870503597122
monks-2,0.6496353062934307,0.500025462848882
monks-3,0.9552814327485379,0.7632475285435812
mushroom,0.9984393751674906,0.955434700639928
musk-1,0.8798229725160603,0.7992851277592621
musk-2,0.9324012690617973,0.8588404406438442
nursery,0.7187679072448615,0.6393022233573239
oocytes_merluccius_nucleus_4d,0.7727234753550544,0.6761521860206072
oocytes_merluccius_states_2f,0.896251242297754,0.8825664583287323
oocytes_trisopterus_nucleus_2f,0.8054954847908746,0.731279705323194
oocytes_trisopterus_states_5b,0.9113462162341749,0.8712519657237706
optical,0.9840393129800314,0.9781098006180386
ozone,0.5663439841140896,0.5723320395944278
page-blocks,0.7393833642689294,0.6431452114170918
parkinsons,0.84412100456621,0.7329052511415525
pendigits,0.9894413839179463,0.9749516164287739
pima,0.7180437810945274,0.7183074626865672
pittsburg-bridges-MATERIAL,0.6024715099715099,0.5876709401709401
pittsburg-bridges-REL-L,0.562120232708468,0.5465165553400848
pittsburg-bridges-SPAN,0.6038720538720539,0.6011784511784513
pittsburg-bridges-T-OR-D,0.6678571428571428,0.6865800865800864
pittsburg-bridges-TYPE,0.40369107744107746,0.3819570707070705
planning,0.4984615384615385,0.496025641025641
plant-margin,0.79075,0.7013333333333333
plant-shape,0.6123750000000001,0.4973333333333334
plant-texture,0.7984345238095237,0.7025654761904762
post-operative,0.321412037037037,0.31273148148148144
primary-tumor,0.3024178501810081,0.29004441659704816
ringnorm,0.9204436592390339,0.7601888389141879
seeds,0.9390476190476191,0.9174603174603176
semeion,0.929897994918037,0.9259095927968995
soybean,0.9257925644761397,0.8923647912295254
spambase,0.924499167566666,0.8972465037272112
spect,0.6836363636363636,0.6975324675324674
spectf,0.783851618914512,0.7862799906825065
statlog-australian-credit,0.5132228382228382,0.498987448987449
statlog-german-credit,0.6609206349206347,0.6736031746031745
statlog-heart,0.8194444444444444,0.8284444444444444
statlog-image,0.968975468975469,0.9182683982683985
statlog-landsat,0.8750687795485678,0.8129682357311528
statlog-shuttle,0.7592959282959283,0.5925338811273841
statlog-vehicle,0.8026376741760303,0.701042795290819
steel-plates,0.7514540323308235,0.6929949032433875
synthetic-control,0.9866666666666666,0.9775555555555557
teaching,0.5293917378917381,0.5019957264957264
thyroid,0.7762036647614475,0.7351248310181115
tic-tac-toe,0.9759036144578311,0.9751004016064255
titanic,0.7083221476510065,0.6994196048775877
