@relation teaching

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute clase {0,1,2}

@data
-2.04427,1.37092,-0.726939,-2.35125,-0.68774,2
0.485933,0.198895,-0.726939,-2.35125,-0.842854,2
-2.04427,1.37092,-0.726939,0.42249,1.63897,2
-2.04427,-1.26614,-0.86931,0.42249,0.398057,2
0.485933,-0.973132,0.412027,0.42249,2.10431,2
0.485933,1.37092,-0.726939,-2.35125,-0.610183,2
0.485933,-0.680125,-0.442198,0.42249,-0.68774,2
0.485933,-0.533622,-0.726939,0.42249,-0.067285,2
-2.04427,1.22442,-0.726939,-2.35125,2.33698,2
0.485933,0.198895,-0.726939,-2.35125,-0.610183,2
0.485933,-0.533622,1.97811,0.42249,-1.46331,2
0.485933,-0.094112,-1.01168,0.42249,0.165386,2
0.485933,0.638406,1.83573,0.42249,0.087829,2
0.485933,-1.11964,1.26625,0.42249,0.863398,2
0.485933,-1.11964,1.26625,0.42249,1.09607,1
0.485933,-1.11964,1.26625,0.42249,1.17363,1
0.485933,-0.973132,0.412027,0.42249,-1.38575,1
0.485933,1.22442,-0.726939,0.42249,1.4063,1
0.485933,-0.094112,-0.726939,-2.35125,-1.38575,1
0.485933,-0.973132,2.40522,0.42249,1.09607,1
0.485933,1.66393,-0.157456,0.42249,-0.067285,1
0.485933,1.66393,-0.157456,0.42249,-0.377512,1
0.485933,-1.70565,0.127285,0.42249,0.242943,1
0.485933,-1.85215,0.98151,-2.35125,-0.455069,1
0.485933,0.198895,0.696768,0.42249,0.708285,1
0.485933,-0.973132,0.412027,0.42249,-1.15308,1
0.485933,-0.826629,-0.726939,0.42249,-0.299955,1
0.485933,0.052392,0.98151,0.42249,0.785841,1
0.485933,1.07792,-0.86931,0.42249,1.09607,0
0.485933,1.22442,-0.726939,0.42249,0.010272,0
0.485933,-0.387118,-1.01168,0.42249,1.79408,0
0.485933,0.638406,-0.442198,0.42249,-0.68774,0
0.485933,-0.094112,-1.01168,0.42249,0.242943,0
