TRAINACC:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
abalone,0.6570196454240536,0.6480114997604215,0.6447851780865675
acute-inflammation,1.0,1.0,1.0
acute-nephritis,1.0,1.0,1.0
adult,0.8574078624078624,0.8566366366366366,0.8563813813813812
annealing,0.9285714285714284,0.9180803571428572,0.9133928571428568
arrhythmia,0.7039039039039038,0.6905405405405407,0.6807807807807807
audiology-std,0.728125,0.7104166666666667,0.7045138888888888
balance-scale,0.9104700854700857,0.9005341880341879,0.8981837606837608
balloons,0.7047619047619047,0.676190476190476,0.6523809523809523
bank,0.8956932153392331,0.8938053097345134,0.8937610619469027
blood,0.7850267379679144,0.7820855614973262,0.781729055258467
breast-cancer,0.7417840375586854,0.7244131455399059,0.7204225352112675
breast-cancer-wisc,0.9682903533906401,0.9662846227316143,0.9661891117478513
breast-cancer-wisc-diag,0.976643192488263,0.9719483568075117,0.9721830985915493
breast-cancer-wisc-prog,0.8034013605442176,0.7829931972789118,0.7734693877551019
breast-tissue,0.7012820512820511,0.6794871794871794,0.6666666666666664
car,0.9653920432599459,0.9606411741985322,0.9570876786404018
cardiotocography-3clases,0.9267733835530443,0.9240112994350284,0.9235404896421843
cardiotocography-10clases,0.8411949685534593,0.8363522012578616,0.8343710691823899
chess-krvk,0.7452058376117133,0.728710306141852,0.7452058376117133
chess-krvkp,0.991087455646003,0.9896263828010855,0.9891254435399709
congressional-voting,0.6105990783410139,0.6029185867895546,0.6003072196620585
conn-bench-sonar-mines-rocks,0.8488673139158572,0.8245954692556634,0.809061488673139
conn-bench-vowel-deterding,0.9837037037037037,0.9703703703703703,0.9473400673400677
connect-4,0.8418763692344128,0.8314228195867132,0.8253064124578127
contrac,0.5449433106575964,0.5360997732426304,0.5336054421768708
credit-approval,0.8631782945736435,0.857267441860465,0.8568798449612403
cylinder-bands,0.7416666666666667,0.7319010416666667,0.7302083333333333
dermatology,0.9736263736263733,0.9717948717948715,0.9717948717948715
echocardiogram,0.8482051282051285,0.8302564102564106,0.8241025641025644
ecoli,0.8656626506024097,0.8600401606425703,0.8592369477911649
energy-y1,0.9480417754569187,0.9138381201044387,0.9091383812010445
energy-y2,0.9088772845953003,0.9053959965187119,0.9053959965187119
fertility,0.8733333333333332,0.8539999999999998,0.846
flags,0.5743055555555556,0.5597222222222222,0.5083333333333333
glass,0.7041269841269843,0.6911111111111111,0.6812698412698412
haberman-survival,0.7587719298245615,0.7489035087719299,0.7478070175438597
hayes-roth,0.7383966244725738,0.7261603375527427,0.710126582278481
heart-cleveland,0.5948888888888889,0.5773333333333334,0.574
heart-hungarian,0.8172335600907029,0.8056689342403629,0.8047619047619051
heart-switzerland,0.41475409836065585,0.3814207650273225,0.36666666666666664
heart-va,0.3548821548821548,0.32626262626262625,0.311111111111111
hepatitis,0.8272727272727274,0.8064935064935067,0.8004329004329007
hill-valley,0.6716721672167216,0.644939493949395,0.6281628162816282
horse-colic,0.8425724637681158,0.8275362318840579,0.8266304347826087
ilpd-indian-liver,0.7218785796105384,0.7154639175257732,0.713631156930126
image-segmentation,0.9559018759018759,0.9539105339105339,0.9534487734487734
ionosphere,0.8986666666666667,0.8893333333333333,0.8864761904761906
iris,0.9640000000000002,0.957777777777778,0.9555555555555556
led-display,0.7293010752688172,0.7256048387096773,0.7242607526881719
lenses,0.7545454545454544,0.7303030303030302,0.696969696969697
letter,0.9428166383134862,0.9392007738750456,0.9238300143433736
libras,0.8022222222222225,0.792962962962963,0.7846296296296297
low-res-spect,0.898358585858586,0.8890151515151516,0.8867424242424244
lung-cancer,0.5355555555555556,0.4977777777777778,0.4400000000000001
