TRAINACCSTDDEVS:,CAWPE(ConTie),CAWPE(alpha=4),CAWPE(RandTie)
abalone,0.007054940806738337,0.007624673133707517,0.008081099030944925
acute-inflammation,0.0,0.0,0.0
acute-nephritis,0.0,0.0,0.0
adult,0.001710406231139013,0.0016925500677360816,0.001628125616125834
annealing,0.013456846313394614,0.011489163336132055,0.012357340398204632
arrhythmia,0.02660784312227205,0.024789597079779343,0.02449382720312631
audiology-std,0.031470724323783866,0.032872169108772074,0.03882972630955034
balance-scale,0.012482654011657181,0.012269414547170147,0.00788170054833793
balloons,0.23106196509757915,0.23408778535048172,0.23633172851300985
bank,0.003926701921008008,0.004040366021740665,0.0041072356440484655
blood,0.017744299279688958,0.017606920193231426,0.017784312675068786
breast-cancer,0.025648084374887855,0.028213498952494632,0.028599790188451397
breast-cancer-wisc,0.006893786154489674,0.0068007576385550805,0.006490483343029717
breast-cancer-wisc-diag,0.00616731769310598,0.00819193275887559,0.008340199466575191
breast-cancer-wisc-prog,0.0344147121428931,0.0363429472639939,0.03932898811173076
breast-tissue,0.051930035228156,0.05400066249615652,0.0610919922524827
car,0.005600595035475474,0.006515788512020782,0.005301180916859028
cardiotocography-3clases,0.007551941032523723,0.007496951096557557,0.007223834729262697
cardiotocography-10clases,0.010723033531244066,0.010727039610393195,0.010294766061211632
chess-krvk,0.003435368286592217,0.0032285142981849984,0.003435368286592217
chess-krvkp,0.002011860230291073,0.0022286709835063357,0.002469268441510369
congressional-voting,0.015674277432625734,0.016104420773646218,0.01596054345880773
conn-bench-sonar-mines-rocks,0.03483626195389464,0.03142717234815088,0.03238477079366188
conn-bench-vowel-deterding,0.00497493680246488,0.00756510726269768,0.008586302499775971
connect-4,0.0023416525611095157,0.002264050654359049,0.002171269732038612
contrac,0.016848840259636202,0.01705125163353896,0.019394318020359683
credit-approval,0.012020568730136516,0.015445606049536594,0.015185581785311457
cylinder-bands,0.03061610129042519,0.03062898800051519,0.03126571084955788
dermatology,0.013412245126565468,0.014410026455296474,0.014191643324266912
echocardiogram,0.040145284682025995,0.04303964535832311,0.04401467606577378
ecoli,0.022043299849154215,0.022016791834249153,0.02189139313910362
energy-y1,0.015565689574909345,0.01600720386413379,0.01463233845399185
energy-y2,0.011863336689707077,0.011134188382642992,0.011239256655375063
fertility,0.028927177691496327,0.02835732587947043,0.02736723437326798
flags,0.05697130475750638,0.05955296562890851,0.046375451170466986
glass,0.043960141838091285,0.044927780787456906,0.04835124007365427
haberman-survival,0.02214803714553089,0.02394513295376995,0.023960710402855766
hayes-roth,0.06014285275350897,0.061877118613098095,0.06032783521096635
heart-cleveland,0.028429294337015104,0.03212046291588953,0.03248813517583096
heart-hungarian,0.02313706959906162,0.023947079829801127,0.022748729185684026
heart-switzerland,0.057300279741036686,0.05948768126686794,0.06758961040936404
heart-va,0.0496785973955845,0.05212653101311794,0.05547792302352085
hepatitis,0.03659799090331348,0.03615029220618889,0.03519379439991814
hill-valley,0.020063349114943226,0.024062237356516504,0.02571926783189242
horse-colic,0.02133638042019504,0.024593914149066944,0.021425302239129983
ilpd-indian-liver,0.015629150634697157,0.017156041337805975,0.01839168007350381
image-segmentation,0.006300801157850603,0.006437769783004003,0.006270987933424889
ionosphere,0.01438846463713629,0.014663638183478855,0.016759814767448176
iris,0.019542663810552058,0.024531367570754057,0.023834250980378176
led-display,0.017710728613528456,0.018721908639600503,0.018784193925434997
lenses,0.16566145042963287,0.17942521402667225,0.18233989933767136
letter,0.0019688171397816176,0.00218985351529456,0.00271814799917696
libras,0.025253082543484916,0.02471348518966824,0.026288965214849094
low-res-spect,0.010578190231196797,0.013388478983600635,0.014323992728173498
lung-cancer,0.14382123144925824,0.15336164989242482,0.14394549841314927
lymphography,0.0337341605098645,0.03852505722525054,0.03768447112836814
magic,0.0033415791227470026,0.0031505205392041873,0.0031756970750122094
mammographic,0.016096571587087643,0.0157024739572474,0.015956493171417768
miniboone,0.002729626729680519,0.002901145674473545,0.0028603178656605153
molec-biol-promoter,0.058315234121454104,0.06137314776023904,0.060335839440999954
molec-biol-splice,0.00828026726596097,0.007760680583260486,0.00871052804743648
monks-1,0.04325564603803986,0.04918476738627897,0.04457643246721281
monks-2,0.025394964354363406,0.025884358211089573,0.02459999273172701
monks-3,0.01021459530818383,0.011546639529774236,0.014244069275313185
mushroom,2.3024636525501165E-4,0.002132262287577747,0.0024481642969512597
musk-1,0.019702178342376604,0.020181907400147046,0.018978448213806946
