ItalyPowerDemand,ProximityForest,train,0,NANOSECONDS,PREDICTIONS, Generated by BasicReproductionTests at 2020-11-12 16:34:39
tsml.classifiers.distance_based.proximity.ProximityForest, 2020-11-12 16:34:39, 1605198879810
0.966958211856171,1068320325,2384162324,-1,-1,2,,-1,-1
1,1,,0.04,0.96,,3962970,,
1,1,,0.11,0.89,,3085095,,
1,1,,0.05,0.95,,2273327,,
1,0,,0.83,0.17,,4303485,,
1,1,,0.02,0.98,,2635554,,
0,0,,1,0,,2354451,,
1,1,,0.02,0.98,,1834957,,
1,1,,0.26,0.74,,3426484,,
1,1,,0.03,0.97,,2667925,,
1,1,,0.03,0.97,,1812644,,
1,1,,0.02,0.98,,2103135,,
1,1,,0.18,0.82,,2662185,,
1,1,,0.05,0.95,,2386623,,
0,0,,0.99,0.01,,2681061,,
0,0,,0.58,0.42,,2246667,,
1,1,,0.02,0.98,,1756718,,
0,0,,0.95,0.05,,2494317,,
0,0,,0.99,0.01,,2458549,,
0,0,,0.99,0.01,,2223704,,
1,1,,0.15,0.85,,2594616,,
0,0,,0.6,0.4,,2937356,,
0,0,,1,0,,2399407,,
1,1,,0.17,0.83,,3042705,,
0,0,,0.98,0.02,,2544722,,
1,1,,0.03,0.97,,2079631,,
0,0,,0.99,0.01,,2765842,,
0,0,,0.92,0.08,,2556785,,
0,0,,0.87,0.13,,2682413,,
1,1,,0.03,0.97,,1799680,,
0,0,,0.99,0.01,,2353038,,
0,0,,0.94,0.06,,2712951,,
0,0,,0.95,0.05,,2414656,,
0,1,,0.39,0.61,,3096767,,
1,1,,0.02,0.98,,1817515,,
1,1,,0.14,0.86,,2418312,,
0,0,,0.92,0.08,,2417982,,
1,1,,0.01,0.99,,5907223,,
0,0,,0.93,0.07,,2626057,,
1,1,,0,1,,2411420,,
0,0,,0.55,0.45,,2948147,,
1,1,,0.01,0.99,,1850135,,
1,1,,0,1,,1896904,,
1,1,,0.02,0.98,,1742492,,
1,1,,0.05,0.95,,2620456,,
0,0,,0.87,0.13,,2500528,,
1,1,,0.03,0.97,,2196431,,
1,1,,0.01,0.99,,2272015,,
0,0,,0.93,0.07,,2744572,,
1,1,,0.02,0.98,,2323193,,
0,0,,0.77,0.23,,2854029,,
1,1,,0.01,0.99,,1819257,,
1,1,,0,1,,1798237,,
1,1,,0.01,0.99,,1779001,,
1,1,,0,1,,1804970,,
0,0,,0.89,0.11,,2393195,,
1,1,,0.08,0.92,,2721457,,
1,1,,0.01,0.99,,1681116,,
1,1,,0.01,0.99,,2092435,,
1,1,,0,1,,1800933,,
1,1,,0.01,0.99,,2286954,,
1,1,,0,1,,1778980,,
1,1,,0.03,0.97,,2135907,,
1,1,,0.37,0.63,,3014002,,
1,1,,0.04,0.96,,2479659,,
0,0,,0.62,0.38,,2482475,,
1,1,,0.02,0.98,,1722344,,
1,1,,0.02,0.98,,1765965,,
0,0,,0.67,0.33,,2335456,,
1,1,,0,1,,2130939,,
1,0,,0.64,0.36,,2928500,,
1,1,,0.01,0.99,,2354741,,
1,1,,0.28,0.72,,2843238,,
1,0,,0.62,0.38,,2818331,,
0,0,,0.96,0.04,,2758458,,
0,0,,1,0,,2281392,,
1,1,,0,1,,1739496,,
0,0,,1,0,,2292755,,
1,1,,0,1,,1630099,,
0,0,,0.97,0.03,,2724093,,
0,0,,1,0,,2196152,,
0,0,,0.98,0.02,,2685057,,
1,1,,0,1,,1703968,,
1,1,,0.02,0.98,,1897366,,
1,1,,0.38,0.62,,2924262,,
1,1,,0,1,,1746018,,
1,1,,0.02,0.98,,1673049,,
1,1,,0,1,,1624238,,
0,0,,0.99,0.01,,2363008,,
1,1,,0,1,,1681116,,
1,1,,0.27,0.73,,2401781,,
1,1,,0.12,0.88,,2946624,,
0,0,,0.9,0.1,,2302062,,
0,0,,0.6,0.4,,2891278,,
0,0,,0.98,0.02,,2093207,,
1,1,,0.02,0.98,,1687688,,
0,0,,0.98,0.02,,2317541,,
1,1,,0.05,0.95,,2319014,,
0,0,,1,0,,2264822,,
0,0,,0.94,0.06,,2406851,,
0,0,,0.92,0.08,,2600588,,
1,1,,0.42,0.58,,2783023,,
1,1,,0.01,0.99,,1755877,,
0,0,,1,0,,2356926,,
1,1,,0.1,0.9,,2304437,,
0,0,,0.63,0.37,,2735184,,
1,1,,0.05,0.95,,1994359,,
0,0,,0.95,0.05,,2541225,,
0,0,,1,0,,2195852,,
1,1,,0.01,0.99,,2057840,,
0,0,,0.99,0.01,,2388236,,
0,0,,0.94,0.06,,2577033,,
0,0,,1,0,,1979091,,
1,1,,0.15,0.85,,2290721,,
0,0,,0.66,0.34,,2827859,,
0,0,,1,0,,2243660,,
1,1,,0.16,0.84,,2449873,,
0,0,,0.94,0.06,,2404626,,
0,0,,0.99,0.01,,2294238,,
0,0,,0.77,0.23,,2301652,,
0,0,,0.89,0.11,,2378597,,
0,0,,0.95,0.05,,2292003,,
1,1,,0.04,0.96,,1742672,,
1,1,,0.05,0.95,,2705677,,
1,1,,0.02,0.98,,1879432,,
1,1,,0.01,0.99,,1705071,,
0,0,,0.68,0.32,,2867794,,
0,0,,0.99,0.01,,2388336,,
1,1,,0,1,,1552172,,
0,0,,1,0,,2351967,,
1,1,,0,1,,1819588,,
0,0,,0.99,0.01,,2441836,,
1,1,,0,1,,1850075,,
1,1,,0.01,0.99,,2026551,,
1,1,,0.04,0.96,,2580200,,
0,0,,0.93,0.07,,2404898,,
0,0,,0.91,0.09,,2571693,,
1,0,,0.54,0.46,,2571102,,
0,0,,0.78,0.22,,2262477,,
0,0,,0.98,0.02,,2305549,,
1,1,,0,1,,1671256,,
1,1,,0.08,0.92,,2482704,,
0,0,,0.96,0.04,,2390891,,
1,1,,0,1,,1721953,,
1,1,,0,1,,1601786,,
0,0,,0.97,0.03,,2428271,,
0,0,,0.99,0.01,,2413213,,
0,0,,0.68,0.32,,2973053,,
